name,address,city,postal,state,phone,websites,owners,primary_email,contacts,other_emails
Custom Carpet Centers,2847 Southwestern Blvd,Orchard Park,14127,NY,(716) 674-0678,http://www.customcarpetcenters.com/,jay mcdonnell,jmcdonnell@customcarpetcenters.com,"mike martin,mike martin,mike martin",mmartin@customcarpetcenters.com
Felikian Carpet One,188 N Rosemead Blvd,Pasadena,91107,CA,(626) 795-2821,http://www.felikiancarpet.com/,Greg Felikian,gfelik@aol.com,"Greg Felikian,,Greg Felikian",
The Floorshow Corporation,1475 Associates Dr.,Dubuque,52002,IA,(563) 557-9952,N/A,Dick Gregory,dgregory@floorshowcompanies.com,",Mark Rellihan,",mrellihan@floorshowcompanies.com
Iskalis Interiors,4437 Grand Ave,Gurnee,60031,IL,(847) 662-7900,www.americanfloorshow.com,Iskalis Family,jiskalis@iskalisfloor.com,"John Iskalis,John Iskalis,John Iskalis",jiskalis@iskalisfloor.com
Robinson's Carpet One Floor & Home,230 N. 11th Street,Hanford,93230,CA,(559) 582-2610,http://www.robinsonsinteriorhanford.com/,Mike Robinson,miker@robinsonscarpetone.com,"Steve Richardson,Steve Richardson,Steve Richardson",
Randy's Carpets & Interiors,401 2nd Street,Coralville,52241,IA,(319) 354-4344,http://www.randyscarpets.com/,Randy Ward,randy.ward@randyscarpets.com,",Bill Lancial,",bill.lancial@randyscarpets.com
Olson Rug Co.,1630 75th Street,Downers Grove,60516,IL,(630) 788-1300,http://www.olsonrug.com/,,robertr@olsonrug.com,",,Robert Rosenburg",
Specialty Carpet Showroom,1123 E 2700 S,Salt Lake City,84106,UT,(801) 484-8836,n/a,Jeff Penrose,jefflpenrose@gmail.com,"Jeff Penrose,Mike Bowman,Jeff Penrose",
Carpet Crafter's,5160 W. 127th St.,Alsip,60803,IL,(708) 371-8900,carpetcrafters.com,Ted Argiris,ted@carpetcrafters.com,"Ted Agris,Tony,Ted Agris",
Montgomery Carpets,2222 E 53rd Street,Davenport,52807,IOWA,(563) 324-2176,http://www.montgomeryfloorcoverings.com/,Dean Montgomery,,",,",
Heritage Carpet Redi-Cut Carpet,"1936 South Road, Rt.9",Poughkeepsie,12601,NY,(845) 297-3492,Heritagecarpet.com,Mark Plansky,heritagecarpet@optonline.net,"Mark Plansky,Tim Fitzpatric,",
KENTS CARPETLAND,61 ACCORD PARK DR,Rockland,2370,MA,(781) 871-1000,kentscarpetland.com,Tom Rypkema,trypkema@kentscarpetland.com,"Tom Rypkema,Scott Burnham co-owner,Tom Rypkema",sburnham@kentscarpetland.com
Homeworks Carpet One,8403 Coastal Highway,Ocean City,21842,MD,(410) 524-1800,homeworkscarpetone.com,Warren Hampstead,ochomeworks@verizon.net,"Warren Hampstead,,Warren Hampstead",
The Malchow Co,502 S Main,Aberdeen,57401,SD,(605) 225-1900,N/A,Mark Malchow,mmalchows@midconetwork.com,"Mark Malchow,Mark Malchow,Mark Malchow",mmalchows@midconetwork.com
Louis Shanks of Texas,2930 W. Anderson Lane,Austin,78766,TX,(512) 451-6501,louisshanksfurniture.com,Mike Forwood,mf@louisshanksfurniture.com,"Pete Hilstrom,,Pete Hilstrom",
Abbey Carpets of San Francisco,3301 Geary Blvd,San Francisco,94118,CA,(415) 752-6620,abbeysf@aol.com,Chuck McMechen,Elaine@Abbeycarpetsf.com,"Chuck McMechen,Elaine Mercado,Chuck McMechen",Elaine@Abbeycarpetsf.com
Northern Flooring & Interiors,616 S Lapeer,Lake Orion,48362,MI,(248) 693-9457,www.northernflooringandinteriors.com,Matt Pfieffer,mjpfeiffer@ameritech.net,"Matt Pfieffer,Matt Pfieffer,Matt Pfieffer",
Fox Floors,2391 Richmond Ave,Staten Island,10314,NY,(718) 494-4300,www.foxfloors.com,Scott Markoff,smarkoff@foxfloors.com,"Scott Markoff,Denise Calautti,",dcalautti@foxfloors.com
Flooring America,2970 Plummers Cove Rd,Jacksonville,32223,FL,(904) 880-5252,http://www.flooringamerica.com,Calvin Modling,cmodling@carpetndrapes.com,"Bonnie Modling,Bonnie Modling,Bonnie Modling",bonnie@fajaxusa.com
Michael's Floor Covering,2200-A NE Andesen Rd.,Vancouver,98661,WA,(360) 695-1231,http://www.michaelsfc.com/,,,"Mike,,Mike",
M M M Carpets,3100 Molinaro Dr,Santa Clara,95054,CA,(408) 988-4661,www.mmmcarpets.com,Steve Boardman,steveb@mmmcarpets.com,"Steve Boardman,Steve Boardman,Steve Boardman",steveb@mmmcarpets.com
Best Flooring Center,8590 E. County Road 466,Lady Lake,32162,FL,(352) 753-1739,http://www.bestflooringcenter.com/,W.H. Barnes,bobarnes@aol.com,"Doug Anderson,Doug Anderson,Doug Anderson",Doug Anderson
South Dakota Carpet One,2101 W 41st,Sioux Falls,57105,SD,(605) 336-1600,www.carpetone.com,Bill Hinks,,"John Pohlmann,John Pohlmann,John Pohlmann",john.pohlmann@furnitureoutletsusa.com
New York Carpet Dist Inc,1791 Post Road E,Westport,6880,CT,(203) 255-0266,http://www.newyorkcarpetdistributors.com/,Dolores Sabados,,"Rudy Sabados,Rudy Sabados,Rudy",
Jimmie Lyles Carpets,2660 Lakeland Dr,Jackson,39232,MS,(601) 932-2926,www.jlflooringgallery.com,T J Anderson,,"T J Anderson,Eady North,T.J Anderson",Eady North
Carpet Image,3615 Southside Blvd,Jacksonville,32216,FL,(904) 645-5224,None,Kelly Cote',carpet_image@yahoo.com,"Kelly Cote,,Kelly Cote",
Carpet One Floor and Home,227 NW 23rd Ave,Gainesville,32609,FL,(352) 377-8652,www.carpetonegainesville.com/,Harriett Jones,,",Denny Shepard,",Denny Shepard
Flooring America,10200 Hickman Court,Clive,50325,IA,(515) 331-4613,fivestarfa.com,Shane Sonberg,shane@fivestarfa.com,"Shane Sonberg,Shane Sonberg,Shane Sonberg",shane@fivestarfa.com
Cloud Carpets,7351 W Lake Meade,Las Vegas,89129,NV,(702) 631-2850,http://www.cloudcarpetonelasvegas.com/,Roy Shelton,,"Marshall Blodgett,Marshall Blodgett,Marshall Blodgett",
Everett Carpet Company,318 Ashman Street,Midland,48640,MI,(989) 835-7191,everettcarpet@sbcglobal.net,Bob and Tom Everett,,"Jim Everett,Jim Everett,Jim Everett",everettcarpet@sbcglobal.net
Holland Floor Covering,35 Swamp Rd,Newtown,18940,PA,(215) 357-0909,www.hollandfloor.com,Roger Hansbarger,,"Roger Hansbarger,Roger Hansbarger,Roger Hansbarger",Roger Hansbarger@hollandfloor.com
Rick's Carpet and Flooring,6224 Richmond Hwy,Alexandria,22303,VA,(703) 765-8001,www.rickscarpetandflooring.com,Jeff Puryear,jonathan@rickscarpetandflooring.com,",,",
Interiors by France,322 North 26th Street,Bismarck,58501,ND,(701) 223-8818,www.interiorsbyfrance.com,France Sponskowski,,"Peggy,,Peggy",
I & J CARPET,601 NE 1ST STREET,BEND,97701,OR,(541) 382-5570,www.IandJcarpets.com,Paul Imwalle,IandJCarpets@bendbroadband.com,"Paul Imwalle,,Paul Imwalle",
Barrington Capet & Flooring Design,3602 S. Arlington Rd.,Akron,44312,OH,(330) 896-4141,barringtoncarpet.com,Craig Phillips,craig.phillips@barrington-carpet.com,"Craig Phillips,Kurt Neading,Craig Phillips",kurt.neading@barrington-carpet.com
JB Flooring America,13310 NE Bel-Red Rd,Bellevue,98005,WA,(425) 644-4777,,Ray Glover,,"Ray Glover,,Ray Glover",
Tri-jay Carpets,7003 - 5th Street SE,Calgary,T2H1K4,AB,(403) 253-4441,N/A,Jack van Deventer,john_panjer@isocanada.com,",,",
Montauk Carpet & Rug Co,65 Price Pkwy,Farmingdale,11735,NY,(631) 293-3900,http://www.montaukcarpet.com/,Stephen Fruchtner,,",,",
Tuttle's Carpet & Draperies,27751 A La Paz Rd Ste A,Laguna Niguel,92677,CA,(949) 831-1332,N/A,Kevin Hentzen,khentzen@tuttlescarpet.com,"Kevin Hentzen,,Kevin Hentzen",
Flooring Center Inc,4066 Highway 12,Baraboo,53913,WI,(608) 356-3206,http://www.barabooflooringcenter.com/,Jon Marking/Bill Imray,jonmarking@hotmail.com,"Bill Imray,Scott Sloan,Bill Imray",ss70usa@netscape.net
Carpets of Dalton,3010 Old Dug Gap Road,Dalton,30720,GA,(706) 277-3132,carpetsofdalton.com,Jerry Hennon,,"Neil,,Neil",
D S Tiftickjian & Sons,5225 Sheridan Dr,Williamsville,14221,NY,(716) 634-8835,http://tiftrugs.com/aboutus.htm,dick tiftickjian,,",,",
Turabian & Sariyan,21 Northfield St,Greenwich,6830,CT,(203) 869-5950,http://turabianandsariyan.com,Peter Ehnes,sariyan@aol.com,"Pat Ehnes,Pat Ehnes,Peter",same
Pumco Interiors,1844 M-119 Hwy,Petoskey,49770,MI,(231) 347-8124,design@pumcointeriors.com,Tom Behan II,tmb@pumcointeriors.com,"Tom Behan II,Tom Behan II,Tom Behan II",
The Carpet Shoppe,2754 Downhill Dr.,Steamboat Springs,80477,CO,(970) 879-1658,www.steamboatcarpet.com,Bob Sabel,bsab@springsips.com,"Bob Sabel,Bob Sabel,Bob Sabel",bsab@springsips.com
Carpet N' Darpes,8956 Phillips Hwy.,Jacksonville,32256,FL,(904) 260-0109,http://www.carpetndrapes.com,Calvin Modling,calvin@carpetndrapes.com,"Dick Bach,Dick Bach,Dick Bach",dbach@carpetndrapes.com
Nu-way Floor Fashions,219 - 50th Avenue SE,Calgary,T2G2B2,AB,(403) 252-3551,http://www.nu-wayfloors.com/,Fred Gifford,,",Shea Gifford,",sgifford@nu-wayfloors.com
Sail On Carpet,4655 Ridge Rd W,Spencerport,14559,NY,(585) 310-1642,http://www.sailoncarpet.com,mike pavone,,",,",
Leftwich-Chapman Designer Floor Inc,4517 50th St,Lubbock,79414,TX,(806) 687-3411,www.leftwichchapmandesignerfloor.com,Larry Leftwich,lleftwich@leftwichchapman.com,"Larry Leftwich,Larry Leftwich,Larry Leftwich",lleftwich@leftwichchapman.com
La Salle Bristol,601 CR 17,Elkkhart,46516,IN,(574) 295-0199,http://www.lasallebristol.com,,,",Ken Bohn,",kbohn@lasallebristol.com
warehouse carpet,500 reynolds ave,johnson city,13790,NY,(607) 797-5040,N/A,,,",,",
Feasterville Floor,410 W St Rd,Feasterville,19053,PA,(215) 355-4100,http://www.feastervillefloor.com/,John Menarde,,",Dottie Greco,",Dottie@feastervillefloor.com
Jack Laurie Home Design,9901 Auburn Rd.,Fort Wayne,46825,IN,(260) 490-3655,http://jacklauriegroup.com/index.php,John Laurie,John.Laurie!lauriefloors.com,",John Hoffman,",John.Hoffman!lauriefloors.com
Carpet One by Henry,2010 North Church Street,Greensboro,27405,NC,(336) 379-1018,http://www.carpetonebyhenrygreensboro.com/,Henry Scott,henrys@carpetonebyhenry.com,",Ryan Scott,",Ryan Scott
McBride Wayside Carpet Co.,3153 BERLIN TURNPIKE,NEWINGTON,6111,CT,(860) 666-2512,http://www.mcbridecarpet.com,Paul Mcbride,paulmcbride@snet.net,"Jeff Mcbride,Jeff Mcbride,Jeff Mcbride",Jeff Mcbride
Nice Carpets Inc.,1441 Fallsburg Rd.,Newark,43055,OH,(740) 345-2263,N/A,Steve Stacey,stevestacey@windstream.net,"Steve Stacey,,Steve Stacey",
Marett Carpet,1 Potter Run Road,Volant,16156,PA,(724) 533-2610,http://www.marettcarpetonevolant.com/,craig marett,craig4carpet@yahoo.com,",katie marett,",katie4carpet@yahoo.com
"Yeager and Co., Inc.",2310 Success Dr,Odessa,33556,FL,(727) 375-7813,http://www.yeagerflooring.net/,,,"Jim,,",
Ruggieri's Carpet One,1191 Pontiac Ave,Cranston,2920,RI,(401) 942-1700,www.ruggiericarpetone.com,Paul Ruggieri,paul@ruggieriflooring.com,"Ted Adams,Ted Adams,Ted Adams",Ted Adams
Morrison - Clark Inc,889 South Barre Rd,South Barre,5670,VT,(802) 479-5572,http://morrisonclarkfloors.com/,Paul Morrison,morrisonclark@aol.com,",Paul Morrison,",
Aldens,1663 Placentia Ave,Costa Mesa,92627,CA,(949) 646-4838,http://www.aldenscarpets.com/,John Asaro,John@aldenscarpets.com,",,",
Leader Carpet,206 W ROUTE 59,NANUET,10954,NY,(845) 623-3432,www.leadercarpet.com,Paul Marks,linmarks@optonline.net,"Paul Marks,Linda Rosinburgh & Isabel DeGuilio,",leadercarpet@opton.net
Douds of Plumville,254 Main St,Plumville,16246,PA,(724) 397-5511,http://www.doudsfurniture.com,bart brice,bbrice@doudsfurniture.com,"bart brice,bart brice,bart brice",bart brice
Archer Floorcovering,1915 Austin St,San Angelo,76903,TX,(325) 653-1995,N/A,Tim Archer,archer.floorcovering@verizon.net,"Tim Archer,,",
Hamernick Decorating Center,1381 Rice St.,St. Paul,55117,MN,(651) 487-3211,www.hamernicksdecorating.com,Ted Natus,ted@hamernicksdecorating.com,"Julie Pirie,Julie Pirie,Julie Pirie",juliep@hamernicksdecorating.com
Century Floorcoverings,1115 - 11th Avenue SW,Calgary,T2R0G5,"Calgary, Canada",(403) 245-1115,,Ches Bennett,,",David Mately,",dmatley@centurycarpetone.com
Carpet Collection,5939 S Transit Road,Lockport,14094,NY,(716) 433-9377,http://www.carpetcollection.com,Gary Case,gcase@CarpetCollection.com,",,",
Faber's Rug Company,9 Central Street,Wellesley,2482,MA,(781) 235-5996,www.fabersrug.com,Tom Faber Sr.,no e-mail,"Bob Faber,Bob Faber,Bob Faber",rugman9@aol.com
TILE & CARPET TOWN EAST,3195 ERIE BLVD EAST,DE WITT,13214,NY,(315) 446-9100,http://www.tileandcarpettowndewitt.com/,stuart shapiro,ssshapiro@choiceonemail.com,",,",
