Soft Region,Hard Region,name,ADDRESS LINE #1,ADDRESS LINE #2,ADDRESS LINE #3,city,state,ZIP CODE,website,phone
202 - FLORIDA,502 - HS FLORIDA,HADINGER CARPET CO OF NAPLES,HADINGER CARPET,6401 AIRPORT PULLING RD N,,NAPLES,FL,34109,http://hadingerflooring.com/,(239) 566-7100
209 - MID-ATLANTIC,506 - HS NORTHEAST,NIC/LOR FLOORS,SWINEA GARY,4431 BROOKFIELD COR DR STE B,,CHANTILLY,VA,20151-1691,http://www.nic-lorfloors.com/,(703) 968-6498
205 - SOUTH WEST COAST,505 - HS SOUTH WEST COAST,LONG AFFAIR CARPET & RUG INC,L.A. CARPET & RUG,8775 RESEARCH DR,,IRVINE,CA,92618,N/A,(714) 979-0621
204 - CENTRAL PLAINS,503 - HS NORTH CENTRAL,FANTASTIC FLOORS INC,451 COMMERCE DR STE 100,,,WOODBURY,MN,55125,http://www.fantafloors.net/,(651) 739-7101
210 - NORTH WEST COAST,505 - HS SOUTH WEST COAST,NIELSEN BROS & SONS INC,PO BOX 70524,2031 N W 56TH STREET,,SEATTLE,WA,98107,http://www.nbfloors.com/,(206) 783-5454
207 - SOUTH CENTRAL,507 - HS SOUTH CENTRAL,MID TEX OF MIDLAND INC,5206 W WADLEY AVE,,,MIDLAND,TX,79707,www.midtexofmidland.com,(432) 697-2282
206 - NORTHEAST,506 - HS NORTHEAST,AFFORDABLE FLRS OF NY INC,1 DALFONSO RD,,,NEWBURGH,NY,12550,http://www.affordable-floors.com/,(845) 565-2000
201 - SOUTHEAST,501 - HS SOUTHEAST,DALTON WEST OF NEWNAN INC,7 JEFFERSON PKWY,,,NEWNAN,GA,30263,http://www.daltonwest.com,(770) 251-0634
208 - MID CENTRAL,506 - HS NORTHEAST,CARPET BONANZA INC/JDM,11108 CHICAGO DR,,,ZEELAND,MI,49464,http://www.carpetbonanza.com/,(616) 396-2765
203 - NORTH CENTRAL,503 - HS NORTH CENTRAL,NONNS FLOORING INC,7550 GRABER RD,,,MIDDLETON,WI,53562-1002,http://www.nonnsdesignshowplace.com/,(608) 836-8833
208 - MID CENTRAL,506 - HS NORTHEAST,SUPREME CARPET SALES INC,1392 S VALLEY CENTER DR,,,BAY CITY,MI,48706,http://supremefloors.com/,(989) 684-8888
209 - MID-ATLANTIC,506 - HS NORTHEAST,FGD CORPORATION,COUNTRY CARPET,8030 MATTHEWS RD STE 104,,BRYANS ROAD,MD,20616-4266,N/A,(301) 283-0800
203 - NORTH CENTRAL,503 - HS NORTH CENTRAL,CARPET WEAVERS INC,902 S ELDORADO RD,,,BLOOMINGTON,IL,61704,www.carpetweaversflooring.com,(309) 834-3606
202 - FLORIDA,502 - HS FLORIDA,R-TWO CORPORATION,THE FLOORING CENTER,251 S LAKE DESTINY RD,,ORLANDO,FL,32810,http://www.flooringcenterorlando.com/,(407) 660-8400
201 - SOUTHEAST,501 - HS SOUTHEAST,FLEMING CARPET DISTRIBUTORS,1190 KENNESTONE CIR STE 130,,,MARIETTA,GA,30066,http://www.flemingcarpet.com/,(770) 420-3009
207 - SOUTH CENTRAL,507 - HS SOUTH CENTRAL,STEAMOUT CARPET CLEANING,35 BUICK ST,,,SAN ANGELO,TX,76901,http://www.floorstorebysteamout.com/,(325) 949-3619
220 - SOUTHEAST CENTRAL,501 - HS SOUTHEAST,CAROLINA CARPET,5223 RAEFORD ST,,,FAYETTEVILLE,NC,28304,http://www.carolinacarpetfloors.com/,(910) 424-0173
205 - SOUTH WEST COAST,505 - HS SOUTH WEST COAST,BUDGET FLOORING,8805 CLAYSTONE COURT,,,LAS VEGAS,NV,89129,http://budgetflooringlv.com/,(702) 647-3800
208 - MID CENTRAL,506 - HS NORTHEAST,FAMILY CARPET,RT. 14,,,BOAZ,WV,26187,http://www.familycarpetoneboaz.com/,(999) 999-9999
201 - SOUTHEAST,501 - HS SOUTHEAST,CAROLS CARPET INC,1640 N EASTERN BLVD,,,MONTGOMERY,AL,36117,http://carolscarpet.com/,(334) 272-5400
209 - MID-ATLANTIC,506 - HS NORTHEAST,LOUDOUN CARPET CARE,LOUDOUN VALLEY FLOORS,129 N BAILEY LN STE C,,PURCELLVILLE,VA,20132,http://www.loudounvalleyfloors.com/,(703) 777-8056
206 - NORTHEAST,506 - HS NORTHEAST,ONONDAGA FLOORING  INC,1510 N SALINA ST,,,SYRACUSE,NY,13208,www.onondagaflooring.com,(315) 471-2243
206 - NORTHEAST,506 - HS NORTHEAST,LEE APPLIANCE CO INC,593 ROUTE 3,,,PLATTSBURGH,NY,12901,http://www.leeappliance.com/,(518) 563-0900
207 - SOUTH CENTRAL,507 - HS SOUTH CENTRAL,LANDERS FLOORING,2601 MCHALE CT STE 140,,,AUSTIN,TX,78758,http://landerspremierflooring.com/,(512) 873-9470
206 - NORTHEAST,506 - HS NORTHEAST,THE MARKS ORGANIZATION,T/A LEADER CARPET SALES,206 W ROUTE 59,,NANUET,NY,10954,http://www.leadercarpet.com/Home/tabid/6361/Default.aspx,(845) 623-3432
208 - MID CENTRAL,506 - HS NORTHEAST,CARPETIME INC,3564 LINCOLN WAY E,,,MASSILLON,OH,44646,www.carpetime.com,(330) 478-2107
205 - SOUTH WEST COAST,505 - HS SOUTH WEST COAST,CUSTOM FLOOR COVERINGS,2300 N MAIN ST STE C,,,NORTH LOGAN,UT,84341,N/A,(435) 755-0963
206 - NORTHEAST,506 - HS NORTHEAST,BAY STATE RUG DIST INC,671 GRATTAN ST,,,CHICOPEE,MA,1020,http://www.baystaterug.com/,(413) 533-3806
207 - SOUTH CENTRAL,507 - HS SOUTH CENTRAL,HOFFMANN FLOORS INC,710 LOOP 337,,,NEW BRAUNFELS,TX,78130,http://www.hoffmannfloors.com,(830) 625-2629
209 - MID-ATLANTIC,506 - HS NORTHEAST,RICKS DISC CPT &FLR COV,6224 RICHMOND HWY,,,ALEXANDRIA,VA,22303-2438,http://www.rickscarpetandflooring.com/,(703) 765-8000
206 - NORTHEAST,506 - HS NORTHEAST,VALLEY FLOOR COVERING,562 RUBBER AVENUE,,,NAUGATUCK,CT,6770,http://valleyfloorcoveringct.com/,(203) 723-6978
201 - SOUTHEAST,501 - HS SOUTHEAST,D & F CARPET STORE PLUS,9366 FORD AVE,,,RICHMOND HILL,GA,31324,http://carpetstoreplus.com/,(912) 756-6868
205 - SOUTH WEST COAST,505 - HS SOUTH WEST COAST,CARPET KING INC,16438 VALLEY BLVD,,,LA PUENTE,CA,91744,http://www.carpetkingla.com/en/index.html,(626) 820-0550
220 - SOUTHEAST CENTRAL,501 - HS SOUTHEAST,BELLS CARPETS INC,BELL'S INTERIOR DESIGNS,2832 INDUSTRIAL DR,P O BOX 19727,RALEIGH,NC,27609,www.bellscarpets.com/,(919) 833-5707
208 - MID CENTRAL,506 - HS NORTHEAST,JAMIES CARPETSHOP INC,DBA:JAMIE'S CARPETSHOP-AMHERST,46125 TELEGRAPH RD,,SOUTH AMHERST,OH,44001,http://www.jamiescarpetshop.com/,(440) 986-2469
207 - SOUTH CENTRAL,505 - HS SOUTH WEST COAST,EMO CARPETS LLC,DBA/CARPET WAREHOUSE,930 RAYNOLDS ST,,EL PASO,TX,79903,N/A,(915) 565-7847
203 - NORTH CENTRAL,503 - HS NORTH CENTRAL,TROY CARPET INC,560 MAIN ST,,,TROY,MO,63379,http://www.troyfurnitureco.com/,(636) 528-5242
204 - CENTRAL PLAINS,503 - HS NORTH CENTRAL,B & B GENERAL STORE,101 W PLUM,,,DONIPHAN,NE,68832,http://www.bandbcarpet.com/,(402) 845-9241
220 - SOUTHEAST CENTRAL,501 - HS SOUTHEAST,A&D CARPETS INC,MARTINEZ,320 S BELAIR RD,MARTINEZ,AUGUSTA,GA,30907,http://aanddcarpets.com/,(706) 863-8870
206 - NORTHEAST,506 - HS NORTHEAST,RPM CARPETS,192 ROUTE 137,,,EAST HARWICH,MA,2645,http://www.rpmcarpets.com/,(508) 432-4151
202 - FLORIDA,502 - HS FLORIDA,ABOUT FLOORS N' MORE INC,14054 BEACH BLVD STE 3,,,JACKSONVILLE,FL,32250,http://www.aboutfloorsnmore.com/,(904) 726-1700
203 - NORTH CENTRAL,503 - HS NORTH CENTRAL,OLSON RUG COMPANY,DEBTOR IN POSSESSION,832 S CENTRAL AVE,,CHICAGO,IL,60644,http://www.olsonrug.com/,(773) 921-1300
208 - MID CENTRAL,506 - HS NORTHEAST,JACK LAURIE FLOORS LLC,1828 S ANTHONY BLVD,ATTN: ACCOUNTS PAYABLE DEPT,,FORT WAYNE,IN,46803-3606,http://www.jacklauriegroup.com,(260) 745-3971
209 - MID-ATLANTIC,506 - HS NORTHEAST,OCEAN CITY FLOOR GALLERY,FLOOR GALLERY LLC,12319 OCEAN GATEWAY,UNIT 301,OCEAN CITY,MD,21842,http://www.ocfloorgallery.com/,(410) 213-9234
210 - NORTH WEST COAST,505 - HS SOUTH WEST COAST,STRAIT FLOORS,141 N 7TH AVE,,,SEQUIM,WA,98382,http://straitfloors.com/,(360) 683-4343
201 - SOUTHEAST,501 - HS SOUTHEAST,SOUTHERN FLOORING & DESIGN LLC,1940 THOMASVILLE RD,,,TALLAHASSEE,FL,32303,http://www.southernflooring.net/,(850) 224-9850
210 - NORTH WEST COAST,503 - HS NORTH CENTRAL,THE FLOORING PLACE,1891 BOOT HILL CT,,,BOZEMAN,MT,59715-7245,www.theflooringplace.net/,(406) 587-7472
205 - SOUTH WEST COAST,505 - HS SOUTH WEST COAST,ALLMANS CARPET & DRAPERY,822 SO 500 WEST,,,BOUNTIFUL,UT,84010,N/A,(801) 292-1132
201 - SOUTHEAST,507 - HS SOUTH CENTRAL,STOUTS CARPET INC,2 COUNTY ROAD 2050,,,OXFORD,MS,38655,www.stoutscarpets.com,(662) 234-5227
203 - NORTH CENTRAL,503 - HS NORTH CENTRAL,CARPET WEAVERS,(HARD SURFACE ONLY),2940 CONSTITUTION DR,,SPRINGFIELD,IL,62704,http://www.cwfloorcare.com/,(217) 787-0600
206 - NORTHEAST,506 - HS NORTHEAST,SAIL-ON CARPETS INC,4655 RIDGE RD W,,,SPENCERPORT,NY,14559,http://www.sailoncarpets.com,(585) 352-1170
206 - NORTHEAST,506 - HS NORTHEAST,CENTRAL JERSEY FLOORING,3160 BORDENTOWN AVE STE 3,,,OLD BRIDGE,NJ,8857,N/A,(732) 828-7300
201 - SOUTHEAST,501 - HS SOUTHEAST,RANOBI CORPORATION,CARPET CONNECTION,2350 JENKS AVE,,PANAMA CITY,FL,32405,N/A,(850) 763-1700
206 - NORTHEAST,506 - HS NORTHEAST,PARAMOUNT RUG COMPANY INC,71 MANLEY ST,,,BROCKTON,MA,2301,http://www.paramountrug.com/,(508) 583-5022
205 - SOUTH WEST COAST,505 - HS SOUTH WEST COAST,"FURR HENDRON ENTERPRISES,INC.",HIGHLANDS FLOOR COVERINGS,2009 N 4TH ST STE A,,FLAGSTAFF,AZ,86004,http://www.highlandsfloorcoverings.com/,(928) 774-6700
209 - MID-ATLANTIC,506 - HS NORTHEAST,CARPET & FLOOR EXPRESS INC,1488 ROCKVILLE PIKE STE E,,,ROCKVILLE,MD,20852,http://www.carpetandfloorexpress.com/,(301) 231-7355
208 - MID CENTRAL,506 - HS NORTHEAST,CALHOUN TILE & CARPET,MICHIGAN TILE & CARPET CO INC,99 COLUMBIA AVE E,,BATTLE CREEK,MI,49015,http://www.michtile.com/,(269) 962-6227
207 - SOUTH CENTRAL,507 - HS SOUTH CENTRAL,COUTURE FLOORS,29157 INTERSTATE 10 W,,,BOERNE,TX,78006-9125,http://www.couturefloors.com/,(830) 981-8491
201 - SOUTHEAST,501 - HS SOUTHEAST,KEMPS CARPETS,GERALD KEMP,1287 LAFAYETTE PKWY,,LA GRANGE,GA,30240,http://www.daltonwest.com/,(706) 812-0058
208 - MID CENTRAL,506 - HS NORTHEAST,DE GOL ORGANIZATION THE LP,851 PLANK RD,,,DUNCANSVILLE,PA,16635,http://www.degolcarpet.com,(814) 695-1111
209 - MID-ATLANTIC,506 - HS NORTHEAST,FUNCH INC,CRAFT RUG MILLS,901 LINE ST,,EASTON,PA,18042,http://craftrugmills.biz/,(610) 258-3947
207 - SOUTH CENTRAL,507 - HS SOUTH CENTRAL,JIM OWENS CARPET CORP,4400 AIRLINE DR,,,METAIRIE,LA,70001-5661,http://www.jimowensflooring.com/,(504) 835-6969
203 - NORTH CENTRAL,503 - HS NORTH CENTRAL,SMILIN' SAM'S INC.,4358 ORCHARD RD,,,NEW HAVEN,MO,63068,http://www.smilinsams.net/,(573) 459-6483
208 - MID CENTRAL,506 - HS NORTHEAST,JIMELLE INC,927 COUNTY ROAD 12,,,CORUNNA,IN,46730-9746,http://www.jimelleflooring.com,(260) 925-9999
203 - NORTH CENTRAL,503 - HS NORTH CENTRAL,GREAT WESTERN FLOORING CO,1051 FRONTENAC RD,,,NAPERVILLE,IL,60563,http://www.greatwesternflooring.com/,(630) 236-2200
204 - CENTRAL PLAINS,503 - HS NORTH CENTRAL,DUGAN PAINTS INC,3103 ERIKA AVE,PO BOX 1385,,SEDALIA,MO,65302,www.duganpaints.com,(660) 826-0142
207 - SOUTH CENTRAL,507 - HS SOUTH CENTRAL,AMERICAN CARPET,2422 S EXPRESSWAY 83,,,HARLINGEN,TX,78552,http://www.intercarpets.com,(956) 421-3623
206 - NORTHEAST,506 - HS NORTHEAST,CARPET CASTLE INC,2926 TRANSIT RD,,,WEST SENECA,NY,14224,www.flooringcastle.com/,(716) 675-9191
208 - MID CENTRAL,506 - HS NORTHEAST,HARPENAU ENTERPRISES INC,DBA WHITE'S FLOORING,2249 N DETROIT ST,,WARSAW,IN,46580,http://whitesflooring.com/,(574) 269-4443
205 - SOUTH WEST COAST,505 - HS SOUTH WEST COAST,BARGAIN BARN INC.,DBA/CARPET PLUS,1301 W SUNSET BLVD,,SAINT GEORGE,UT,84770,N/A,(435) 628-0870
209 - MID-ATLANTIC,506 - HS NORTHEAST,DAGSBORO PAINT & WALLPAPER,NORTH MAIN ST,PO BOX 57,,DAGSBORO,DE,19939,http://www.dagsboropaint.com/,(302) 732-3333
206 - NORTHEAST,506 - HS NORTHEAST,J & J BRANFORD INC,JOE'S FLOOR STORE,145 N MAIN ST,,BRANFORD,CT,6405,N/A,(203) 483-5667
203 - NORTH CENTRAL,503 - HS NORTH CENTRAL,CARPET WEAVERS - PEORIA,8113 N KNOXVILLE AVE,,,PEORIA,IL,61615,http://www.carpetweaversflooring.com/,(309) 693-7300
220 - SOUTHEAST CENTRAL,501 - HS SOUTHEAST,"HUGHES FLOORCOVERING, INC.",4312 MONROE RD,,,CHARLOTTE,NC,28205,www.hughesfloorcovering.com,(704) 372-7486
220 - SOUTHEAST CENTRAL,501 - HS SOUTHEAST,EASTMAN CARPETS INC,4044 ARENDELL ST,,,MOREHEAD CITY,NC,28557,http://www.eastmancarpet.com/,(252) 726-2737
203 - NORTH CENTRAL,503 - HS NORTH CENTRAL,ONE STOP FLOOR SHOP INC,BESEDA PRO FLOORING,5773 WESTWOOD DR,,SAINT CHARLES,MO,63304,N/A,(636) 926-9989
210 - NORTH WEST COAST,505 - HS SOUTH WEST COAST,"FINISHING TOUCH PNW, INC",14219 SMOKEY PT BLVD BLDG 16,PO BOX 3127,,ARLINGTON,WA,98223,http://www.finishingtouchpnw.com/,(360) 658-0120
208 - MID CENTRAL,506 - HS NORTHEAST,ERIE COUNTY ENTERPRISES INC,JAMIE'S CARPETSHOP-SANDUSKY,46125 TELEGRAPH RD,,AMHERST,OH,44001,N/A,(419) 624-9998
203 - NORTH CENTRAL,503 - HS NORTH CENTRAL,CARPET WEAVERS - BROWNBEE,616 W MARKETVIEW DR,,,CHAMPAIGN,IL,61822,http://www.carpetweaversflooring.com/,(217) 398-1800
205 - SOUTH WEST COAST,505 - HS SOUTH WEST COAST,FURNITURE DISTRIBUTORS INC,APOLLO FLOORING,5851 E SPEEDWAY,,TUCSON,AZ,85712,http://www.apolloflooring.com/,(520) 296-5411
207 - SOUTH CENTRAL,507 - HS SOUTH CENTRAL,LUBBOCK CARPET WORLD I INC,4015 34TH ST,,,LUBBOCK,TX,79410,http://www.lubbockcarpetworld.com/,(806) 792-3848
207 - SOUTH CENTRAL,507 - HS SOUTH CENTRAL,CITATION SECURITIES,DBA CARPET WORLD,8501 SW 34TH AVE UNIT 200,,AMARILLO,TX,79121,N/A,(806) 351-2700
203 - NORTH CENTRAL,503 - HS NORTH CENTRAL,FLOORING & MORE INC,2600 MORSE ST,,,JANESVILLE,WI,53545,www.flooringandmoreinc.com,(608) 757-1151
208 - MID CENTRAL,506 - HS NORTHEAST,"FABULOUS FLOORS, INC",6546 W HIGHWAY 146,,,CRESTWOOD,KY,40014,http://www.fabulousfloors.biz/contact-us/,(502) 241-8799
210 - NORTH WEST COAST,505 - HS SOUTH WEST COAST,RELIABLE FLOOR COVERING INC,542 MAIN ST,,,EDMONDS,WA,98020,www.reliablefloorcoverings.com,(425) 778-1121
210 - NORTH WEST COAST,505 - HS SOUTH WEST COAST,ALEX BUSINESS GROUP,CARPET LAND,3110 E HAMMER LN,,STOCKTON,CA,95212-2812,N/A,(209) 473-3081
220 - SOUTHEAST CENTRAL,501 - HS SOUTHEAST,WILSON CARPET PLUS INC,1718 N MAIN ST,,,SUMMERVILLE,SC,29483,http://www.wilsonscarpetplus.com/,(843) 569-7322
212 - CENTRAL CANADA,212 - CENTRAL CANADA,HOTEK HOLDINGS LTD,CENTRAL ALBERTA FLRINGS & INT,#9 - 7667 50TH AVE,ALBERTA,RED DEER,CN,T4P 1M6,N/A,(403) 342-5010
208 - MID CENTRAL,506 - HS NORTHEAST,CHRISTOFF & SONS FLOOR COV,109 S ELM ST,,,JACKSON,MI,49203-1914,http://www.christoffs.com/,(517) 782-1971
208 - MID CENTRAL,506 - HS NORTHEAST,HOCKEMEYER TODD K INC,K & N CARPET,12108 US 27 SOUTH,,FORT WAYNE,IN,46816,http://www.kncarpet.com/AboutUs/tabid/8715/Default.aspx,(260) 639-3591
208 - MID CENTRAL,506 - HS NORTHEAST,CITY CARPET INC,CARPET MART,2001 WEST PROSPECT RD,,ASHTABULA,OH,44004,N/A,(440) 998-2233
220 - SOUTHEAST CENTRAL,501 - HS SOUTHEAST,EMPIRE CARPET AND DRAPERIES,10500 MCMULLEN CREEK PKWY,,,CHARLOTTE,NC,28226,N/A,(704) 541-3988
205 - SOUTH WEST COAST,505 - HS SOUTH WEST COAST,CARPET U S A,11143 W WASHINGTON BLVD,,,CULVER CITY,CA,90232,www.carpetusa.com,(323) 870-3787
207 - SOUTH CENTRAL,505 - HS SOUTH WEST COAST,MALOOLY'S CARPET CITY,MALOOLY GEORGETTE,765 N VALLEY DR,,LAS CRUCES,NM,88005,www.maloolys.com/,(575) 523-0633
206 - NORTHEAST,506 - HS NORTHEAST,PBK CARPET CORP,CARPET MILL OUTLET,414 STATE ROUTE 10,,EAST HANOVER,NJ,7936,http://ecarpetmill.com/,(973) 884-2060
212 - CENTRAL CANADA,212 - CENTRAL CANADA,SURDEL CARPETS LTD,13562 77TH AVE,,BRITISH COLUMBIA,SURREY,CN,V3W 6Y3,http://www.surdelcarpets.com/,(604) 591-6361
209 - MID-ATLANTIC,506 - HS NORTHEAST,GREATWAY CARPETS INC,520 RT 9 N,,,MANALAPAN,NJ,7726,http://www.greatwaycarpets.com/,(732) 536-3131
210 - NORTH WEST COAST,505 - HS SOUTH WEST COAST,RAYS CARPETS,VERISSIMO DAVID,200 KIERNAN AVE STE A,,MODESTO,CA,95356,http://www.rayscarpets.com/,(209) 577-5642
206 - NORTHEAST,506 - HS NORTHEAST,DELAIRS CARPET BARN INC,3998 ROUTE 2  BOX 56,,,EAST MONTPELIER,VT,5651,http://delairscarpetbarn.com/,(802) 223-7171
203 - NORTH CENTRAL,503 - HS NORTH CENTRAL,VONDERHEIDE FLOOR COVERING,105 N 14TH ST,,,PEKIN,IL,61554,http://www.vonderheide-flooring.com/index.php,(309) 346-3688
204 - CENTRAL PLAINS,503 - HS NORTH CENTRAL,INTERIOR DESIGN INC,1551 SOUTH HOLMEN DR,PO BOX 128,,HOLMEN,WI,54636-0128,http://interiordesignswi.com,(608) 526-3386
210 - NORTH WEST COAST,505 - HS SOUTH WEST COAST,CARPET II INC.,PREMIER FLOORCOVERING,807 S AUBURN ST,,GRASS VALLEY,CA,95945,http://www.premierfloors-gv.com/,(530) 273-3711
208 - MID CENTRAL,506 - HS NORTHEAST,CARPET SHOWCASE,3527 JACOB ST,,,WHEELING,WV,26003,http://www.carpetshowcasellc.com/,(304) 232-2277
204 - CENTRAL PLAINS,503 - HS NORTH CENTRAL,INDEPENDENT PAINT & FLOORING,219 S VICTORY DR,,,MANKATO,MN,56001,http://independentpaintandflooring.com/,(507) 345-7009
203 - NORTH CENTRAL,503 - HS NORTH CENTRAL,CARPET WEAVERS INC,1573 N STATE ROUTE 50,,,BOURBONNAIS,IL,60914,www.carpetweaversflooring.com,(815) 933-1153
208 - MID CENTRAL,506 - HS NORTHEAST,M T DEARING CPT CO INC,7200 APPLE LEAF LANE,,,SELLERSBURG,IN,47172-1869,N/A,(812) 246-5773
204 - CENTRAL PLAINS,503 - HS NORTH CENTRAL,TIM'S RIVER COMPANY INC,DBA CARPET MASTERS,1804 N WOODBINE RD,,SAINT JOSEPH,MO,64506,N/A,(816) 279-3299
203 - NORTH CENTRAL,503 - HS NORTH CENTRAL,TOTAL FLOOR COVERING INC,600 N WESTHILL BLVD,,,APPLETON,WI,54914,www.totalfloorcovering.com,(920) 735-9799
206 - NORTHEAST,506 - HS NORTHEAST,KDK LLC DBA AFFORDABLE FLOORS,1801 W EDGAR RD,,,LINDEN,NJ,7036,http://www.affordable-floors.com,(908) 862-3100
205 - SOUTH WEST COAST,505 - HS SOUTH WEST COAST,LEI FLOOR & WINDOW COVERINGS,430 ALAMAHA ST STE 103,,,KAHULUI,HI,96732,,(808) 871-8008
203 - NORTH CENTRAL,503 - HS NORTH CENTRAL,CARPET WEAVERS - DECATUR,1971 E PERSHING RD,,,DECATUR,IL,62526,,(217) 876-9800
220 - SOUTHEAST CENTRAL,501 - HS SOUTHEAST,JIM KLEMMER FLOORS INC,3022 VIRGINIA BEACH BLVD,,,VIRGINIA BEACH,VA,23452,,(757) 962-3845
207 - SOUTH CENTRAL,507 - HS SOUTH CENTRAL,DICORTE ENTERPRISES LLC,DBA/ADVANCED CARPET & INTS,PO BOX 20834,,WACO,TX,76702,,(254) 772-1717
210 - NORTH WEST COAST,505 - HS SOUTH WEST COAST,TOMMYHAWK INC DBA,CARPET OUTLET THE,7100 CHESTNUT STREET SUITE #B,,GILROY,CA,95020,,(408) 848-6788
210 - NORTH WEST COAST,503 - HS NORTH CENTRAL,"BJM,INC",DBA/NORTHWEST FLOORS,2760 GABEL RD,,BILLINGS,MT,59102,,(406) 651-8080
208 - MID CENTRAL,506 - HS NORTHEAST,RUFENERS INC,137 E OHIO AVE,,,RITTMAN,OH,44270,,(330) 925-9065
220 - SOUTHEAST CENTRAL,501 - HS SOUTHEAST,DIRECT CARPET FACTORY OUTLET,PREMIERE CARPET,223 N CENTER ST,,GOLDSBORO,NC,27530,,(919) 751-5400
207 - SOUTH CENTRAL,507 - HS SOUTH CENTRAL,DAVID'S SUPER FLOOR STORE INC,13885 SOUTHWEST FREEWAY,,,SUGAR LAND,TX,77478,,(281) 491-1114
