name,address,city,state,postal,phone,websites
A W RUG,16862 STAGG STREET,VAN NUYS,CA,91406,(818) 994-9993,www.awcarpet.com
SERGENIANS,2805 W. BELTLINE HWY,MADISON,WI,53713,(608) 271-1111,http://www.sergenians.com/
LAWRENCE CONTRACT FURNISHERS,470-B VANDELL WAY,CAMPBELL,CA,95008,(408) 374-7590,http://www.lawrencecontract.com
"CARLSON'S FLOORS, INC.",728 W. STATE STREET,GENEVA,IL,60134,(630) 232-4964,http://www.carlsonsfloors.com/
J & S DESIGNER FLOORING INC.,12 MOUNT KEMBLE AVENUE,MORRISTOWN,NJ,7960,(973) 605-5225,www.jsdesignerflooring.com/
EDDIES CARPET SERVICE LTD.,559 UNION AVE,CAMPBELL,CA,95008,(408) 371-7585,http://eddiescarpet.com/
TURABIAN & SARIYAN,21 NORTHFIELD ST.,GREENWICH,CT,6830,(203) 869-5950,turabianandsariyan.com
NORMAN CARPET,60 GREENFIELD AVENUE,ARDMORE,PA,190031204,(610) 896-9700,http://www.normancarpet.net
FLOOR CONCEPTS,16760 VENTURA BLVD.,ENCINO,CA,91316,(818) 788-1444,www.flooringconcepts.com.au/
PIONEER HOME SUPPLY,P.O. BOX 841,BELMONT,CA,94002,(415) 781-2374,www.pioneerrental.com/
NAZAR CARPET CO.,1 GRAND AVENUE,ENGLEWOOD,NJ,7631,(201) 569-7067,not found
"RUG WORKS, INC.",495 ROUTE 17,PARAMUS,NJ,7652,(201) 967-1250,www.rugworksinc.com
ARROW FLOOR & WALLCOVERING,207 NORTH MAIN STREET,ANDOVER,MA,1810,(978) 247-6060,http://www.arrowfloorcarpetoneandover.com
MERTEL CARPETS INC.,4212 REDWOOD HWY,SAN RAFAEL,CA,94903,(415) 479-2180,www.mertelcarpets.com
LANDRY & ARCARI INTERIORS INC,63 FLINT ST,SALEM,MA,1970,(978) 744-5909,www.landryandarcari.com
A & D FLOOR & CARPET ENT. LTD,1460 3RD AVENUE,NEW YORK,NY,10028,(212) 734-8929,adflooring.co.uk/
REGENCY ROYALE,331 RIO GRANDE SUITE 105,SALT LAKE CITY,UT,84101,(801) 575-6525,http://regencyroyale.com
"WAGNER CARPET CO., INC.",400 HUMBOLDT STREET,SANTA ROSA,CA,95404,(707) 542-5700,http://www.wagnercarpet.com/
ABC CARPET OF FLORIDA,888 BROADWAY,NEW YORK,NY,10003,(561) 279-7777,http://www.abccarpet.com/store/
DAVID TIFTICKJIAN & SONS (2),5225 SHERIDAN DRIVE,WILLIAMSVILLE,NY,14221,(716) 634-8835,http://tiftickjianrugsdirect.com/index/
SIGNATURE FLOORS,41215 ALBRAE STREET,FREMONT,CA,94538,(510) 651-9494,http://www.signaturecarpetonefremont.com
"MADDEN MC FARLAND INTERIORS,",1903 W. 135TH STREET,LEAWOOD,KS,66224,(913) 681-2821,www.maddenmcfarland.com/
LEVI ACQUISITION 4 LLC,6329 BUSCH BLVD,COLUMBUS,OH,43229,(614) 846-4441,not found
"J.P. FLOORING SYSTEMS, INC.",9097 UNION CENTER BLVD,WESTCHESTER,OH,45069,(513) 346-4304,http://www.jpflooring.com
CAROUSEL INC.,3315 SUPERIOR LANE,BOWIE,MD,20715,(301) 262-2650,www.carouselindustries.com/
ERICKSON INTERIORS,1605 N. STATE STREET,BELLINGHAM,WA,98225,(360) 671-5880,not found
HARBOR FLOOR COVERING,3021 ORCHARD LAKE ROAD,KEEGO HARBOR,MI,48320,(248) 681-6460,http://www.harborfloors.com
BARNETTS CRENSHAW CARPET CNTR.,4611 CRENSHAW BLVD.,LOS ANGELES,CA,90043,(323) 295-7731,http://www.crenshawcarpet.com
MCQUEEN'S CARPETS & RUGS,746 E MAPLE ROAD,BIRMINGHAM,MI,48009,(248) 647-5250,dabbierifloorsmcqueens.com
"NIGOHSIAN CARPET & RUG CO.,INC",57 CRAWFORD STREET,NEEDHAM,MA,2494,(781) 444-7847,www.nigohsiancarpet.com
"BOUCHER INTERIORS, INC.",8811 BEVERLY BLVD.,LOS ANGELES,CA,90048,(310) 273-6400,www.creations-interiors.com/
"C & C FLOORING, INC.",77-844 LAS MONTANAS RD.,PALM DESERT,CA,92211,(760) 200-5542,http://www.ccflooring.us/
ROCKY MOUNTAIN FLOOR SYSTEMS,533 EAST HOPKINS,ASPEN,CO,81611,(970) 925-4440,not found
"C MARKARIAN & SONS, INC.",3807 DELAWARE AVE.,KENMORE,NY,14217,(716) 873-8667,http://www.markarianrugs.com
FLOORCOVERING ASSOCIATION,1000 BROOKFOREST AVENUE,SHOREWOOD,IL,60431,(815) 436-7306,http://www.fcainc.com/joliet
"T&G CARPETS, LLC",PO BOX 2208,LEONARD TOWN,MD,20650,(301) 475-3778,not found
B.I. ROSENHAUS & SONS INC.,243 WEST 72ND ST.,NEW YORK,NY,10023,(212) 873-1421,www.birosenhauscarpets.com
CREATIVE FLOORING,2410 BISSONNET,HOUSTON,TX,77005,(713) 522-1181,www.creativeflooringdesign.com
CREATIVE CARPET COMPANY,190 BULLOCK DRIVE #5,"MARKHAM, ONTARIO",CN,L3P 1W2,(905) 471-0111,www.creativecpt.com
HONQUEST FURNITURE FOR LIVING,1455 S BARRINGTON RD,BARRINGTON,IL,60010,(847) 382-1700,http://www.honquest.com
"KUHN FLOORING GALLERY I, INC",12504 WILES RD.,CORAL SPRINGS,FL,33076,(954) 344-4838,www.kuhnflooring.com
"CLIFTON CARPETS, INC.",959 DRAGON STREET,DALLAS,TX,75207,(214) 526-7405,www.cliftoncarpets.com
"NEBRASKA FURNITURE MART, INC.",P.O. BOX 3456,OMAHA,NE,68103,(402) 397-6100,www.nfm.com
"DELNAZ, INC.",199 HWY. 17 SOUTH,ROCHELLE PARK,NJ,7662,(201) 368-8836,www.Alliedcarpet.com
KAHN ENTERPRISES OF PALM BEACH,"1201 U.S HIGHWAY 1,SUITE 13",NORTH PALM BEACH,FL,33408,(561) 622-6333,none
LANE'S CARPET SERVICE,530 E UAHI WAY,WAILUKU,HI,96793,(808) 244-0202,www.lanes-carpets.com/
CARPET SPECIALISTS INC.,2101 STANLEY GAULT PARKWAY,LOUISVILLE,KY,40223,(502) 245-0221,http://www.carpetspecialistsonline.com/
CARPET BROKERS,14455 N 79TH STREET # G/H,SCOTTSDALE,AZ,85260,(480) 998-5633,www.thecarpetbrokers.com.au/
TUTTLE'S,"27751 A LA PAZ ROAD",LAGUNA NIGUEL,CA,92677,(949) 831-1332,http://www.tuttlescarpetonelagunaniguel.com
CREATIVE FLOORING LTD. (2),145 KISCO AVENUE,MT. KISCO,NY,10549,(914) 666-6679,www.creative-floors.co.uk/
ROBB & STUCKY  PHOENIX,15440 NORTH SCOTTSDALE ROAD,SCOTTSDALE,AZ,85254,(480) 922-0011,http://www.robbstucky.com/
CORNELL CARPET & DESIGN,145 E MAIN STREET,MT KISCO,NY,10549,(914) 241-1227,www.cornellcarpets.com
LOUIS SHANKS OF TEXAS,P.O. BOX 10448,AUSTIN,TX,78766,(512) 451-6501,www.louisshanksfurniture.com
"NASHVILLE CARPET CENTER, INC.",515 4TH AVE. SOUTH,NASHVILLE,TN,37210,(615) 244-9591,www.nashvillecarpet.com
"RUGGS BENEDICT, INC.",P.O. BOX 830,AVON,CO,81620,(970) 949-5390,http://ruggsbenedict.com/
"THE CARPET SHOP, INC.",3114 WRIGHTSBORO RD.,AUGUSTA,GA,30909,(706) 736-1491,carpetshop.com/
COLES INTERIOR DESIGN CENTER,2260 COMMERCE AVE STE F,CONCORD,CA,94520,(925) 680-5325,not found
"CARPETMASTER OF LATHAM, LTD.",110 RAILROAD AVENUE,ALBANY,NY,12205,(518) 435-9544,www.carpetmastercarpetonelatham.com/
CARPETS OF DALTON,P.O. BOX 1412,DALTON,GA,30722,(706) 277-3132,https://www.carpetsofdalton.com/
"HEMPHILL'S RUGS & CARPETS,INC.",230 E. 17TH STREET,COSTA MESA,CA,92627,(949) 722-7224,http://www.rugsandcarpets.com/
SCHOENERS INTERIORS,2045 120TH AVE N E #200,BELLEVUE,WA,98005,(425) 462-6601,www.schoenersinteriors.com
"E. MASIN FURNITURE CO., INC","220 SECOND AVE., SOUTH",SEATTLE,WA,98104,(206) 622-5606,http://www.masins.com
LIPMAN CARPET,4240 CH DE LA COTE DE LIESSE,MONTREAL QUEBEC,CN,H4N 2P7,(514) 737-5022,www.lipmancarpet.com
NEVADA CONTRACT CARPET INC.,6840 W. PATRICK LN,LAS VEGAS,NV,89118,(702) 362-3033,none
DAVID TRUETT ENTERPRISES,1444 OAK LAWN SUITE 220,DALLAS,TX,75207,(214) 748-7550,http://truettcarpetsandrugs.com/
ROBERT CAMPBELL'S CRPT SERVICE,413 MAIN STREET,PORT WASHINGTON,NY,11050,(516) 883-8509,http://campbellscarpet.com/
ALEXANIAN FLOORING LTD.,601 MAIN ST. WEST,"HAMILTON, ONTARIO",CN,L8P 1K9,(905) 527-2857,www.alexanian.com/
MIDWEST FLOOR,2714 BRECKENRIDGE INDSTRL CT.,ST. LOUIS,MO,63144,(314) 647-6060,www.mid-westfloor.com/
ANDERSON & SONS CARPETS,686 GUELPH LINE,ONTARIO,CN,L7R 3M8,(905) 639-0666,www.frasercarpets.ca
MOBILE CARPET CLUB INC,518 W WASHINGTON AVE,ESCONDIDO,CA,92025,(760) 740-9545,http://www.carpetclub.com
C & K CORP.,7 WEST AVENUE,WAYNE,PA,19087,(610) 989-9339,http://7westcarpet.com/
STRATHMORE FLOORS,P O BOX 43544,ATLANTA,GA,30336,(404) 872-0024,www.strathmorefloors.com
GILL CARPET OF SOUTHAMPTON,633 COUNTY ROAD 39A,SOUTHAMPTON,NY,11968,(631) 283-0885,www.thecarpetman.net
CAROLINA CARPETS,5421 RICHMOND RD.,WILLIAMSBURG,VA,23188,(757) 565-3006,none
COLIN CAMPBELL & SONS LTD. (2),494 RAILWAY ST,"VANCOUVER, B.C.",CN,V6A 1B1,(604) 734-2758,http://www.colin-campbell.ca/
"RUGGIERI FLOORING, INC.",1191 PONTIAC AVENUE,CRANSTON,RI,2920,(401) 942-1700,http://www.ruggiericarpetonecranston.com
CUT RITE CARPETS INC.,825 WHITE PLAINS RD.,SCARSDALE,NY,10583,(914) 725-9099,www.cutritecarpets.com
"GIANT FLOOR & WALL COV CO, INC",1345 HWY 315,WILKES-BARRE,PA,18702,(570) 825-3435,www.giantfloor.com/
B & T INC.,741 S. HURON STREET,DENVER,CO,80223,(303) 777-6277,http://denver.thefloorclub.com
PROFLOORS INC,3066 TAMIAMI TRAIL N SUITE 301,NAPLES,FL,34103,(239) 597-0077,http://www.profloors.biz/
REXX RUG & LINOLEUM CO. INC.,3312 N. LINCOLN,CHICAGO,IL,60657,(773) 281-8800,http://www.rexxrug.com
"BUILDERS CARPET, INC.","5358 QUAM CIRCLE, N.E.",ST. MICHAEL,MN,55376,(763) 497-4407,http://www.focalpointflooring.com/
RILEY PEYTON CORP,1111 EAST FRANCISCO BLVD #3,SAN RAFAEL,CA,94901,(415) 458-1717,http://www.architecturaldesigncarpets.com/
"SAN MATEO CARPETS,INC.",101 N AMPHLETT BLVD,SAN MATEO,CA,94401,(650) 347-0800,http://sanmateo.abbeycarpet.com
"BOCKRATH,INC.",5557 FAR HILLS AVE.,DAYTON,OH,45429,(937) 438-0870,www.bockrathcarpet.com
VENETIAN BLIND & FLOOR,2504 BISSONNET,HOUSTON,TX,77005,(713) 528-2404,www.vbaf.com/
"CDK CARPET,INC.",42598 WOODWARD,BLOOMFIELD HILLS,MI,48304,(248) 333-7086,www.carpetone.com
WAREHOUSE DIRECT FLOORING INC,74-5606 PAWAI PLACE BAY 11,KAILUA-KONA,HI,96740,(808) 331-8801,www.flooringwarehousedirect.com/
ARMSTRONG CPT & LINOLEUM CO.,369 WEST PORTAL AVENUE,SAN FRANCISCO,CA,94118,(415) 751-2827,http://www.armstrongcarpet.com
ANDREW J BOYAJIAN INC,9 BEDFORD STREET,BURLINGTON,MA,1803,(781) 272-7600,http://www.ajrosecarpets.com/
CARPET JEWELERS INC.,5370 IROQUOIS CT.,CLARKSTON,MI,48348,(248) 394-0322,not found
WORLDWIDE WHOLESALE,1055 ROUTE 1 SOUTH,EDISON,NJ,8837,(732) 906-1400,http://www.worldwidefloors.com
CAP CARPET SALES INC.,1449 1ST AVE NW,NEW BRIGHTON,MN,55112,(651) 636-2617,http://www.capcarpet.com/
MYERS CARPET,3096 N DUG GAP RD,DALTON,GA,30722,(706) 277-4053,http://www.myerscarpet.com
ABBOTT PAINTING,1808 GRAND AVE,ST. PAUL,MN,55105,(651) 698-5518,www.abbottpaint.com/
FLOORS INC.,4968 VIRGINIA BEACH BLVD.,VIRGINIA BEACH,VA,23462,(757) 490-0000,www.floorsinc.com/
NORTHPORT FLOORING AMERICA,661 W PORTAGE TRAIL,AKRON,OH,44313,(330) 923-9988,http://www.northportflooring-america.com
R TWO CORP,251 S. LAKE DESTINY DR,ORLANDO,FL,32810,(407) 660-8400,http://www.flooringcenterorlando.com
"FLOORING 101, INC",1660 S. OXNARD BLVD,OXNARD,CA,93030,(805) 486-8887,http://www.floors101.com
"SOVEREIGN DISTRIBUTORS, INC",2030 SPRINGDALE ROAD SUITE 400,CHERRY HILL,NJ,8003,(856) 489-4996,http://www.avaloncarpettile.com
DAVID'S FURNITURE LTD,5078 JONESTOWN ROAD,HARRISBURG,PA,17112,(717) 233-2955,http://www.davidsfurniture.com
"GREENSPRING CARPET, INC.",2147 GREENSPRING DR.,TIMONIUM,MD,21093,(410) 561-9200,http://greenspringcarpetsource.com
"THE CARPETMAN OF YORK,INC.",700 W. MARKET STREET,YORK,PA,17401,(717) 755-2881,www.helfthecarpetman.com/
CARPET & DESIGN EMPORIUM INC,469 SUNRISE HIGHWAY,LYNBROOK,NY,11563,(516) 256-2800,carpetanddesignemporium.com/
"L&L FLOORING,INC.",3071 N. LINCOLN,CHICAGO,IL,60657,(773) 935-9314,www.homecarpet1.com
PEERLESS RUG COMPANY,3033 NORTH LINCOLN AVE,CHICAGO,IL,60657,(773) 525-9034,http://peerlessrugcompany.com
DESITTER CARPET & RUG,1 TIMBER COURT,BOLINGBROOK,IL,60440,(630) 771-1420,desitterflooring.com/
ANTMAN ENTERPRISES,579 WESTLAKE ST,ENCINITAS,CA,92024,(760) 436-0900,http://www.superiorfloors.com
C B FLOORING,9515 GERWIG LANE SUITE 130,COLUMBIA,MD,21046,(410) 381-5400,www.cbflooring.com
LEADER CARPET A CALIF CORP,28350 ROADSIDE DRIVE,AGOURA HILLS,CA,91301,(818) 735-7825,http://leaderflooring.com/
CARPETOWN,5139 HWY 52 NORTH,ROCHESTER,MN,55901,(507) 282-3434,not found
DESIGNERS CHOICE,9102 NIEMAN,OVERLAND PARK,KS,66214,(913) 492-3800,www.designerschoice.in/
MCSWAIN CARPETS INC,2430 E KEMPER ROAD,CINCINNATI,OH,45241,(513) 771-1400,www.mcswaincarpets.com/
GIORGI BROS.,211 BADEN AVENUE,SO. SAN FRANCISCO,CA,94080,(650) 588-4621,www.giorgibros.com/
GREAT FLOORS INC.,28265 BECK ROAD C-18,WIXOM,MI,48393,(248) 344-7994,http://www.floorclubofsemichigan.com
INDEPENDENT FLOOR COVERING,1400 N. WAYNE ROAD,WESTLAND,MI,48185,(734) 729-6200,http://www.independentcarpetonewestland.com
REMNANT WAREHOUSE,5879 COMMERCE BLVD,ROHNERT PARK,CA,94928,(707) 935-0648,http://rugworks.brandsource.biz
THE HADINGER CPT CO OF NAPLES,6401 NORTH AIRPORT RD,NAPLES,FL,34109,(239) 566-7100,http://www.hadingerflooring.com
"ROBB & STUCKY, LTD. (S",2777 N. TAMIAMI TRAIL,NAPLES,FL,34103,(239) 261-3969,www.robbstucky.com/
"PIEDMONT FLOORING & DESIGN,INC",13199 PIEDMONT VISTA DRIVE,HAYMARKET,VA,20169,(703) 753-6708,http://www.manta.com/c/mmlyycb/piedmont-flooring-design-inc
"WALLFLOWERS, INC.",2820 E. 30TH,SPOKANE,WA,99223,(509) 534-5064,shopwallflowers.com/
REGAL FLOORING CENTER,7040 AVENIDA ENCINAS #103,CARLSBAD,CA,92011,(760) 431-1300,www.regalflooringcenter.com/
GREAT FALLS FLOORS,1025-K SENECA ROAD,GREAT FALLS,VA,22066,(703) 759-9200,not found
HAGOPIAN WORLD OF RUGS,43323 TWELVE MILE RD,NOVI,MI,48377,(248) 374-5672,www.originalhagopian.com/
IMPERIAL CARPET & HOME,1177 CALEDONIA ROAD,"TORONTO,ONTARIO",CN,M6A2X1,(416) 783-8838,www.carpetandhome.com/
MARO'S INC.,27 E. BUTLER AVE,AMBLER,PA,19002,(215) 646-8178,http://www.marosfloorcovering.com/
KENSINGTON FLOORS INC.,"A5, 624 BEAVER DAM RD. NE","CALGARY,AB",CN,T2K 4W6,(403) 283-3300,http://www.kensingtoncarpetone.ca/
BOB WAGNER'S MILL CARPET INC.,4531 W. LINCOLN HWY PO BOX 411,DOWNINGTOWN,PA,19335,(610) 436-9418,www.bobwagnerflooringdowningtown.com
WDN ENTERPRISES,67-615 E PALM CANYON DR,CATHEDRAL CITY,CA,92234,(760) 321-8600,not found
A.C. RAMIREZ FLOOR COVERINGS,824 CACIQUE STREET,SANTA BARBARA,CA,93103,(805) 965-0095,www.acramirez.com
ROBERTS CARPET & FINE FLOORS,4750 GULF FREEWAY,HOUSTON,TX,77023,(713) 926-7200,www.robertscarpet.com/
CARPET GALLERY,1103 CENTRAL PARK AVE,SCARSDALE,NY,10583,(914) 713-4700,www.carpetgalleryoshkosh.com/
R & L CLASSIQUE FLOOR INC,14127 S E STARK ST,PORTLAND,OR,97233,(503) 255-6775,http://classiquefloors.com/
BAKHTIARI INVESTMENTS,555 E FRANCISCO BLVD,SAN RAFAEL,CA,94901,(415) 454-4200,none
G W PAULSON CO,P O BOX 23429,PORTLAND,OR,97281,(503) 620-7080,http://www.paulsonsfloorcoverings.com/
MIDA INC.,21465 PRICE CASCADES PLAZA,STERLING,VA,20165,(703) 450-8181,http://www.abbeycarpetflooringcenter.com
GEHMAN & COMPANY,121 GETTYSBURG PIKE,MECHANICSBURG,PA,17055,(717) 620-2323,http://www.gehmanandco.com/
PORTLAND CARPET CENTER,6655 SW MACADAM AVE,PORTLAND,OR,97239,(503) 246-9800,www.crowncarpets.com/
ALAN PIERCE PRODUCTION INC,11061 W PICO BLVD,LOS ANGELES,CA,90064,(310) 479-3761,http://www.barrycarpet.com
GULESSERIAN BROS INC,1933 DAVIS STREET # 102,SAN LEANDRO,CA,94577,(510) 569-1600,not found
ESQUIRE INTERIORS,5863 JACKSON ROAD,ANN ARBOR,MI,48103,(734) 663-7011,www.esquireinteriors.com
THE FLOOR STORE INC,5327 JACUZZI ST STE 2A,RICHMOND,CA,94804,(510) 559-1235,thefloorstoreinc.com/
CARPET CENTRAL &,1855 DEERFIELD RD SUITE L,HIGHLAND PARK,IL,60035,(847) 579-5044,www.highlandpark.patch.com
CALIFORNIA CARPET LLC,695 INDUSTRIAL RD,SAN CARLOS,CA,94070,(650) 591-3355,www.calfloor.com
ESTISA INC  A.K.A. CLASSIC,2303 S STOCKTON STREET,LODI,CA,95240,(209) 334-4060,not found
