name,address,city,state,websites,phone,owners,other_emails,primary_email,,,,,,,,,,,,,,,,,,
HOFFMANN FLOORS INC,,NEW BRAUNFELS,TX,"http://www.hoffmannfloors.com,",(830) 625-2629,Wayne L. Hoffmann,-,N/A,,,,,,,,,,,,,,,,,,
KEVCO CARPETS & VINYL INC,,HERMITAGE,TN,"http://www.kevcocarpet.com/default.aspx,",(615) 871-0001,Kevin Early,kevinearly@kevcocarpets.com,N/A,,,,,,,,,,,,,,,,,,
SUMMIT FLOORS/RETAIL,,HOUSTON,TX,"http://www.summitfloors.com/,",(713) 224-2544,Joe Hardberger,jhardberger@summitfloors.com,N/A,,,,,,,,,,,,,,,,,,
AMERICAN CARPET,,HARLINGEN,TX,"http://www.intercarpets.com,",(956) 421-3623,Eduardo Lara,-,N/A,,,,,,,,,,,,,,,,,,
ROYAL FLOORINGS & PAINTS,,ALTOONA,IA,"http://www.royalflooringandpaints.com/,",(515) 957-9738,Nick Fiala,-,"N/A, dougs@sassman.biz",,,,,,,,,,,,,,,,,,
STRAIT FLOORS,,SEQUIM,WA,"http://straitfloors.com/,",(360) 683-4343,Chad Copeland; Steve Wilson,ccopeland@straitfloors.com; steve.wilson@straitfloors.com,chadcopeland@hotmail.com,,,,,,,,,,,,,,,,,,
BUDGET FLOORING,,LAS VEGAS,NV,"http://budgetflooringlv.com/,",(702) 647-3800,Patricia Klein,-,budgetflooringlv@gmail.com,,,,,,,,,,,,,,,,,,
ARIZONA TILE COMPANY,,SPRINGFIELD,IL,"http://www.ariztile.com,",(217) 793-6922,Sheryl Daugherty,-,customerservice@ariztile.com,,,,,,,,,,,,,,,,,,
THORNTON CARPET INC,,SIOUX FALLS,SD,"http://www.thorntoncarpets.com,",(605) 368-2568,Richard Thorton; Matthew Thorton,-,N/A,,,,,,,,,,,,,,,,,,
"FRED'S CARPET,FLOOR SHOW INC",23760 MILES ROAD,BEDFORD HEIGHTS,OH,"www.calvettabrothers.com,www.calvettabrothers.com,",(216) 662-5550,Austin Calvetta,austin@calvettabrothers.com,N/A,,,,,,,,,,,,,,,,,,
TROTTS QUALITY CARPET,,SOUTH DAYTONA,FL,"http://www.trottscarpet.com/,",(386) 788-0118,Thomas Trott; Betty June Trott,-,trottscarpet@cfl.rr.com,,,,,,,,,,,,,,,,,,
HARPENAU ENTERPRISES INC,,WARSAW,IN,"http://whitesflooring.com/,",(574) 269-4443,Bill Harpenau,bill@whitesflooring.com,vanessa@whitesflooring.com,,,,,,,,,,,,,,,,,,
TEXAS FLOORS,,CYPRESS,TX,"http://texasfloorsonline.com/,",(281) 370-8200,-,-,texasfloors@yahoo.com,,,,,,,,,,,,,,,,,,
COUTURE FLOORS,,BOERNE,TX,"http://www.couturefloors.com/,",(830) 981-8491,Dan Majetich,dmajetich@couturefloors.com,dmajetich@couturefloors.com,,,,,,,,,,,,,,,,,,
SUPREME CARPET SALES INC,,BAY CITY,MI,"http://supremefloors.com/,",(989) 684-8888,Thomas Meirow Kiwanis,-,corp@supremefloors.com,,,,,,,,,,,,,,,,,,
LEE APPLIANCE CO INC,,PLATTSBURGH,NY,"http://www.leeappliance.com/,",(518) 563-0900,Gary Bertrand,sales@leeappliance.com,valerie@leeappliance.com,,,,,,,,,,,,,,,,,,
EDMONDSON INC,,AUGUSTA,GA,"http://littlerock.citysearch.com/profile/1541324/jacksonville_ar/edmondson_inc.html,",(706) 650-0400,Greg Edmonson,-,N/A,,,,,,,,,,,,,,,,,,
MARKS FLOORING CTR INC,,MINNEOLA,FL,"http://marksfloorsonline.com/,",(352) 394-0303,Mark Compston,-,N/A,,,,,,,,,,,,,,,,,,
AFFORDABLE FLRS OF NY INC,,NEWBURGH,NY,"http://www.affordable-floors.com/,",(845) 565-2000,Marc Horowitz,mhorowitz@affordable-floors.com,kkranec@affordable-floors.com,,,,,,,,,,,,,,,,,,
FRANKS FLOOR COVERING,,BORGER,TX,"http://www.franksfloorcovering.com/,",(806) 274-3929,Frank Fernandez; Amy Fernandez,-,franksfloorcovering@hotmail.com,,,,,,,,,,,,,,,,,,
CUSTOM FLOOR COVERINGS,,NORTH LOGAN,UT,"http://www.customfloorcovering.com/,",(435) 755-0963,-,-,N/A,,,,,,,,,,,,,,,,,,
WALL-TO-WALL FLOOR COVERING,,RONKS,PA,"http://flooringinstrasburg.com/,",(717) 687-6485,H. Mervin Breckmill; Jerrry Fisher,-,walltowall@verizon.net,,,,,,,,,,,,,,,,,,
NIC/LOR FLOORS,,CHANTILLY,VA,"http://www.nic-lorfloors.com/,",(703) 968-6498,Gary Swinea,garyswinea@nic-lorfloors.com,"N/A,",,,,,,,,,,,,,,,,,,
ENHANCE HOME SERVICES INC,,MARIETTA,GA,"http://enhancefloors.com/,",(770) 565-3808,Elisabeth Stubbs,-,N/A,,,,,,,,,,,,,,,,,,
VALLEY FLOOR COVERING,,NAUGATUCK,CT,"http://valleyfloorcoveringct.com/,",(203) 723-6978,Richard Adamaitis,-,N/A,,,,,,,,,,,,,,,,,,
CAROLS CARPET INC,,MONTGOMERY,AL,"http://carolscarpet.com/,",(334) 272-5400,Lee Courson,-,susan@carolscarpet.com,,,,,,,,,,,,,,,,,,
"MCNULTY'S BUILDING SUPPLY,INC.",,POTTSVILLE,PA,"http://mcnulty.flooringplus.com/,",(570) 544-9414,James McNulty,-,N/A,,,,,,,,,,,,,,,,,,
GEORGIA DIRECT CARPETS INC,,RICHMOND,IN,"http://georgiadirectcarpetinc.com/index.htm,",(765) 966-2548,AL Bledsoe,a.bledsoe@georgiadirect.biz,rbledsoe@georgiadirect.biz,,,,,,,,,,,,,,,,,,
CENTURY SUPPLY COMPANY,,CHICAGO,IL,"http://www.century-tile.com/,",(773) 735-6600,Frederick M. Schmidt,freds@century-tile.com,N/A,,,,,,,,,,,,,,,,,,
ALL AMERICAN FLOORING INC,,FARMERS BRANCH,TX,"www.allamericanflooring.net,",(972) 661-3290,Tarek Alkadri,tarek@allamericanflooring.net,N/A,,,,,,,,,,,,,,,,,,
SMILIN' SAM'S INC.,,NEW HAVEN,MO,"http://www.smilinsams.net/,",(573) 459-6483,Bruce Adams,-,N/A,,,,,,,,,,,,,,,,,,
OWEN VALLEY FLOORING INC,,SPENCER,IN,"http://www.owenvalleyflooring.com/,",(812) 879-4204,Ann Hank,-,N/A,,,,,,,,,,,,,,,,,,
NADINE FLOOR CO INC.,,PLANO,TX,"http://www.nadinefloors.com/,",(972) 424-2525,Moses Neel,moses@nadinefloors.com,N/A,,,,,,,,,,,,,,,,,,
PRINTS & PAINTS INC,,GALION,OH,"http://www.myfloorsohio.com/,",(419) 462-5663,Gary Frankhouse Jr.,gary@printsandpaints.com,N/A,,,,,,,,,,,,,,,,,,
STEAMOUT CARPET CLEANING,,SAN ANGELO,TX,"http://www.floorstorebysteamout.com/,",(325) 949-3619,Mike Doyle; Julie Doyle,-,N/A,,,,,,,,,,,,,,,,,,
"FINISHING TOUCH PNW, INC",,ARLINGTON,WA,"http://www.finishingtouchpnw.com/,",(360) 658-0120,Raymond Bearden,-,N/A,,,,,,,,,,,,,,,,,,
MC NABB DONALD E COMPANY INC,,MILFORD,MI,"http://www.demcnabb.com/,",(248) 437-8146,Douglas McNabb,dmcnabb@demcnabb.com,N/A,,,,,,,,,,,,,,,,,,
"NIEHAUS LUMBER COMPANY, INC.",,VINCENNES,IN,"http://www.niehausinc.com/,",(812) 882-2710,Bernie Niehaus,-,N/A,,,,,,,,,,,,,,,,,,
BURNS FLOORING & DESIGN LLC,,WINTER HAVEN,FL,"http://www.burnsflooringanddesign.com/,",(863) 299-9080,Jim Burns; Penny Burns,-,N/A,,,,,,,,,,,,,,,,,,
WRIGHT FLOOR COVERING INC,,HOUMA,LA,"http://www.wrightsflooring.com/,",(985) 851-1604,Kenneth Wright,-,N/A,,,,,,,,,,,,,,,,,,
PREMIER FLOOR CENTER,,DYERSBURG,TN,"http://www.premierfloorcenter.com/,",(731) 285-4040,Roger Carroll,-,pfc@aeneas.net,,,,,,,,,,,,,,,,,,
BAS INC,,NORFOLK,NE,"http://www.noresdesigncenter.com/,",(402) 371-4440,Dale Phipps,dalep@noresdesigncetner.com,dalep@noresdesigncetner.com,,,,,,,,,,,,,,,,,,
CAVENDER'S LLC,,COOKEVILLE,TN,"http://www.cavendersinterior.com/,",(931) 372-2112,Ernie Cavender,ernie@cavendersinterior.com,N/A,,,,,,,,,,,,,,,,,,
D & F CARPET STORE PLUS,,RICHMOND HILL,GA,"http://carpetstoreplus.com/,",(912) 756-6868,Tracey Winters,tracey@carpetstoreplus.com,info@carpetstoreplus.com,,,,,,,,,,,,,,,,,,
NIELSEN BROS & SONS INC,,SEATTLE,WA,"http://www.nbfloors.com/,",(206) 783-5454,James P. Nielsen,-,N/A,,,,,,,,,,,,,,,,,,
"R TWO CORP,R-TWO CORPORATION,FLOOR 360, LLC",251 S. LAKE DESTINY DR,ORLANDO,FL,"http://www.flooringcenterorlando.com,http://www.flooringcenterorlando.com/,http://www.floor360.com/,",(407) 660-8400,Dick Rusnak; Bob Toby,btobe@floor360.com,N/A,,,,,,,,,,,,,,,,,,
FLEMING CARPET DISTRIBUTORS,,MARIETTA,GA,"http://www.flemingcarpet.com/,",(770) 420-3009,Albert Fleming,-,n/a,,,,,,,,,,,,,,,,,,
"BENSON FLOOR COMPANY,HUGHES FLOORCOVERING, INC",4312 MONROE ROAD,CHARLOTTE,NC,"Not found,www.hughesfloorcovering.com,",(704) 372-7486,Randy Hughes,randy@hughesfloorcovering.com,randy@hughesfloorcovering.com,,,,,,,,,,,,,,,,,,
ELYON INC.,,HARLINGEN,TX,"http://intercarpets.com/,",(956) 365-4048,Rduardo Galvan,eduardo@intercarpets.com,icarpets@hotmail.com,,,,,,,,,,,,,,,,,,
STOUTS CARPET INC,,OXFORD,MS,"www.stoutscarpets.com,",(662) 234-5227,Mitchell Stout,-,stoutscarpet@bellsouth.net,,,,,,,,,,,,,,,,,,
ALTIMATE FLOORING,,RAPID CITY,SD,"http://www.altimateflooring.com/,",(605) 390-7900,Kurt E. Willigues,-,ba@altimateflooring.com,,,,,,,,,,,,,,,,,,
WIDMEIER FLOORING COMPANY,,DUBUQUE,IA,"http://www.widmeierflooring.com/,",(563) 599-7857,Joe Widmeier,-,N/A,,,,,,,,,,,,,,,,,,
"TUKASA CREATIONS, INC",,CORPUS CHRISTI,TX,"http://www.tukasaflooring.com/,",(361) 851-9440,Vienna Flores,-,tukasa@grandecom.net,,,,,,,,,,,,,,,,,,
HOUSE OF FLOORS,,ALBUQUERQUE,NM,"http://www.houseoffloorsabq.com/,",(505) 559-9190,Dennis Fairchild,HouseofFloorsabq@Qwest.net,Ryancof3@qwestoffice.net,,,,,,,,,,,,,,,,,,
LOCATION CARPET COMPANY INC,,WICKLIFFE,OH,"http://www.locationcarpet.com,",(440) 392-2000,Terry Schneider,-,N/A,,,,,,,,,,,,,,,,,,
JR & JR INC,,SWANSBORO,NC,"http://www.angieslist.com/companylist/us/nc/swansboro/james-w-bean-jr-cpa-inc-reviews-5997958.htm,",(252) 393-3165,-,-,N/A,,,,,,,,,,,,,,,,,,
CARPET CONCEPTS INC,,FOREST HILL,MD,"http://carpetconceptsonline.com/,",(410) 893-6549,Dave Graham,dave@carpetconceptsonline.com,N/A,,,,,,,,,,,,,,,,,,
GREAT WESTERN FLOORING CO,,NAPERVILLE,IL,"http://www.greatwesternflooring.com/,",(630) 236-2200,Steve Chirico,stevechirico@greatwesternflooring.com,stevechirico@greatwesternflooring.com,,,,,,,,,,,,,,,,,,
WRIGHT L F INC,,PONTIAC,IL,"http://www.wrights-furniture.com/,",(815) 844-7177,Gary Wright,gary@wrights-furniture.com,N/A,,,,,,,,,,,,,,,,,,
CENTRAL JERSEY FLOORING,,OLD BRIDGE,NJ,"http://www.jdflooring.com/,",(732) 828-7300,Michael E. Baber Jr.; Juan Figueroa,-,ContactUs@jdflooring.com,,,,,,,,,,,,,,,,,,
COMPLETE COMMERCIAL FLOORING,,AIEA,HI,"http://www.ccfhawaii.com/,",(808) 487-8223,Leilani Olinger,lani@ccfhawaii.com,ccfcustomfloors@aol.com,,,,,,,,,,,,,,,,,,
CARPET QUEEN AND FLOORS,,TEMPLE HILLS,MD,"http://www.carpetqueenandfloors.com,",(301) 899-3999,-,-,carpetqueen247@aol.com,,,,,,,,,,,,,,,,,,
OCEAN CITY FLOOR GALLERY,,OCEAN CITY,MD,"http://www.ocfloorgallery.com/,",(410) 213-9234,Scott LaClair; Chris Williams,; cwilliams@ocfloorgallery.com,N/A,,,,,,,,,,,,,,,,,,
VANDERBERG FURNITURE,,SIOUX CENTER,IA,"http://www.vanderbergfurniture.com/,",(712) 722-3286,Jeff Vander Berg,jeff@vbfurn.com,jeff@vbfurn.com,,,,,,,,,,,,,,,,,,
PERFECT FLOORS INC,,ROCHESTER HILLS,MI,"http://perfectfloorsinc.com/,",(248) 650-5199,John Williams,-,perfectfloors@sbcglobal.net,,,,,,,,,,,,,,,,,,
GABRIELS CPTS WEST INC,,EL PASO,TX,"http://www.carpetswest.com/,",(915) 581-4214,Charles Gabriel,-,customerservice@carpetswest.com,,,,,,,,,,,,,,,,,,
DUPUY J E FLRING &ACOUSTICAL,,MONROE,LA,"http://www.jedupuy.com/,",(318) 343-1737,Stanley Dupuy,sdupuy@jedupuy.com,"neill@jedupuy.com
sdupuy@jedupuy.com",,,,,,,,,,,,,,,,,,
SMITHS HOME DECORATING CENTER,,ONEIDA,NY,"http://www.smithsflooringoneidany.com/sb.cn,",(315) 363-0440,Mike Smith,-,N/A,,,,,,,,,,,,,,,,,,
CARPET U S A,,CULVER CITY,CA,"www.carpetusa.com,",(323) 870-3787,Bill Vanboening,bill@carpetusafloors.com,bill@carpetusafloors.com,,,,,,,,,,,,,,,,,,
AUS FLOORS & MORE,,GRANITE FALLS,MN,"www.ausflooring.com,",(320) 564-3832,Mike Aus,-,N/A,,,,,,,,,,,,,,,,,,
"BUILDER CONTRACT SALES, INC.",,MURRELLS INLET,SC,"http://buildercontract.brandsource.biz/,",(843) 651-3303,Tim Helms,tim@applianceplussc.com,janna@applianceplussc.com,,,,,,,,,,,,,,,,,,
SAVEMORE CARPETS,,QUINCY,IL,"http://www.savemorecarpets.com/,",(217) 224-7283,Todd Young,todd@savemorecarpets.com,greg@savemorecarpets.com,,,,,,,,,,,,,,,,,,
DAGSBORO PAINT & WALLPAPER,,DAGSBORO,DE,"http://www.dagsboropaint.com/,",(302) 732-3333,Dean Disharoon,-,dagsboropaint@verizon.net,,,,,,,,,,,,,,,,,,
TROY CARPET INC,,TROY,MO,"http://www.troyfurnitureco.com/,",(636) 528-5242,Bryce Harris,bryce@troyfurnitureco.com,N/A,,,,,,,,,,,,,,,,,,
CALHOUN TILE & CARPET,,BATTLE CREEK,MI,"http://www.michtile.com/,",(269) 962-6227,Alicia and Hans Stark,astark@michtle.com,floor@ctsmail.net,,,,,,,,,,,,,,,,,,
WRIGHT FURNITURE INC,,DIETERICH,IL,"http://www.wrightsfurniture.com/,",(217) 925-5228,-,-,wright@mmtcnet.com,,,,,,,,,,,,,,,,,,
HANSON FURNITURE & CARPET INC,,MILBANK,SD,"http://www.hansonfurniture.com/,",(605) 432-9504,Jim Hanson,jim@hansonfurniture.com,"jim@hansonfurniture.com
    chad@hansonfurniture.com
    barbara@hansonfurniture.com
    janice@hansonfurniture.com
    rob@hansonfurniture.com
    matt@hansonfurniture.com
    anthony@hansonfurniture.com",,,,,,,,,,,,,,,,,,
WILSON CARPET PLUS INC,,SUMMERVILLE,SC,"http://www.wilsonscarpetplus.com/,",(843) 569-7322,Betty M. Wilson,betty@wilsonscarpetplus.com,N/A,,,,,,,,,,,,,,,,,,
HOUSE OF FLOORS INC,,KILLEEN,TX,"http://www.house-of-floors.com/,",(254) 554-3430,Pam Rogers,-,N/A,,,,,,,,,,,,,,,,,,
JORDAN CORPORATION,,TUPELO,MS,"http://www.jordanflooring.com/,",(662) 844-0800,Jordan Litke,-,N/A,,,,,,,,,,,,,,,,,,
LUBBOCK CARPET WORLD I INC,,LUBBOCK,TX,"http://www.lubbockcarpetworld.com/,",(806) 792-3848,Gary Walker,-,rugman_deanking@yahoo.com,,,,,,,,,,,,,,,,,,
FURNITURE DISTRIBUTORS INC,,TUCSON,AZ,"http://www.apolloflooring.com/,",(520) 296-5411,Gus Fotinos,-,jenny@apolloflooring.com,,,,,,,,,,,,,,,,,,
FALCON FLOOR COVERING,,LEBANON,MO,"http://falconfloorcovering.com/,",(417) 532-3118,Patricia Bradley,-,contactus@falconfloorcovering.com,,,,,,,,,,,,,,,,,,
GENOA CUSTOM INTERIORS,,GENOA,OH,"http://www.genoacustominteriors.com,",(419) 855-7221,David Grosjean,-,info@genoacustominteriors.com,,,,,,,,,,,,,,,,,,
BENNETTS CARPETS INC,,RUSSELL SPRINGS,KY,"http://www.bennettscarpets.com/,",(270) 866-6930,Ivan Bennett,ivan@bennettscarpets.com,"n/a, admin@bennettscarpets.com",,,,,,,,,,,,,,,,,,
SIGNATURE FLOORS,,ZACHARY,LA,"http://www.signaturesouthernaccent.com/,",(225) 654-7110,Melanie Landry,-,leads@carpetone.com,,,,,,,,,,,,,,,,,,
J & J CARPET INC.,,VIDALIA,LA,"http://jandjcarpetla.com/,",(318) 336-8318,Marc Archer,marcarcher@cableone.net,marcarcher@cableone.net,,,,,,,,,,,,,,,,,,
LIMA CARPET CORP,,AVON,NY,"http://www.limacarpet.com/,",(585) 226-2180,Todd & Renne Wenner,-,N/A,,,,,,,,,,,,,,,,,,
GREATWAY CARPETS INC,,MANALAPAN,NJ,"http://www.greatwaycarpets.com/,",(732) 536-3131,Joseph Fuca; Albert Maya,joe@greatwaycarpets.com; al@greatwaycarpets.com,al@greatwaycarpets.com,,,,,,,,,,,,,,,,,,
MILLINGTON FLOOR COVERING INC,,MILLINGTON,TN,"http://www.millingtonfloorcovering.com/html/home.html,",(901) 872-8940,John C. Petty,-,N/A,,,,,,,,,,,,,,,,,,
RIVERCHASE FLRING CTR INC,,PELHAM,AL,"http://www.riverchasecarpet.com/,",(205) 985-9555,John Wilson,jwilson@riverchasecarpet.com,main@riverchasecarpet.com,,,,,,,,,,,,,,,,,,
MONTGOMERYS FURNITURE OUTLET,,MADISON,SD,"http://montgomerysfurniture.com/,",(605) 256-4000,Clark Sinclair,-,N/A,,,,,,,,,,,,,,,,,,
TOWN SQUARE FLOORS,,GEORGETOWN,TX,"www.townsquarefloors.com,",(512) 863-2867,Ray Bizzell,-,N/A,,,,,,,,,,,,,,,,,,
BLIER FLOORING,,DOVER,NH,"http://www.blierflooring.com/,",(603) 516-8453,Jacqueline Blier,-,N/A,,,,,,,,,,,,,,,,,,
FAULK FLOOR COVERING,,EL PASO,IL,"http://www.faulksinelpaso.com/,",(309) 527-2815,Jerry Faulk,-,N/A,,,,,,,,,,,,,,,,,,
QUALITY FLOORS,,WEST PLAINS,MO,"http://www.qualityfloorswestplains.net/,",(417) 255-1727,Cherie Holmes; Chu Holmes,mail4cherie@gmail.com,N/A,,,,,,,,,,,,,,,,,,
JAYCHAR INC,,BALTIMORE,MD,"http://warehousetileandcarpet.com/,",(410) 284-1111,-,-,N/A,,,,,,,,,,,,,,,,,,
EXCLUSIVE FLOR SALES LTD,,SURREY,CN,"http://www.flooringbc.com/,",(604) 596-3636,-,-,info@exclusivefloors.com,,,,,,,,,,,,,,,,,,
DEGRAAF INTERIORS INC,,GRAND RAPIDS,MI,"http://www.degraafinteriors.com,",(616) 662-0140,Darrell Degraaf,; debs@degraafinteriors.com,info@degraafinteriors.com,,,,,,,,,,,,,,,,,,
SURFACES INC,,ROCK SPRINGS,WY,"http://www.surfaces.net/,",(307) 382-6907,Steven L. Olson; Paul J. Young,pyoung@surfaces.net,N/A,,,,,,,,,,,,,,,,,,
WESTCOTT HINDMARSH DIST CO,,HARVEY,IL,"http://www.walkertile.com/,",(708) 331-6177,-,-,N/A,,,,,,,,,,,,,,,,,,
HOLT TED CPT CO,,ADA,OK,"www.constructiondash.com/oh,www.holtflooring.com",(580) 436-1083,Ted Holt,ted@holtflooring.com,N/A,,,,,,,,,,,,,,,,,,
RICHWELL CARPET &CABINET CTR,,OTTUMWA,IA,"http://www.richwellcarpet.com/,",(641) 683-4084,Newell Palen,-,N/A,,,,,,,,,,,,,,,,,,
QUALITY CARPETS,,DEL RIO,TX,"http://www.qualitycarpettile.com/,",(830) 768-1667,Laura Rodriguez,qualitycarpettile@yahoo.com,N/A,,,,,,,,,,,,,,,,,,
JUBILEE FLOORING & DECORATING,,DAPHNE,AL,"http://www.jubileeflooringanddecorating.com/,",(251) 625-1700,Jerry Nowlin,-,N/A,,,,,,,,,,,,,,,,,,
"AMERICAN CATALOG CARPETS, INC",,MOBILE,AL,"http://www.americancarpetsinc.com/,",(850) 484-8888,-,-,mgross4444@cox.net,,,,,,,,,,,,,,,,,,
GRAND STRAND FLOORS INC,,MYRTLE BEACH,SC,"http://www.grandstrandfloors.com/,",(843) 626-3226,Tom & Anne Brophy,gsfloors@gmail.com,n/a,,,,,,,,,,,,,,,,,,
FLOORING SOURCE LLC,,FRIENDSWOOD,TX,"http://www.myflooringsource.net,",(281) 992-7373,Richard Mathews; Lorie Matthews,richard@myflooringsource.net; lorie@myflooringsource.net,richard@myflooringsource.net,,,,,,,,,,,,,,,,,,
JIM KLEMMER FLOORS INC,,VIRGINIA BEACH,VA,"http://www.jimklemmerfloors.com/,",(757) 962-3845,Jim Klemmer,jim@jimklemmerfloors.com,info@jimklemmerfloors.com,,,,,,,,,,,,,,,,,,
BALLANCE RICHIE FLOORING,,WILSON,NC,"http://www.flooringwilsonnc.com/,",(252) 291-0122,Richie A. Ballance; Phyllis Ballance,richieballanceflooring@embarqmail.com,richieballanceflooring@embarqmail.com,,,,,,,,,,,,,,,,,,
FSC ACQUISITION,,MOLINE,IL,"http://www.vertafore.com/fsc,www.flickshomecenterqc.com",(309) 762-9400,; Ed Mershman,-,information@vertafore.com,,,,,,,,,,,,,,,,,,
A C & FLOOR DECOR INC.,,OCEANSIDE,CA,"http://www.floordecor.org/,",(760) 726-9777,Hassan Kany,-,action@floordecor.org,,,,,,,,,,,,,,,,,,
CUSTOM FLOORING PARTNERS INC,,AVON,IN,"http://brewercustomfloorsandmore.com/,",(317) 223-7616,Kevin Brewer; Greg Garrison,kevinbrewer@brewercustomfloorsandmore.com; greggarrison@brewercustomfloorsandmore.com,kevinbrewer@brewercustomfloorsandmore.com,,,,,,,,,,,,,,,,,,
BARGAIN BARN INC.,,SAINT GEORGE,UT,"http://www.bargainbarn.com/store/,",(435) 628-0870,Lorrie Jackson,-,brendac@bargainbarn.com,,,,,,,,,,,,,,,,,,
H & T CARPET INC,,MADISON,TN,"www.htcarpetinc.com,",(615) 865-8595,Harry Tarpley,-,Sales@h-tcarpet.com,,,,,,,,,,,,,,,,,,
MALOOLY'S CARPET CITY,,LAS CRUCES,NM,"www.maloolys.com/,",(575) 523-0633,Georgette Malooly,-,maloolysflooring@aol.com,,,,,,,,,,,,,,,,,,
PETERSENS HOUSE OF CARPETS,,FREDERICK,MD,"http://www.petersenscarpetandflooring.com/,",(301) 662-6717,David Peterson; Gayle Peterson,djpetersen@petcaf.com; gpetersen@petcaf.com,N/A,,,,,,,,,,,,,,,,,,
COUNTRY CARPETS INC,,KASSON,MN,"http://www.countrycarpetsmn.com/,",(507) 634-4680,Charles Hansen,-,countrycarpets@kmtel.com,,,,,,,,,,,,,,,,,,
RODE COMPANY INC.,,GREENWOOD,IN,"http://www.carpetcountry.net,",(317) 888-3501,Joe Rode; Lisa Rode,-,service@carpetcountry.net,,,,,,,,,,,,,,,,,,
JOHNSON & SONS CONTRACTORS,,KNOXVILLE,TN,"http://www.johnsonandsonscarpet.com,",(865) 281-0002,Richard Johnson,-,N/A,,,,,,,,,,,,,,,,,,
FLOORING DIRECT,,CLAYTON,NC,"http://www.claytonflooringdesign.com/flooring.asp,",(919) 359-0420,David Wooding,-,sales@claytonflooringdesign.com,,,,,,,,,,,,,,,,,,
TAYLOR FLOORING LTD,,BRIDGEWATER,CN,"www.taylorflooring.com/,",(902) 543-7673,Robert Taylor,robert@taylorflooring.com,info@taylorflooring.com,,,,,,,,,,,,,,,,,,
RELIABLE FLOOR COVERING INC,,EDMONDS,WA,"www.reliablefloorcoverings.com,",(425) 778-1121,Kevin Columbro; Kim Wahl,kim@reliablefloorcoverings.com,kim@reliablefloorcoverings.com,,,,,,,,,,,,,,,,,,
J & R INDUSTRIES INC,,FARMINGTON,MI,"http://jandrindustries.com,",(248) 888-1200,-,-,N/A,,,,,,,,,,,,,,,,,,
JEFFS CARPETS & LINOLEUM INC.,,ROCKLAND,MA,"http://jeffscarpets.com/,",(781) 871-0029,Jeffrey V. Reale,-,info@jeffscarpets.com,,,,,,,,,,,,,,,,,,
"BJM,INC",,BILLINGS,MT,"bjminc.com,",(406) 651-8080,Brian J. McCarthy,home@bjminc.com,N/A,,,,,,,,,,,,,,,,,,
