name,city,state,postal,phone,website,owner
PRINTS & PAINTS INC,GALION,OH,44833,(419) 462-5663,http://www.myfloorsohio.com/,SAME
QUALITY CARPETS,GLASSBORO,NJ,8028,(856) 881-6911,http://www.qualitycarpetsinc.com/,
MIDWEST RUG,SPRINGFIELD,MO,65807,(417) 869-3030,http://www.midwestrugcompany.com.,RON EDWARDS
ATLANTA PRESTIGE FLOORING INC,WOODSTOCK,GA,30188,(770) 592-4099,N/A,CHRIS WILSON
CARPET KING INC,NORWALK,CT,6850,(203) 838-0808,http://www.mycarpetking.com/,STEPHEN CUPOLE
ARIZONA TILE COMPANY,SPRINGFIELD,IL,62711,(217) 793-6922,http://www.ariztile.com,
WALL TO WALL,POCATELLO,ID,83201,(208) 232-4226,http://www.wall2wallflooring.com/residential/locations_pocatello.php,SAME
RIVERCHASE FLRING CTR INC,PELHAM,AL,35124,(205) 985-9555,http://www.riverchasecarpet.com/,JIM
BEST BUY CARPETS,AURORA,IL,60504,(999) 999-9999,http://www.bestbuycarpets.com,
CAL COAST CARPET WAREHOUSE,OCEANO,CA,93445,(805) 481-5559,http://calcoastcarpetoceano.com/,
DALTON CARPET CENTER INC.,STOCKBRIDGE,GA,30281,(770) 389-0432,http://www.daltoncarpetcenter.com/,PHIL OR REBECCA
DEGRAAF INTERIORS INC,GRAND RAPIDS,MI,49525,(616) 662-0140,http://www.degraafinteriors.com,"DARYLL DEGRAAF, PRESIDENT"
ISLAND CARPET SALES LTD,RICHMOND,CN,V6X 2Z6,(604) 278-6256,www.islandcarpet.com,BRAD DOTCHUK
SUTTON CARPET CO,PEORIA,IL,61604,(309) 682-7711,http://www.suttoncarpetcenter.com/,EMERT
HOUSE OF FLOORS,ALBUQUERQUE,NM,87112,(505) 559-9190,http://www.houseoffloorsabq.com/,DENNIS FAIRCHILD/OWNER
KELLY'S CARPETS,COUNCIL BLUFFS,IA,51501,(712) 328-2424,http://www.kellyscarpet.com/,
CARPET STORE THE,ALBERTVILLE,AL,35950,(256) 891-2777,http://www.mosleyflooring.com/,
WALL-TO-WALL FLOOR COVERING,RONKS,PA,17572,(717) 687-6485,http://flooringinstrasburg.com/,
CARPET GALLERY & FLOORS,WARREN,MI,48089,(586) 772-1100,http://www.carpetgalleryc1williamsburg.com/,AHMAD EL SAYED-ALI(PRES)
COSTEN FLOORS INC,RICHMOND,VA,23233,(804) 527-2929,http://costen.flooring-professionals.com,RALPH COSTEN VP
W A M B INC,FLEMINGTON,NJ,8822,(908) 788-1095,N/A,JOE GHERARDI
PACK RON CARPET CTR INC,LITTLE ROCK,AR,72209,(501) 565-4447,http://ronpackcarpet.com/,JIM OWENS
SAVEMORE CARPETS,QUINCY,IL,62301,(217) 224-7283,http://www.savemorecarpets.com/,HAROLD YOUNG
NEW WAYE HOMES & IMPROVEMENTS,LA CENTER,KY,42056,(270) 462-4011,N/A,
RICHWELL CARPET &CABINET CTR,OTTUMWA,IA,52501,(641) 683-4084,http://www.richwellcarpet.com/,*** E-MAIL STAT ***
HOUSE OF FLOORS INC,KILLEEN,TX,76542,(254) 554-3430,http://www.house-of-floors.com/,
CARPET OUTLETS OF TEXAS INC,MESQUITE,TX,75150,(972) 279-4800,http://www.carpetoutlets.net/,
ALTIMATE FLOORING,RAPID CITY,SD,57701,(605) 390-7900,http://www.altimateflooring.com/,BARAK ALT/OWNER
WRIGHT FURNITURE INC,DIETERICH,IL,62424,(217) 925-5228,http://www.wrightsfurniture.com/,CEDERIC WRIGHT
TEXAS FLOORS,CYPRESS,TX,77429,(281) 370-8200,http://texasfloorsonline.com/,
ENHANCE HOME SERVICES INC,MARIETTA,GA,30062,(770) 565-3808,http://enhancefloors.com/,ELIZABETH
CUSTOM FLOORING PARTNERS INC,AVON,IN,46123,(317) 223-7616,http://brewercustomfloorsandmore.com/,KEVIN BREWER
REINHOLD FLOORING,SAINT LOUIS,MO,63129,(314) 894-1319,http://www.reinholdflooring.com/,
RODE COMPANY INC.,GREENWOOD,IN,46142,(317) 888-3501,http://www.carpetcountry.net,
LIMA BARGAIN CENTER INC,LIMA,OH,45806,(419) 991-3701,N/A,"HAROLD WARONKER, OWNER"
NASSAU DESIGN CENTER INC,YULEE,FL,32097,(904) 548-9906,N/A,JEFF WILEY JONES/PRES
LEONARD - TROTT INC.,WILLINGBORO,NJ,8046,(609) 871-6687,N/A,MICHAEL-ROBERT
VENTURI CAPITAL,WACO,TX,76712,(254) 772-8453,N/A,KEITH RICHBOURG-PRES
LINT LARRY FLR & WLL CV INC,WENDEL,PA,15691-0216,(724) 446-0480,http://www.lintcarpets.com/,LARRY J. LINT
CARPET CONCEPTS INC,FOREST HILL,MD,21050,(410) 893-6549,http://carpetconceptsonline.com/,DONALD GRAHAM
COOLEY ENTERPRISES INC,JASPER,IN,47546,(812) 482-5692,N/A,
WINDY CITY CARPET TIME INC,MOKENA,IL,60448,(815) 469-9092,http://www.carpettimeinc.com,
LONSDALE CARPETS LTD,NORTH VANCOUVER,CN,V7J 1C5,(604) 987-6612,http://www.lonsdalecarpets.com (not working),DIETER KUPFERSCHMID
"NIEHAUS LUMBER COMPANY, INC.",VINCENNES,IN,47591,(812) 882-2710,http://www.niehausinc.com/,OWNER: BERNARD NIEHAUS
MARKS FLOORING CTR INC,MINNEOLA,FL,34715,(352) 394-0303,http://marksfloorsonline.com/,MARK COMPSTON
TOTALLY FLOORED,GREENSBORO,NC,27409,(336) 665-9229,http://www.totallyflooredgreensboro.com/,ALAN MORRIS/OWNER
GEORGES CARPET & SUPPLIES INC,ROSWELL,NM,88201,(575) 624-0901,http://www.georgescarpetandtile.com/,JOANN JOSEPH
DELTA CARPETS LTD.,DELTA,CN,V4K 1V9,(604) 946-6291,http://www.deltacarpets.bc.ca/,
OWEN VALLEY FLOORING INC,SPENCER,IN,47460,(812) 879-4204,http://www.owenvalleyflooring.com/,ANN & DAVID HENK
ULTRA FLOORS INC,CLINTON TOWNSHIP,MI,48038,(586) 228-1609,http://www.ultrafloors.com/,THERESA JONES
BAS INC,NORFOLK,NE,68701,(402) 371-4440,http://www.noresdesigncenter.com/,DALE PHIPPS/PRES
"LASALLE BRISTOL, LP",ELKHART,IN,46516,(574) 295-0199,http://www.lasallebristol.com/,KEN BOHN/OFFICE MGR
RODGERS FLOOR COVERING INC,VERSAILLES,KY,40383,(859) 873-3311,http://rodgers.flooringplus.com/,CHRIS RODGERS
TRAYNORS FLOORS AND CARPETS,WESTMINSTER,MD,21157,(410) 876-1999,http://www.traynorsfloors.com/,ED TRAYNOR
"TUKASA CREATIONS, INC",CORPUS CHRISTI,TX,78413,(361) 851-9440,http://www.tukasaflooring.com/,VIENNA J FLORES
EAST COAST FLOORING,WRENTHAM,MA,2093,(508) 384-3177,http://www.east-coast-flooring.com/,SUNIL P LULLA
BRIANS CUSTOM FLOORCOVERING,EAST GRAND FORKS,MN,56721,(218) 773-3130,http://www.mystore411.com/store/view/11018102/Armstrong-Floors-East-Grand-Forks,BRIAN DEZIEL/PRES
EDMONDSON INC,AUGUSTA,GA,30907,(706) 650-0400,http://littlerock.citysearch.com/profile/1541324/jacksonville_ar/edmondson_inc.html,
TRI STATE CPT CONNECTIONS INC,TAPPAN,NY,10983,(845) 365-1366,http://www.mystore411.com/store/view/11010445/Armstrong-Floors-Tappan,SAME
D-W INTERIORS,VAN NUYS,CA,91401,(818) 786-0681,http://www.dwinteriorsinc.com/,DAN WARSHAUER
JAYCHAR INC,BALTIMORE,MD,21222,(410) 284-1111,N/A,JOHN SEARFOSS SR
CARPET & DECORATING CENTER,PHENIX CITY,AL,36867,(334) 298-0026,http://www.carpetanddecorating.com,JACK BENEDICT
MACCOS FLOOR COVERING CENTER,GREEN BAY,WI,54303,(920) 432-4586,http://www.maccosflooring.com/,"JAMES MACCO, JIM WALTERS"
EXCLUSIVE FLOR SALES LTD,SURREY,CN,V3S 1B7,(604) 596-3636,http://www.flooringbc.com/,
SOUTH ALABAMA CARPETS II INC,MOBILE,AL,36609,(251) 666-1900,http://expresswaycarpet.com/,
LEFEBVRE CARPET,SAINT MICHAEL,MN,55376,(763) 441-4181,http://www.lefebvrescarpet.com/,DAVE AND HOLLY
EXCELL FLOORS INC,FALLS CHURCH,VA,22046,(703) 237-9411,http://www.excelfloorsinc.com/Excel_Floors/Welcome.html,ALIAKBAR AKHOUNDI
SOUTHPARK CARPET & FLRING OTLT,COLONIAL HEIGHTS,VA,23834,(804) 748-4990,http://find.hamptonroads.com/southpark-carpet-flooring-outlet-colonial-heights-va-2.html,LEE ROBERTSON
MARKS R B OF HAYWARD INC,HAYWARD,WI,54843,(715) 634-2204,N/A,RICHARD MARKS/PRESIDENT
J.R. INTERIORS,MAPLE RIDGE,CN,V2X 6J2,(604) 463-7221,N/A,RON
PETERBOROUGH CPTLAND INC,PETERBOROUGH,CN,K9J 6X2,(705) 743-0500,http://www.peterboroughcarpetland.com,MARK WHELAN
HANSON FURNITURE & CARPET INC,MILBANK,SD,57252,(605) 432-9504,http://www.hansonfurniture.com/,
"G & D ENGEL, INC",SIOUX CITY,IA,51105,(712) 277-2565,http://magiccarpetanddrapery.com/,GREG ENGEL
CARPET SHOP THE,CLOVIS,NM,88102-5098,(575) 762-7403,N/A,DEAN THATCHER/OWNER
MICHIGAN FLOORS INC,CLINTON TOWNSHIP,MI,48036-1307,(586) 465-6980,http://www.governmentcontractswon.com/department/defense/michigan_floors_inc_139462287.asp?yr=05,CHARLES PROMESSO
CARPET STORE INC THE,OKLAHOMA CITY,OK,73108,(405) 681-2121,N/A,
PASADENA FLOORS INC.,PASADENA,MD,21122,(410) 768-2640,http://www.pasadenafloors.com,"STEVE, MARTY"
BLAIGE CORPORATION,EVERETT,WA,98201,(425) 252-2775,www.blaige.com,BILL MESSLER/OWNER
MOELLER CARPET & FLOOR COV,REMSEN,IA,51050,(712) 786-3374,www.merchantcircle.com,TOM MATGEN
NORTHWEST INTERIORS INC,CONROE,TX,77304,(936) 442-2050,http://www.colorinteriors.com/,DAVID CARR
GENOA CUSTOM INTERIORS,GENOA,OH,43430,(419) 855-7221,http://www.genoacustominteriors.com,
JA-SAN DISTRIBUTING CO,REFORM,AL,35481,(205) 375-6321,N/A,
CARPETING BY MIKE,SOMERSET,WI,54025,(715) 247-3244,http://www.carpetingbymike.com,MICHAEL FAUST
VANDERBERG FURNITURE,SIOUX CENTER,IA,51250,(712) 722-3286,http://www.vanderbergfurniture.com/,
JAIME'S FLOORING CENTER,FRESNO,CA,93703,(559) 498-0677,http://www.jaimesdesignsandfloors.com,
FRIENDLY FLOORS,PORT CHARLOTTE,FL,33952,(941) 624-0077,http://www.friendlyfloors.com,
PAD II INC,DALLAS,TX,75247,(214) 631-7576,N/A,MILTON SYMANK
CARPET & FLOOR MASTERS,BURKE,VA,22015,(703) 764-1000,http://www.manta.com/c/mm8pslg/carpet-floor-masters-inc,ASSAD ZADEH
HADINGER-MOOREN LTD INC,FORT ATKINSON,WI,53538,(920) 563-0820,http://www.jmcarpets.net/,SAME-SALES-STEVE-GAIL-DEN
SNYDER FLOOR COVERING,BOSSIER CITY,LA,71111,(318) 747-5950,http://start.cortera.com/company/research/k8p8ozk5q/snyder-floor-covering/,
TERPSTRAS FLOOR CENTER INC,OTTAWA,IL,61350,(815) 434-9800,http://www.terpstrasfloorcenter.com,
JORDAN CORPORATION,TUPELO,MS,38801,(662) 844-0800,http://www.jordanflooring.com/,JORDAN LITKE
PORTLAND CARPET CENTRE,PORTLAND,OR,97239,(503) 246-9800,http://macadamflooranddesign.com/,
LAVY CARPET SALES & SERV LLC,ZANESVILLE,OH,43701,(740) 455-6201,HTTP://www.lavycarpet.com,ROBERT E LAVY/PRES
PRATTVILLE CARPET INC,PRATTVILLE,AL,36066,(334) 285-8117,N/A,RONALD
"VIC'S CARPET STORES, INC",CORONA,CA,92879,(951) 278-1511,http://www.carpetemporium4u.com/,
BEST BUY CARPETS & FLOORING,BATON ROUGE,LA,70816,(225) 216-3254,http://www.bestbuy.com.,
CARPET STORE THE,TUCSON,AZ,85716,(520) 326-1111,www.carpetstoredayton.com,LARRY HOCHWERT
WORLD CLASS CARPETS LTD,LONDON,CN,N5Z 3K7,(519) 963-0845,http://www.worldclasscarpets.com,RAYMOND WHALING
CARPETS GALORE INC,GRAFTON,WI,53024,(262) 376-7500,http://www.carpetsgaloreandflooring.com,STEVE RUBNITZ
CARPET HEADQUARTERS,TAYLORS,SC,29687,(864) 292-8207,http://www.carpetheadquarters.net,DONNA CELL 864 230 2799
TONDO CARPETS INC,GIRARD,OH,44420,(330) 539-6014,N/A,SAME
LENCO ENTERPRISES INC,COLLINSVILLE,IL,62234,(618) 344-7060,http://www.lennyscarpet.com/,GORDON L MCCANLESS SR
LIMA CARPET CORP,AVON,NY,14414,(585) 226-2180,http://www.limacarpet.com/,WENNER TODD
FACTORY DIRECT CPT FLRCOVERING,CENTERVILLE,IA,52544,(641) 856-3000,http://www.manta.com/c/mmd8659/factory-direct-carpet,
CITY TILE & FLOOR COVERING,MURFREESBORO,TN,37130,(615) 893-7721,http://www.citytile.net,DOUG YOUNG
CARPETS PLUS OUTLET,KENOSHA,WI,53140,(262) 883-9494,http://carpetsplusoutlet.com/,NEIL FUHR         OWNER
DCO INC.,EUGENE,OR,97402,(541) 686-3130,http://dalton-carpet.com/,ROCKY STEVENS
COUNTRY CARPETS INC,KASSON,MN,55944,(507) 634-4680,http://www.countrycarpetsmn.com/,CHUCK
INNOVATIVE FLOORS & DESIGN INC,BELLBROOK,OH,45305,(937) 848-7200,www.innovativefloors.brandsource.biz,CANDICE HONAKER
FALCON FLOOR COVERING,LEBANON,MO,65536,(417) 532-3118,http://falconfloorcovering.com/,
COMLEY'S CARPET WORKS INC,FRANKFORT,KY,40601,(502) 695-7650,http://comleys.brandsource.biz/,PAUL COMLEY PRES
HOLT TED CPT CO,ADA,OK,74820,(580) 436-1083,N/A,EVELYN HOLT
AUS FLOORS & MORE,GRANITE FALLS,MN,56241,(320) 564-3832,www.ausflooring.com,GAIL AUS
OWATONNA FLR CVR & MIRROR INC,OWATONNA,MN,55060,(507) 451-1169,www.dexknows.com,GARY ETHERTON/VP
A J CARPET & FLOORING,GAINESVILLE,VA,20155,(703) 753-0425,http://www.ajcarpetflooring.com,ABRAHAM CHEHREH
SMITHS HOME DECORATING CENTER,ONEIDA,NY,13421,(315) 363-0440,http://www.smithsflooringoneidany.com/sb.cn,
SOLANO CARPET,FAIRFIELD,CA,94533,(707) 429-3350,http://solano-carpet.com/,
A-1 FLOORING SERVICES INC,LAS VEGAS,NV,89103-3846,(702) 364-2499,http://www.lasvegasflooring.com/,KEITH PICKFORD/PRES
JR & JR INC,SWANSBORO,NC,28584,(252) 393-3165,N/A,JAMIE WALLACE
CARPET WAREHOUSE,OAKVILLE,CN,L6J 2W6,(905) 842-0042,http://www.carpetwarehouseoakville.com/contactus/,DOMINIC TONELLI
FAULK FLOOR COVERING,EL PASO,IL,61738,(309) 527-2815,http://www.faulksinelpaso.com/,KEN FAULK
ARTISTIC CARPET WAREHOUSE INC,PARMA,OH,44129,(216) 661-6969,http://www.carpetwarehousecleveland.com/index.htm,"MARK MITCHELL, OWNER"
ANSELONE FLOORING INC,MANSFIELD,MA,2048,(508) 339-4448,http://www.anseloneflooring.com/,CHARLES ANSELONE/PRES
JOHNSON CARPET CENTER,COLUMBUS,MS,39701,(662) 328-1522,www.johnsoncarpetcenter.com,CINDY MORGAN
ELYON INC.,HARLINGEN,TX,78552,(956) 365-4048,http://intercarpets.com/,EDUARDO GALVAN/OWNER
VILLAGE CPT SHOP,MOUNTAIN HOME,AR,72653,(870) 425-6919,http://www.villagecarpet-shop.com/,RON HALL
RED BARRON FLOORING LLC,HAGERSTOWN,MD,21740,(301) 582-2258,http://www.redbarronflooring.com,FRANKIE CORSI
PREMIER FLOOR CENTER,DYERSBURG,TN,38024,(731) 285-4040,http://www.premierfloorcenter.com/,ROGER CARROLL
FLOOR COVERING WAREHOUSE INC,STAMFORD,CT,06902-7216,(203) 323-3113,http://www.floorcoveringwarehouse.org/,GREGG KARAS
C M C CARPET OUTLET INC,MANASQUAN,NJ,8736,(732) 223-0390,N/A,
CARPET SUPERMARKET SALES LTD,CALGARY,CN,T2E 6T4,(403) 250-6675,http://www.carpetsupermarketsalesltd.ca/,E HORNER
CARPETS GALORE INC,LAS VEGAS,NV,89104,(702) 385-5252,http://www.carpetsgalore.com/,
ROMAN FURNITURE & CARPET,CLIFTON HEIGHTS,PA,19018,(610) 284-2200,N/A,JIM
ABBOTT PAINT & CARPET,SAINT PAUL,MN,55105,(651) 698-5518,http://www.abbottpaint.com/,KEVIN H. ABBOTT
CARPETLAND & MORE INC,SPRINGFIELD,MA,1119,(413) 782-7000,http://www.carpetlandandmore.com/,GEORGE K PETITT
BALLANCE RICHIE FLOORING,WILSON,NC,27893,(252) 291-0122,http://www.flooringwilsonnc.com/,
WASATCH FRONT MOBILE CARPETS,LAYTON,UT,84041,(801) 544-4203,http://americarpets.com/,
BREWERS FLOORING & SALES INC,VALLEY PARK,MO,63088,(636) 225-8350,http://www.brewersflooring.com,
DOUGLAS CARPET CENTER,DOUGLAS,GA,31535,(912) 383-6119,N/A,ANTHONY ELLIOT
TOUCH OF BEAUTY CARPETING,PARK RIDGE,IL,60068,(847) 825-1116,http://www.touchofbeautycarpeting.com/,JEFF
CARPET QUEEN AND FLOORS,TEMPLE HILLS,MD,20748,(301) 899-3999,http://www.carpetqueenandfloors.com,MACK - GLEN
"DIXIE UPHOLESTRY, INC.-D/B/A-",COLUMBIA,SC,29210,(803) 798-6999,N/A,MELISSA OR NEVIN
SNOOKS CARPET & FURNITURE,SIOUX RAPIDS,IA,50585,(712) 283-2584,http://snooks1.com/,SNOOKIE
SHARP CARPET FACTORY OUTLET,HOMEWOOD,AL,35209,(205) 942-1110,http://www.sharpcarpet.com/,RICHARD WANN
WIDMEIER FLOORING COMPANY,DUBUQUE,IA,52002,(563) 599-7857,http://www.widmeierflooring.com/,JOE WIDMEIER/OWNER
LEPAGE CARPET & TILE,LECANTO,FL,34461,(352) 527-1811,http://lepagecarpet.brandsource.biz/,ALFRED LEPAGE
TWELVE STONES INC,WAYNESVILLE,NC,28786,(828) 456-7422,http://www.12stonesinc.com/,JOE SCHNEIDER
MCCARTNEY CARPET,WESTFIELD,WI,53964,(608) 296-4444,http://mccartneycarpet.com,
WHOLESALE CARPETS INC,SUMTER,SC,29150,(803) 436-5904,www.wholesalecarpetsinc.com,EARNEST BAGLEY
CROWN FLOORS,CHANTILLY,VA,20151,(703) 817-9600,http://crownfloors.brandsource.biz/,
RUDI'S FURNITURE & CARPET,CONCORDIA,MO,64020,(660) 463-2889,http://www.rudysfurniturenc.com/,JAMES HARMS       OWNER
JIMS CPT & SUPPLIES INC,BEATRICE,NE,68310,(402) 228-3684,http://www.jimssupply.com/,JIM OLTMAN
WRIGHT FLOOR COVERING INC,HOUMA,LA,70364,(985) 851-1604,N/A,DOC WRIGHT
KUHN N J ASSOCIATES D/B/A,BOSTON,NY,14025-9610,(716) 941-6564,http://www.valleyfloorcompany.com/,SUSAN ELAINE RICHTER
VALLOW FLOOR COVERING  *MLD,EDWARDSVILLE,IL,62025,(618) 656-7788,http://www.vallowfloor.com/,
A BETTER CARPET & FLOORING LLC,SOUTHBURY,CT,6488,(203) 267-7227,http://southbury.patch.com/listings/a-better-carpet-flooring-llc,
MORFORDS DECOR CENTER,CHADRON,NE,69337,(308) 432-3149,http://www.morfordsdecoratingcenter.com,MERLE MORFORD
WILLIAMS CARPET SERVICE INC,NORTH MYRTLE BEACH,SC,29597,(843) 249-2224,http://www.williamscarpetcarenc.com/,TRAVIS WILLIAMS
CREATIVE CARPET & SUPPLY,GREENVILLE,OH,45331,(937) 548-7841,http://www.creativecarpet.net/,
