name,owners,address,city,state,postal,phone,websites,,
"ACCENT HARDWOOD FLOORING, INC",Genia Smith,601 FOSTER ST,DURHAM,North Carolina,27701,(919) 682-3941,http://www.accenthardwoodflooring.com,,
AERO CARPET SERVICES LTD,James Lovell,8258 ST GEORGE ST,VANCOUVER,British Columbia,V5X 3S5,(604) 321-7440,http://www.aerocarpetservices.com,,
ALAN'S CARPET & FLOORS,Alan Ellis,1110 AVENUE D,COUNCIL BLUFFS,Iowa,51501,(712) 256-7000,http://www.alansfloors.net,,
"C M R ALLIANCE, LLC",Tim Rail,"6701 DEMOCRACY BLVD, STE 300",BETHESDA,Maryland,20817,(301) 212-9550,http://www.cmralliance.com,,
CHASE CARPET CARE,Neil Atkinson,2065 S HUDSON ST,DENVER,Colorado,80222,(303) 753-9171,http://www.chasecarpetcare.com,,
CLEANERS SUPPLY WAREHOUSE LLC,Brian DeSemple,PO BOX 1570,CLACKAMAS,Oregon,1570,(503) 656-1781,http://www.cleanerssupplywarehouse.com,,
DIAMOND T ENTERPRISES,Tom Slattery,1308 CRAIGFLOWER RD,VICTORIA,British Columbia,V9A 2Y7,(250) 883-6526,,,
DUAL CLEAN SERVICES,David Brown,136 W 4TH ST,PORT ANGELES,Washington,98362,(360) 457-3490,,,
ECO TEAM,Alexander Evstafiev,2417 MARINER SQUARE LOOP #255,ALAMEDA,California,94501,(805) 636-2071,,,
ERNIE'S CARPET CARE,Ernie Goudreault,21330 NE 149TH ST,WOODINVILLE,Washington,98077,(425) 788-5671,,,
MASTER STEAM CUSTOM TEXTILE,Scott Mitseff,610 S 58TH AVE,YAKIMA,Washington,98908,(509) 575-0923,http://www.mastersteamservices.com,,
MORGAN & SONS,Steve Morgan,3530 NE ALBERTA COURT,PORTLAND,Oregon,97211,(503) 244-9050,,,
NESHEIMS CLEANING SERVICES INC,Rick Farasyn,1212 COMMERCE CT,LAFAYETTE,Colorado,80026,(303) 666-8888,http://www.nesheims.com,,
PLANET CLEAN,Michael Elias,100 SW MARINE DR,VANCOUVER,British Columbia,V5X 2R1,(604) 327-1101,http://www.planetclean.com,,
QUICK & CLEAN SERVICES LLC,Darcella Lawson,4800 SW PROSPERITY PARK RD,TUALATIN,Oregon,97062,(503) 638-4100,http://www.quickandclean.biz,,
"QUICK DRAW CARPET CLEANING, LLC",Joel Ruehle,PO BOX 7095,GUNNISON,Colorado,81230,(970) 641-4247,http://www.quickdrawcleaning.com,,
RUDY CONTRERAS,Rudy Contreras,1822 E TAM O'SHANTER ST,ONTARIO,California,91761,(626) 345-8550,,,
SAM'S CARPET CARE,Tyson Brauneis,"601 N BUNKER HILL, STE C",WASILLA,Alaska,99654,(907) 373-7276,http://www.samscarpetcare.com,,
SANI-TECH INSPECTIONS,Peter Eckert,434 GOWARD RD,VICTORIA,British Columbia,V9E 2J5,(250) 744-2004,http://www.sani-tech.com,,
"TOWN & COUNTRY SERVICES, INC",Daniel Thompson,PO BOX 40,GREENLAND,New Hampshire,3840,(603) 436-8820,http://www.townandcountryservices.com,,
"W SERVICES GROUP, LLC",Matthew Whelan,410 FORT SALONGA RD,NORTHPORT,New York,11768,(631) 651-9595,http://www.wservices.com,,
WESSENDORF CARPET CLEANING SERVICES,Bill Wessendorf,PO BOX 3305,REDMOND,Washington,3305,(425) 869-7505,http://www.blueearthcarpetcleaning.com,,
A & B APT & BUSINESS FLOORING,Phillip Miller,5401 ERDMAN AVE,BALTIMORE,Maryland,21205,(410) 485-6790,http://www.abflooringmd.com,,
A A A ACTION FAST SERVICES INC,Dennis Jossi,"10117 SE SUNNYSIDE RD, STE F-1145",CLACKAMAS,Oregon,97015,(503) 653-9190,http://www.aaaactionfastservices.com,,
A C R SERVICES INC,Brandt Benson,1330 W 25TH ST,SAN BERNARDINO,California,92405,(909) 883-4884,http://www.acrrestoration.com,,
A-1 FIRST IMPRESSIONS INSPECTIONS,Steven Johnston,3707 WELCOME ARCADIA RD,LEXINGTON,North Carolina,27295,(336) 403-4274,http://floorinspect.com,,
AAA RESTORATION,Mike Mahanes,PO BOX 370831,RESEDA,California,91337,(818) 943-3800,,,
ABBEY CAPITOL FLOORS AND INTERIORS,Blake Woodland,1217 COOPER POINT RD SW,OLYMPIA,Washington,98502,(360) 357-5559,http://www.capitolfloorsandinteriors.com,,
ABOVE & BEYOND CARPET CARE,Dave Nichols,8854 GOLF DR,SPRING VALLEY,California,91977,(619) 462-1990,http://www.carpetsupport.com,,
ACCURATE CONSTRUCTION DISASTER KLEENUP,Curtis Negrinelli,"2570 W 237TH ST, STE B",TORRANCE,California,5276,(310) 534-1921,http://www.accurateconstruction.com,,
"ACME CLEAN AIR, INC",James Jackman,409 N PACIFIC COAST HWY #736,REDONDO BEACH,California,90277,(310) 818-1860,,,
"ACTION CARPET & CLEANING CO, INC",Aaron West,803 LOMAX ST,EASTON,Maryland,21601,(410) 822-0333,http://www.actioncarpet.com,,
ADVANCED CLEAN & RESTORATION,Tom Salas,"4105 E 605 N, UNIT 1",RIGBY,Idaho,83442,(208) 745-0037,,,
ADVANCED FLOORING INSPECTIONS,Kevin Schleweis,PO BOX 1102,LITTLETON,Colorado,80160,(303) 459-9000,http://advancedflooring.com,,
ADVANCED RESTORATION SERVICES,Rob Villars,507 CENTRAL AVE,BEDFORD,Iowa,50833,(712) 523-2057,,,
ADVANCED STEAM EXTRACTION INC,Richie Lott,3165 VIRGINIA STREET,PEARL,Mississippi,39208,(601) 664-2001,http://www.ase-inc.com,,
ALBRITE'S / ABBEY CARPET & FLOORING,George Abdinoor,223 WINTHROP AVE,LAWRENCE,Massachusetts,1843,(978) 682-7651,http://www.albritecarpets.com,,
ALL DRY,Greg Chancey,2301 S JASON,DENVER,Colorado,80223,(303) 478-6127,http://www.alldry.com,,
AMBASSADOR SERVICES,Albert Ong,170 GLENNWAY #2,SAN CARLOS,California,94070,(650) 593-6192,http://www.abrash.com,,
AMERICLEAN OF BILLINGS,Jim Pearson,1119 MAGGIE LANE,BILLINGS,Montana,59101,(406) 256-9140,http://www.AmericleanOnLine.com.com,,
"ANDERSON CARPET & LINOLEUM SLS CO, INC",Tom Christophe,1000 W GRAND AVE,OAKLAND,California,94607,(510) 652-1032,,,
APPLEBY CLEANING & RESTORATION,Mark Belotz,1660 TIMOTHY DR,SAN LEANDRO,California,94577,(510) 351-5230,http://www.applebycleaning.com,,
APTOS CARPET & UPHOLSTERY CLEANING,James Morris,110 ALTA DR,LA SELVA BEACH,California,95076,(831) 688-7705,http://www.aptosclean.com,,
"ATIYEH BROS, RUGS & CARPETING",Mark McGirr,6750 SW BONITA RD,TIGARD,Oregon,97224,(503) 639-8642,http://www.atiyehbros.com,,
AVENUE RESTORATION SERVICES LTD,George Korecki,#130-3751 JACOMBS RD,RICHMOND,British Columbia,V6V 2R4,(604) 244-7484,http://www.avenueonline.ca,,
BAKER BROS,Phil Koufidakis,4545 E BROADWAY RD #100,PHOENIX,Arizona,85040,(602) 431-1200,http://www.bakerbros.com,,
BARONE JANITORIAL SERVICE,John Barone,3519 PLANTAIN CT,SANTA ROSA,California,95403,(707) 545-5402,http://www.baronejanitorial.com,,
BEACON CARPET CLEANING INC,Ken Rogers,27665 #2 FORBES RD,LAGUNA NIGUEL,California,92677,(949) 496-6079,http://beaconcarpetcleaning.com,,
BIERL'S CARPET ONE FLOOR & HOME,Todd Bierl,811 PLAZA DR,CARROLL,Iowa,51401,(712) 792-5557,http://www.bierlcarpetone.com,,
BILL'S DESIGN CARPET ONE INC,Jolene Tupper,706 E WISHKAH ST,ABERDEEN,Washington,98520,(360) 538-0400,http://www.carpetone.com,,
BISHOP CLEAN CARE - VALDOSTA,Steve Bishop,3115 N OAK ST EXT,VALDOSTA,Georgia,1008,(229) 244-2470,,,
"BISHOP CLEAN CARE, INC - LEESBURG",Jud Savelle,234 CEDRIC ST,LEESBURG,Georgia,31763,(229) 883-1202,http://www.bishopcleancare.com,,
BLAIR & SON FLOOR COMPANY,Krissy Blair,6017 144TH ST E,PUYALLUP,Washington,98375,(253) 535-1964,http://www.blairandsonfloor.com,,
BOB'S CARPET CARE INC,Robert McLean,336 SANFORD ST,ENCINITAS,California,92024,(760) 753-8750,http://www.bobscarpetcare.com,,
BOBCAT CARPET AND FABRIC CARE INC,Al Casas,11630 TENNESSEE AVE,LOS ANGELES,California,1411,(310) 478-4438,http://www.bobcatcarpetcare.com,,
BONDED CARPET CLEANING & SALES,Mitch Adler,PO BOX 710130,SAN DIEGO,California,130,(858) 576-8400,http://www.bondedcarpet.com,,
"C B C CLEANING & RESTORATION, INC",Gordon Glasnow,25042 ANZA DR,VALENCIA,California,91355,(661) 294-2221,http://www.cbcfirst.com,,
C C I N W / CARPET CLEANERS INSTITUTE OF THE NW,Jane O'Haleck,2661 N PEARL ST,TACOMA,Washington,98407,(877) 692-2469,http://www.ccinw.org,,
C C I RESTORATION SERVICES,Wilbur Grooms,1750 EMERSON ST,JACKSONVILLE,Florida,32207,(904) 396-1294,http://www.ccirestorationservices.com,,
C R A / CLEANING & RESTORATION ASSOCIATION,Jennifer Germond,3284 RAMOS CIRCLE,SACRAMENTO,California,95827,(916) 736-1100,http://www.crassocation.org,,
CALIFORNIA RESTORATION CONTRACTORS,William Bonds,5960 VALENTINE RD #4,VENTURA,California,93003,(805) 650-1209,http://www.californiarestoration.com,,
CANYON CARPET CLEANERS INC,Ted Meredith,"1300 E BUTLER AVE, STE 200",FLAGSTAFF,Arizona,86001,(928) 214-8714,,,
"CAPITAL CARPETS, INC",Bob Raver,9097 COMPRINT CT,GAITHERSBURG,Maryland,20877,(301) 948-6724,http://www.capitalcarpetsinc.com,,
CAPTAIN CLEAN INC,David Oakes,208 W BRUNDAGE ST,SHERIDAN,Wyoming,82801,(307) 672-0726,,,
CARPET & FABRICARE INSTITUTE,Matt Cole,20539 MARSHALL ST,CASTRO VALLEY,California,94546,(800) 227-7389,http://www.carpet9.org,,
"CARPET BUTLER, THE",Bob Kong,14435-C BIG BASIN WAY #111,SARATOGA,California,95070,(408) 253-8080,http://www.thecarpetbutler.com,,
CARPET CARE CRAFTSMAN,Allen Shipley,4547 E PLATTE AVE,COLORADO SPRINGS,Colorado,4114,(719) 391-0623,http://www.carpetcarecraftsman.com,,
CARPET CARETAKERS,Dan Curtis,BOX 1731,TELLURIDE,Colorado,81435,(970) 729-0332,,,
CARPET CLUB,Denis Royer,518 W WASHINGTON AVE,ESCONDIDO,California,92025,(760) 740-9545,http://www.carpetclub.com,,
CARPET CONTRACTORS & CONSULTANTS,Kent Edel,6922 GUNDER AVE,BALTIMORE,Maryland,21220,(443) 324-5657,,,
"CARPET DOCTOR, THE",Mark Tucker,PO BOX 1886,NEW BRITIAN,Connecticut,6050,(860) 225-5954,http://www.callthecarpetdoctor.com,,
CARPETLAND CARPET ONE,Ken Weisbacher,1050 SKILLMAN DR,CINCINNATI,Ohio,45215,(513) 771-2345,http://www.carpetlandcincinnati.com,,
"CARR'S RUG CLEANING, INC",Robert Carr,2919 SUTHERLAND AVE,KNOXVILLE,Tennessee,37919,(865) 584-2116,http://www.carrsrugcleaning.com,,
CERTIFIED FLOOR COVERING SERVICES,Kathleen Sobb,2620 CENTENNIAL RD #A,TOLEDO,Ohio,43617,(419) 843-3451,http://www.chem-dry.net/lake.oh,,
CHICAGOLAND FLOORING INC,Mark Agat,5547 N LINDER AVE,CHICAGO,Illinois,60630,(773) 775-8577,http://www.chicagohardwood.com,,
CLEAN AS A WHISTLE INC,Howard Partridge,808 PARK TWO DR,SUGAR LAND,Texas,2840,(713) 784-4648,http://www.cleanasawhistlehouston.com,,
CLEAN SWEEP PROFESSIONAL CLEANING SERVICE INC,Doug Moerschbacher,121 WEST ST,PLEASANT GAP,Pennsylvania,16823,(814) 359-4414,,,
CLEANER MH CARPET & FLOORCARE,Robert Tripp,2843 HOPYARD RD #157,PLEASANTON,California,94588,(714) 544-3619,,,
CLEANING AND RESTORATION SUPPLY,John Carter,1710 SE BROOKLYN ST,PORTLAND,Oregon,97202,(503) 230-2969,http://www.cleaningandrestoration.com,,
CLEANING CONSULTANT SERVICES,William Griffin,PO BOX 98757,SEATTLE,Washington,757,(206) 682-9748,http://www.cleaningconsultants.com,,
CLEANING MANAGEMENT SERVICES,Jerry Selig,13113 COASTAL HWY,OCEAN CITY,Maryland,21842,(410) 250-6002,,,
"CLEANING SPECIALISTS, THE",Francisco Rojas,3728 NATIONAL AVE,SAN DIEGO,California,92113,(619) 599-4998,,,
COLUMBUS FLOORING AND MORE INC,Al Gaston,4848 RIVER RD,COLUMBUS,Georgia,31904,(706) 324-4451,http://www.columbusflooringandmore.com,,
COMMERCIAL FLOORING SERVICES,Mike Marden,940 APOLLO RD #110,EAGAN,Minnesota,55121,(651) 681-8100,,,
"CONTEMPO FLOOR COVERINGS, INC",Mark Haloossim,902 S BARRINGTON AVE,LOS ANGELES,California,90049,(310) 826-8063,http://www.contempofloorcoverings.com,,
COUNTRY CARPET & RUG,Harris Cohen,207 ROBBINS LANE,SYOSSET,New York,11791,(516) 822-5855,http://www.countrycarpet.com,,
COUNTRY CONSTRUCTION,Kevin Sarkela,2210 W MAIN ST #107-205,BATTLE GROUND,Washington,98604,(360) 546-3259,http://www.countryrestoration.com,,
"COUNTRY ROAD CARPET CLEANING, INC",Daniel Joner,24013 NE 120TH COURT,BATTLE GROUND,Washington,98604,(360) 687-6156,http://www.countryroadcarpetcleaning.com,,
CPS INC,Greg Burns,101 GREENBRIAR TRAIL,LAGRANGE,Georgia,30241,(706) 302-2815,http://www.cps911.com,,
"CREATIVE DESIGNS IN CARPET, INC",Jim Blanz,2440 NW 16TH LN,POMPANO BEACH,Florida,33064,(954) 971-2949,http://www.rugcrafter.com,,
"CUSTOM FLOORS CO, INC",Kraig Lundeberg,2132 RICHARDS ST,SALT LAKE CITY,Utah,84115,(801) 486-8441,http://www.customfloorsutah.com,,
D & S PROFESSIONAL SERVICES,Dan Cunningham,PO BOX 114,MINOA,New York,1931,(315) 656-2533,"http://www.dsprofessionalservice.com,www.dsprofessionalservice.com,www.dsprofessionalservice.com",,
"D.A. BURNS & SONS, INC",Michael Hyatt,4411 LEARY WAY NW,SEATTLE,Washington,98107,(206) 782-2268,http://www.daburns.com,,
DAVID W. TAYLOR & ASSOCIATES,David Taylor,4331 S MAIN ST,MURRAY,Utah,84107,(801) 262-2997,,,
DEEP STEAM CARPET CLEANING,Robert Kelly,8415 MORRO RD,ATASCADERO,California,93422,(805) 466-5419,http://www.deep-steam.com,,
"DESERT FLOOR INSPECTIONS, INC",Marty Sures,PO BOX 82185,LAS VEGAS,Nevada,89180,(702) 804-5800,http://www.desertfloorinspections.net,,
"DOUBLE EAGLE INTERIORS, INC",Kent Schwartzenberger,"2880 W VALLEY HWY N, # 102",AUBURN,Washington,98001,(253) 804-8800,http://www.doubleeagleinteriors.com,,
DRI,Rick Schutt,27 DAUPHINE,NEWPORT COAST,California,92657,(805) 890-0390,,,
"DUROTONE CO INC, THE",Howard Sklar,510 OGDEN AVE,MAMARONECK,New York,10543,(914) 381-1167,http://www.durotone.com,,
ELEGANT THREAD,Scott Miller,"922 SAN LEANDRO AVE, STE A",MOUNTAIN VIEW,California,94043,(650) 961-1339,http://www.elegant-thread.com,,
"EMMANUEL'S RUG & UPHOLSTERY CLEANERS, INC",Thea Sand,1105 RAINIER AVE S,SEATTLE,Washington,98144,(206) 322-2200,http://www.emmanuelsrug.com,,
FABRA-CLEEN CARPET & FABRIC SPECIALISTS INC,Brian Kornet,PO BOX 280471,QUEENS VILLAGE,New York,11428,(516) 377-0993,http://www.fabracleen.com,,
FAIR PRICE ENTERPRISES,Donavon Ritz,1070 CENTER ST,RIVERSIDE,California,92507,(951) 684-8578,http://www.fairpricecarpets.com,,
FAIRCHILD FLOORS,Dave Fairchild,"1404 E FRONT ST, STE D",PORT ANGLES,Washington,98362,(800) 788-1411,http://www.fairchildfloors.com,,
FASHION CARPET INC,Robert Blochinger,241 NW 16TH ST,POMPANO BEACH,Florida,33060,(954) 830-4426,http://fashioncarpet.com,,
FELIKIAN'S CARPET ONE,Eliza Gasparyan,188 N ROSEMEAD BLVD,PASADENA,California,91107,(626) 795-2821,http://www.felikiancarpet.com,,
FIBERCARE LLC,John Schremser,925 ROSEWOOD ST,JENISON,Michigan,49428,(616) 667-8580,http://www.fibercaregr.com,,
FIBRECLEAN SUPPLIES LTD,Kathy Brown,#102-3750 19 ST NE,CALGARY,Alberta,T2E 6V2,(403) 291-3834,http://www.fibreclean.com,,
"FLOOR CLUB ONE, LLC",Jim Fullmer,8303 SIERRA COLLEGE BLVD #136,ROSEVILLE,California,95661,(916) 782-2582,http://www.rosevillefloorclub.com,,
FLOOR COVERING INTERIORS OF NM,William Maher,4120 CUTLER NE,ALBUQUERQUE,New Mexico,87110,(505) 830-3007,http://www.floorcoveringinteriors.com,,
"FLOOR GUYS, THE",Jennifer Defalco,PO BOX 3115,NEWPORT BEACH,California,92659,(949) 650-7676,http://www.thefloorguysflooringamerica.com,,
FLOORING FRENZY & MORE INC,Robin Osterhus,223 N CEDAR AVE,OWATONNA,Minnesota,55060,(507) 446-0069,http://flooring-frenzy.com,,
FLOORWORKS INSPECTION SVCS,Andrew Fronczek,36230 FAWN HILL PL,WILLOUGHBY,Ohio,44094,(888) 400-8721,http://www.fronczek.com,,
FRANCE & COMPANY,Paul Render,920 N WENATCHEE AVE,WENATCHEE,Washington,98801,(509) 662-6139,http://franceandco.com,,
FRESH AND CLEAN,James Senter,"160 CIDERMILL AVE, UNIT 8",CONCORD,Ontario,L4K 4K5,(416) 604-0607,http://www.freshandclean.ca,,
FRESH START CLEANING,Vernon Schlosser,188 SEA HERO DR,ELIZABETH,Kentucky,42701,(502) 639-8376,,,
GENESIS RESTORATIONS LTD,Graham Dick,29-19257 ENTERPRISE WAY,SURREY,British Columbia,V3S 6J8,(604) 533-3440,http://www.genesisrestorations.com,,
GILLESPIE'S ABBEY CARPET AND FLOORS,Monte Hoover,360 CHADBOURNE RD,FAIRFIELD,California,94534,(707) 427-3773,http://www.gillespiesabbeycarpet.com,,
GRAHAM UPHOLSTERY & CARPET CLEANING,Dean Graham,1008 COLORADO AVE,BRUSH,Colorado,80723,(970) 842-4506,,,
GREAT FLOORS,Doug Chadderdon,524 E SHERMAN AVE,COEUR D ALENE,Idaho,83814,(208) 664-5405,http://www.greatfloors.com,,
"GREAT LAKES CARPET & TILE, LLC",Darren Hearns,13553 N US HIGHWAY 441,LADY LAKE,Florida,32159,(352) 330-4800,http://www.greatlakescarpet.com,,
GREAT WESTERN FLOORING,Steve Chirico,31 KENDALL POINT DR,OSWEGO,Illinois,60543,(630) 236-2200,http://www.greatwesternflooring.com,,
GREGORY J FINE FLOORING & DESIGN,Gregory Kyer,520 AMHERST ST,NASHUA,New Hampshire,3063,(603) 886-9129,http://www.gregoryj.com,,
GRIFFIN'S FLOORING AMERICA,Gwen Tennyson,22755 MAPLE RD - ROUTE 235,CALIFORNIA,Maryland,20619,(301) 862-2700,http://www.flooringamerica.com,,
HAMMER BUILDING & RESTORATION INC,Steve Gohm,3205 FASHION SQUARE BLVD,SAGINAW,Michigan,48603,(989) 793-5700,http://www.hammerrestoration.com,,
HAMMOND KNOLL,Matt O'Haleck,1764 BABY DOLL RD SE,PORT ORCHARD,Washington,98366,(360) 769-2326,http://www.hammondknoll.com,,
HEAVEN'S BEST,John Steiner,247 N 1ST EAST,REXBURG,Idaho,83440,(208) 359-1106,http://www.heavensbest.com,,
HIGHLAND PRO CLEAN,Andrew Johansen,PO BOX 776,NEWLAND,North Carolina,28657,(828) 733-5089,http://www.highlandproclean.com,,
"HORRIGAN CLEANERS, INC",Timothy Horrigan,100 PEARSON BLVD,GARDNER,Massachusetts,1440,(978) 632-4200,http://horrigancleaners.com,,
HOWARD YOUNG FLOORING,George Young,4430 AVALON BLVD,MILTON,Florida,32583,(850) 981-8434,,,
IKE'S CARPET CLEANING  & INSPEC,Charles Maddox,128 POINSETT HWY,GREENVILLE,South Carolina,29609,(864) 232-9015,,,
IMPERIAL SERVICES,Andy Smith,19229 SONOMA HWY #238,SONOMA,California,95476,(707) 996-9358,http://imperialservices.com,,
INDEPENDENT CARPET ONE FLOOR & HOME,Frances Francavilla,1400 N WAYNE RD,WESTLAND,Michigan,48185,(734) 729-6200,http://www.independentcarpetone.com,,
INSPECTIONS TOO - FLOORING TECH,Claudia Lezell,133 N FRIENDSWOODS DR,FRIENDSWOOD,Texas,77546,(281) 286-5197,http://www.inspectionstoo.com,,
"J R MCDADE COMPANY, INC",J.R. McDade,15250 N HAYDEN RD,SCOTTSDALE,Arizona,85260,(602) 955-9400,http://www.jrmcdade.com,,
"J-LEE FLOORS, INC",Wendy Gardner,3615 MUKILTEO BLVD,EVERETT,Washington,98203,(425) 355-6781,http://www.jleefloors.com,,
J. B. SHORT CARPET ONE,Tim Short,PO BOX 896,SOUTHERN PINES,North Carolina,28388,(910) 692-6411,http://www.carpetone.com,,
JANSSEN'S INC,Ralph Greco,3514 OCEAN VIEW BLVD,GLENDALE,California,91208,(818) 249-1175,http://www.dirtisgone.com,,
JEFF BISHOP INSPECTOR,Jeff Bishop,3113 OXMOOR INDUSTRIAL BLVD,DOTHAN,Alabama,36303,(334) 983-8730,http://www.cleancareseminars.net,,
"JERRY'S INTERIORS, INC",Ron Geisen,12733 WESTERN AVE,GARDEN GROVE,California,92841,(714) 898-3655,,,
JIM'S FLOOR COVERING,Jim Cochrane,23202 MARIPOSA AVE,TORRANCE,California,90502,(310) 539-0700,http://www.jimsfloorcovering.com,,
"JOE DENMAN & ASSOCIATES, LLC",Joe Denman,3 SCOFIELD CT,BLOOMINGTON,Illinois,61704,(309) 824-1353,http://www.joedenman.com,,
K-TECH KLEENING SYSTEMS INC,Craig Kersemeier,PO BOX 289,WESTON,Wisconsin,54476,(715) 359-8888,http://www.k-techkleening.com,,
KENNY'S CARPET ONE,Kenny Hogan,246 NEW YORK 52,CARMEL,New York,10512,(845) 225-4330,http://www.kennyscarpetone.com,,
KING FLOOR SERVICE,Jason Collins,26140 RIDGE RD,DAMASCUS,Maryland,20872,(301) 253-2200,http://www.kingfloor.com,,
KLEENRITE CARPET CARE,Michael Schmitt,PO BOX 85,CORAM,New York,11727,(631) 451-1349,http://www.kleenritecarpetcare.com,,
L M C C A / LOW MOISTURE CARPET,Lonnie Mc Donald,7809 E 134TH TERRACE,GRANDVIEW,Missouri,64030,(816) 966-9065,http://www.lmcca.org,,
LEN'S CARPET CARE & CONSULTANTS,Lenny Mingus,3436 FRANETTE RD,LANSING,Michigan,48906,(517) 886-5367,http://www.lenscarpetcare.com,,
MC CRORIE CARPET ONE,David McCrorie,547 N OAKRIDGE DR,PORT ANGELES,Washington,98362,(360) 457-7500,http://www.mccorie.com,,
MC NEVIN CLEANING SPECIALISTS,Bill Nicolay,1186 SAN MATEO AVE,SOUTH SAN FRANCISCO,California,94080,(650) 952-7975,http://www.mcnevincleaning.com,,
MERCHANTS CARPET,Tom Firek,PO BOX 515,NEWCASTLE,California,95658,(916) 381-3100,http://www.merchantscarpet.com,,
MID AMERICA SOLUTIONS,Shawn Trevino,6351 W MONTROSE AVE #244,CHICAGO,Illinois,60634,(773) 447-1258,http://www.flooring-consultant.com,,
MIDWEST CARPET INSPECTION,Bill Gallagher,7907 E CR-X,CLINTON,Wisconsin,53525,(608) 676-4059,http://www.midwestflooringspecialist.com,,
MILE ABOVE COMMERCIAL CLEANING & RESTORATION,Sam Castro,905 S NORFOLK ST,AURORA,Colorado,80017,(303) 745-5280,,,
"MOLD AWAY USA, INC",Maureen Hoben,29218 ROSELITE CIRCLE,MENIFEE,California,92584,(951) 679-9646,http://www.moldawayusa.com,,
MORRIS CARPET CLEANING INC,Mike Morris,"1405 NE LAFAYETTE AVE, STE E",MC MINNVILLE,Oregon,97128,(503) 472-3889,http://www.morriscleaning.com,,
NEMETH FAMILY INTERIORS,Dave Nemeth,700 W ARROW HWY,COVINA,California,91722,(626) 966-1763,http://www.nemethinteriors.com,,
