name,address,city,state,postal,owner,phone,website
Nicks Rug Company Inc,1151 Worcester Rd,Framingham,MA,01701-5213,Jeffrey Gusha,(508) 875-8998,WWW.NICKSRUG.COM
Post Road Carpet One Of Acton,141 Great Rd,Acton,MA,01720-5673,Samuel Paolini,(978) 263-2302,WWW.POSTROADCARPETONEOFACTON.COM
J J Hardwood Floors Inc,55 Knox Trl Ste 402,Acton,MA,01720-5948,Joseph Bourgeois,(978) 897-1150,WWW.JJHARDWOODFLOORS.COM
1a Flooring Inc,PO Box 313,Hopkinton,MA,01748-0313,Kris Vanbeek,(877) 737-0735,WWW.1AFLOORING.COM
Post Road Carpet Center Inc,782 Boston Post Rd E,Marlborough,MA,01752-3703,Douglas Cain,(508) 485-2227,WWW.POSTROADCARPET.COM
New England Decks & Floors Inc,13 Cedar St,Milford,MA,01757-1601,F Goodwin,(508) 473-4641,WWW.NEDECKSANDFLOORS.COM
Robertson Floor Covering,308 Main St,Milford,MA,01757-2511,Robert Hazard,(508) 473-7300,WWW.ROBERTSONFLOOR.BRANDSOURCE.BIZ
Milford Ceramic Tile & Carpet,91 E Main St,Milford,MA,01757-2708,Gino Giallonardi,(508) 473-8123,WWW.MILFORDCERAMICTILE.COM
Debsan The Decorating Store,PO Box 65,Natick,MA,01760-0065,Benjamin Greenberg,(508) 653-1360,WWW.DEBSAN.COM
Dover Rug Company Inc,549 Worcester St,Natick,MA,01760-1823,Syed Jafri,(508) 651-3500,WWW.DOVERRUG.COM
Sudbury Rug Company Inc,410 Boston Post Rd Ste 11,Sudbury,MA,01776-3014,Kenneth Salvin,(978) 443-4090,WWW.SUDBURYRUG.COM
Rugsdonerightcom,345 Boston Post Rd Ste 16,Sudbury,MA,01776-3039,W Carney,(800) 562-9644,WWW.RUGSDONERIGHT.COM
Business Interiors Floor Cvg,16 Everberg Rd,Woburn,MA,01801-1019,Paul Ferraro,(781) 938-9994,WWW.BIFLOOR.COM
B & D House Of Carpetsinc,217 Middlesex Tpke Ste 1,Burlington,MA,01803-3301,Robert Buonopane,(781) 365-0418,WWW.BANDDCARPETS.COM
Aj Rose Carpets & Flooring,9 Bedford St Ste 3,Burlington,MA,01803-3770,Andrew Boyajian,(781) 272-7601,WWW.AJROSECARPETS.COM
Remco Flooring Inc,67 Parkhurst Rd Unit 4,Chelmsford,MA,01824-1518,Robert Mcclure,(978) 452-8207,WWW.REMCOFLOORING.COM
Abbey Carpet,109 Arlington St,Dracut,MA,01826-4008,Michael Abdinoors,(978) 454-2022,WWW.ABDINOORCARPET.COM
Hastings Floor Covering Inc,919 Salem St,Groveland,MA,01834-1515,Linda Hastings,(978) 521-8848,WWW.HASTINGSFLOOR.COM
Federal Carpet Inc,1 Ennell St,Lowell,MA,01850-1811,John Krapian,(978) 453-0005,WWW.FEDERALCARPETOUTLET.COM
Merrimac Rug & Linoleum Co,287 Appleton St Ste 1,Lowell,MA,01852-2541,Lance Sheehan,(978) 454-7758,WWW.MERRIMACRUG.COM
Mazmanian Rugs Incorporated,321 Boston Rd,North Billerica,MA,01862-2617,Arlene Mazmanian,(978) 667-1500,WWW.MAZMANIANRUGS.COM
Sunshine Carpet,14 Middlesex St Unit 1,North Chelmsford,MA,01863-1562,Peter Tsiklis,(978) 251-8825,WWW.SUNSHINECARPET.COM
Labo Inc,208 Main St,North Reading,MA,01864-3113,Dave Russell,(978) 664-3193,WWW.LABO.COM
National Carpet Company,PO Box 550,Tyngsboro,MA,01879-0550,Richard Robidoux,(978) 649-7600,WWW.NATIONALCARPETANDFLOORING.COM
Westford Custom Floors,PO Box 404,Westford,MA,01886-0404,Stephen Nicoletta,(978) 692-4897,WWW.WESTFORDCUSTOMFLOORS.COM
J C Floor Covering Co Inc,14 Jewel Dr Ste 6,Wilmington,MA,01887-3361,James Columbo,(978) 988-9229,WWW.JCFLOORS.NET
Capital Crpt Flrg Spclists Inc,PO Box 2633,Woburn,MA,01888-1133,Mark Marrama,(781) 935-9430,WWW.CAPITALCARPETONLINE.COM
Allegheny Contract Flrg Inc,36 Holton St,Winchester,MA,01890-1128,James Burke,(781) 935-1077,WWW.ALLEGHENYCONTRACT.COM
Bergeron Floors,PO Box 736,Lynn,MA,01903-0836,William Bergeron,(781) 596-9754,WWW.BERGERONFLOORS.COM
W Proodian & Sons Inc,32 Western Ave,Lynn,MA,01904-2123,Robert Proodian,(781) 593-0495,WWW.PROODIANORIENTALRUGS.COM
House Of Andrea,674 Western Ave,Lynn,MA,01905-2229,Arthur Day,(781) 593-5667,WWW.HOUSEOFANDREA.COM
Saulnier Hardwood Floors,PO Box 633,Swampscott,MA,01907-3633,Paul Saulnier,(781) 595-7232,WWW.SAULNIERFLOORS.COM
Cabot House Inc,10 Industrial Way Ste 3,Amesbury,MA,01913-3222,Robert Bendetson,(978) 834-9280,WWW.CABOTHOUSE.COM
Wilson Hardwoodfloors,33 Taft Ave,Beverly,MA,01915-3950,Ronald Wilson,(978) 921-4313,WWW.WILSONHARDWOODFLOORS.COM
National Floors,100 Cummings Ctr Ste 120e,Beverly,MA,01915-6114,Robert Laporte,(978) 922-1600,WWW.NATIONALFLOORS.COM
First Oriental Rugs,301 Newbury St Ste 5,Danvers,MA,01923-1029,Cynthia First,(978) 739-9033,WWW.FIRSTRUGS.COM
Moriarty & Gordon Floor Cvg,151 Endicott St Ste 6,Danvers,MA,01923-3682,Jack Moriarty,(978) 774-5155,WWW.MORIARTYANDGORDONFLOORS.COM
Tile by Design Inc,120 Andover St Ste 3,Danvers,MA,01923-5304,Gerald Mcginn,(978) 750-6650,WWW.TILE-BY-DESIGN.COM
Khouri Oriental Rugs,56 Atlantic Ave,Marblehead,MA,01945-3034,Ralph Khouri,(781) 639-1441,WWW.KHOURIS.COM
Tiles Gone Wild Inc,253 Low St Ste 7,Newburyport,MA,01950-3510,Arthur Bates,(978) 462-9453,WWW.TILESGONEWILD.COM
Wood Flooring Design,11 1/2 Rabbit Rd,Salisbury,MA,01952-1822,Frederick Johnson,(978) 462-8446,WWW.WOODFLOORINGDESIGN.COM
Fox Carpet Company,63 Fulton St,Peabody,MA,01960-4421,Richard Fox,(781) 592-0552,WWW.FOXFLOOD.COM
International Design Guild,63 Flint St,Salem,MA,01970-2233,Julie Acari,(978) 744-5909,WWW.LANDRYANDARCARI.COM
Robert Magarian Carpet Co,335 Bridge St,Salem,MA,01970-2244,Kevin Magarian,(978) 744-6228,WWW.MAGARIANCARPET.COM
Bay State Gypsum Floors Inc,103 River Rd,West Newbury,MA,01985-1005,Raymond Griskiewwicz,(978) 363-2687,WWW.BAYSTATEGYPSUM.COM
Kents Carpetland,PO Box 165,Accord,MA,02018-0165,Edward Andrews,(781) 871-1000,WWW.KENTSCARPETLAND.COM
AL Marusich Hardwood Floors,22 Farm St,Canton,MA,02021-1311,Albino Marusich,(781) 828-3031,WWW.ALMARUSICHFLOORS.COM
John Dolan Flooring & Cabinets,605 Washington St,Canton,MA,02021-3033,John Dolan,(781) 828-4029,WWW.DOLANFLOORING.COM
Compass Flooring,15 Connie Dr,Foxboro,MA,02035-1609,James Callahan,(508) 543-0780,WWW.COMPASSFLOORING.COM
Flooring America,950 Chestnut St,Franklin,MA,02038-1272,George Cocuzzo,(508) 520-2600,WWW.FLOORINGAMERICA-NE.COM
Marons Wood Floors,489 Lincoln St,Franklin,MA,02038-1533,Edward Maron,(508) 528-8696,WWW.MARONSWOODFLOORS.COM
Carpet One Franklin Tile,168 Grove St,Franklin,MA,02038-3171,Vernon Yergatian,(508) 528-2713,WWW.FRANKLINTILECARPETONE.COM
Revival Flrg & Stoneworks LLC,25 Industrial Park Rd,Hingham,MA,02043-4105,Amad Mahidashti,(781) 741-5080,WWW.REVIVALSTONEWORKS.COM
Anselone Flooring,277 N Main St,Mansfield,MA,02048-2249,Charles Anselone,(508) 339-4448,WWW.ANSELONEFLOORING.COM
Boston Home and Office Flrg,588 Careswell St,Marshfield,MA,02050-4271,Fergus Keane,(781) 837-2044,WWW.BOSTONHOF.COM
Cbc Liberty Enterprises LLC,PO Box 74,Medfield,MA,02052-0074,Charlene Bonadies,(508) 242-9774,WWW.CBCLIBERTY.COM
Shearing Shed The,63 Howard St,Norwood,MA,02062-2323,Robert Critchley,(781) 255-0546,WWW.SHEARINGSHED.COM
Fashion Carpets Inc,80 Broadway,Norwood,MA,02062-3519,Paul Salemi,(781) 769-3262,WWW.FASHIONCARPETS.COM
Waterjet Cutting,1320 Main St,Walpole,MA,02081-1790,Leo Shellmer,(508) 660-6820,WWW.LEOSFLOORCOVERING.COM
Vajentic Flooring Co Inc,169 Porter St,Westwood,MA,02090-2159,Aldo Vajentic,(781) 329-1045,WWW.VAJENTICFLOORING.COM
Classic Floor Coverings,850 Franklin St Ste 1,Wrentham,MA,02093-2406,James Desprez,(508) 384-2211,WWW.CLASSICFLOORS.BIZ
Hardwood Floor Cont Inc,PO Box 230,East Boston,MA,02128-0002,Jose Villanueva,(617) 230-6652,WWW.MYHARDWOODFLOORS.COM
Floor Sanders and Finishers,214 Lincoln St Ste 111,Allston,MA,02134-1348,Varouj Nersesiam,(617) 783-1711,WWW.FLOORSANDERS.COM
College Furniture & Rugs,137 Harvard Ave,Boston,MA,02134-2702,Salvatore Barone,(617) 254-5949,WWW.COLLEGEFURNITURECHEAP.COM
Floor Sanding Of Mass,51 Greenwood Ave,Hyde Park,MA,02136-3129,Anh Nguyen,(617) 364-9719,WWW.FLOORSANDINGOFMASS.COM
Noor Oriental Rugs,769 Concord Ave,Cambridge,MA,02138-1048,Mohammad Nooraee,(617) 868-6667,WWW.NOORORIENTALRUGS.COM
Yayla Tribal Village Rugs Inc,283 Broadway,Cambridge,MA,02139-1817,Chris Walter,(617) 576-3249,WWW.YAYLA.COM
Lechmere Rug Co Inc,200 Monsignor Obrien Hwy,Cambridge,MA,02141-1254,Patrick Curley,(617) 876-9700,WWW.LECHMERERUG.COM
Axis Design and Cnstr Inc,PO Box 45407,Somerville,MA,02145-0004,Rocco Antonelli,(617) 628-1600,WWW.AXIS-DESIGN.COM
Modern Floors Inc,22 Marshall St,Somerville,MA,02145-2903,Jorge Chaves,(617) 776-7727,WWW.MODERNFLOORS.NET
Abbey Carpet,497 Broadway,Malden,MA,02148-2036,John Robinson,(781) 321-9477,WWW.ABBEYCARPETSTORE.COM
Nylin Floors Consulting C,32 Ripley St,Malden,MA,02148-2614,Erick Nylin,(781) 321-4647,WWW.NYLINFLOORS.COM
Di Flumeri Ceramic Tile & Mbl,45 Ferry St,Everett,MA,02149-4927,Antonio Flumeri,(617) 387-8754,WWW.DIFLUMERITILE.COM
Northeast Flooring America,280 Revere Beach Pkwy,Chelsea,MA,02150-1609,Joseph Demko,(617) 889-2100,WWW.NORTHEASTFLOORS.COM
Boston Hardwood Floor,55 Washington Ave 6,Chelsea,MA,02150-3906,Tam Chau,(617) 889-9677,WWW.BOSTONFLOOR.COM
Quality Carpets,100 Squire Rd,Revere,MA,02151-1302,Leo Scarlata,(781) 289-6970,WWW.QUALITYCARPETS.NET
Fabio Clavel Flooring Inc,547 Washington Ave,Revere,MA,02151-1962,Fabio Clavel,(781) 289-4243,WWW.FABIOSFLOORINGINC.COM
Frank H Duffy Inc,369 Salem St,Medford,MA,02155-3340,Christopher Potts,(781) 395-3418,WWW.DUFFYFLOORS.COM
Celtic Floor Craft,90 North St,Medford,MA,02155-4239,Martin Foggarty,(781) 391-6456,WWW.CELTICFLOORCRAFT.NET
Advanced Construction,23 Linden St,Medford,MA,02155-4929,Steve Frank,(781) 395-2100,WWW.ADV-CONST.COM
Toms Hardwood Floor Svc Inc,368 Adams St,Quincy,MA,02169-1704,Tom Nguyen,(617) 472-1291,WWW.TOMSHARDWOODFLOOR.COM
Tedesco Kitchens,470 Franklin St,Melrose,MA,02176-1715,Nicholas Bassila,(781) 662-7080,WWW.BRAVOKITCHENS.NET
Grillo Oriental Rug Care,100 Memaina Dr Ste J,Braintree,MA,2184,George Grillo,(781) 843-4200,WWW.GRILLOORIENTALRUGS.COM
Yankee Pride,29 Parkside Cir,Braintree,MA,02184-3105,Robert Packard,(781) 848-7610,WWW.YANKEE-PRIDE.COM
Damien Hardwood Floors Inc,67 Walnut Ave,Braintree,MA,02184-6115,Tom Le,(781) 843-0367,WWW.DAMIENFLOORS.COM
Clean And Simple,27 Brandon Rd,Milton,MA,02186-1615,Bruce Kennedy,(617) 696-1771,WWW.CLEANANDSIMPLE.COM
Richard Doyle Woodflooring,402 Front St,Weymouth,MA,02188-2802,Richard Doyle,(781) 335-5162,WWW.DOYLEFLOORS.COM
Kennedy Restoration Services,221 Libby Industrial Park,Weymouth,MA,02189-3101,James Kennedy,(781) 335-8000,WWW.KENNEDYCARPET.COM
Irvings Home Center Inc,10 N Main St,Brockton,MA,02301-3907,Richard Sena,(508) 583-4421,WWW.IRVINGSHOMECENTER.COM
J C Best,71 Manley St,Brockton,MA,02301-4898,Gregory Kashgagian,(508) 583-5022,WWW.PARAMOUNTRUG.COM
Nicholas Cooper,27 Hall St,Brockton,MA,02302-3414,Nicholas Cooper,(508) 857-0443,WWW.NICHOLASCOOPER.COM
Doyle Wood Flooring LLC,572 Plymouth St,Halifax,MA,02338-1372,Jeff Doyle,(781) 293-3026,WWW.DOYLEWOODFLOORING.COM
International Design Guild,195 Columbia Rd,Hanover,MA,02339-2396,John Martini,(781) 826-5166,WWW.COLONYRUG.COM
Jays Carpet & Interiors,PO Box 571,Hanson,MA,02341-0571,Ronald Hansen,(781) 293-5072,WWW.RONALDJHANSEN.COM
Wilmots Decorating Center,PO Box 1238,Middleboro,MA,02346-4238,William Houlihan,(508) 947-3370,WWW.WILMOTSDECORATING.COM
Boston Flloring,6 Julie Rd,North Easton,MA,02356-2113,Bob Elderidge,(508) 297-1601,WWW.BOSTONFLOORING.COM
Mayflower Carpet Co Inc,186 Standish Ave,Plymouth,MA,02360-4162,Keith Kaiser,(508) 746-7466,WWW.SHIRETOWNGLASS.COM
Depaoli Mosaic Company,52 York Ave,Randolph,MA,02368-1828,Walter Morgan,(781) 961-6591,WWW.DEPAOLIMOSAIC.COM
Rug Merchant LLC,11 Commerce Rd Ste B,Rockland,MA,02370-1080,Hilary Repa,(781) 331-5505,WWW.THERUGMERCHANT.COM
Cdc Warehouse Sales,100 Weymouth St Ste H1,Rockland,MA,02370-1146,Virginia Rich,(781) 878-6068,WWW.CDCFLOORING.COM
Jeffs Carpets and Linoleum,222 Webster St,Rockland,MA,02370-1208,Jeffrey Reale,(781) 871-0029,WWW.JEFFSCARPETS.COM
American Sport Floors Inc,105 Exchange St,Rockland,MA,02370-1715,John Carbone,(781) 871-0878,WWW.AMERICANSPORTFLOORS.COM
Oriental Rug Importers Inc,PO Box G,Lexington,MA,02420-0008,Edward Barsamian,(781) 861-7655,WWW.ORIENTALRUGIMPORTERS.COM
Hunt Hardwood Floors Inc,17 Curve St,Lexington,MA,02420-3905,Patrick Hunt,(781) 862-3559,WWW.HUNTHARDWOODFLOORS.COM
Carpetville Inc,345 Watertown St,Newton,MA,02458-1329,Joseph Luca,(617) 244-5403,WWW.CARPETVILLEINC.COM
Arthur T Gregorian Inc,2284 Washington St,Newton,MA,02462-1440,John Gregorian,(617) 244-2553,WWW.GREGORIANRUGS.COM
New England Orntal Rug Gallery,184 Worcester St,Wellesley,MA,02481-5509,Bahman Kimiachi,(781) 235-2354,WWW.NEORG.COM
Fabers Rug Company Inc,9 Central St,Wellesley,MA,02482-5801,Thomas Faber,(781) 235-5996,WWW.FABERSRUG.COM
Newton Oriental Rugs,73 Chestnut St,Needham,MA,02492-2526,Michael Sokolowski,(781) 444-5111,WWW.NEWTONORIENTALRUGS.COM
Fine Arts Rug Inc,9 Jones Rd,Weston,MA,02493-1548,Roy Chatalbash,(781) 891-5951,WWW.FINEARTSRUG.COM
Goddard Floor Specialists,199 North Ave,Weston,MA,02493-2031,Glen Goddard,(781) 890-4559,WWW.GODDARDFLOORS.COM
Brookline Oriental Rug Co Inc,315 Hunnewell St,Needham,MA,02494-1340,Hratch Belekian,(781) 444-0333,WWW.BROOKLINEORIENTALRUG.COM
Nigohsian Rug Company,57 Crawford St,Needham,MA,02494-2618,Charlene Fallon,(781) 444-7847,WWW.NIGOHSIANCARPET.COM
C & R Flooring,65 Crawford St,Needham,MA,02494-2618,Chris Zizza,(781) 444-1553,WWW.CANDRFLOORING.COM
Award Flooring Inc,270 Main St Ste 1,Buzzards Bay,MA,02532-3257,Kirk Ward,(508) 759-9222,WWW.AWARDFLOORING.NET
Tile Room Inc,9 Sparks Ave,Nantucket,MA,02554-3952,Graham Burton,(508) 325-4732,WWW.TILEROOMNANTUCKET.COM
Island Carpet Inc,82a Old South Rd,Nantucket,MA,02554-6000,Chris Garvey,(508) 228-7876,WWW.ISLANDCARPET.COM
Wood Floor Specialists Inc,24 Liberty St,Sagamore,MA,2561,John Elacqua,(508) 888-3958,WWW.WOODFLOORSPECIALISTS.COM
Macdonalds Rugs & Carpets,PO Box 712,Vineyard Haven,MA,02568-0712,Brent Cron,(508) 693-2240,WWW.MVCARPET.COM
Karpet Kare Inc,PO Box 1748,Vineyard Haven,MA,02568-0910,Gerard Dowd,(508) 693-9462,WWW.KARPETKARE.COM
Marthas Vineyard Hardwood Flo,PO Box 4496,Vineyard Haven,MA,02568-0936,Mark Clark,(508) 693-2838,WWW.MVHARDWOODFLOORS.COM
Carpets Of Cape Cod,239 Barnstable Rd,Hyannis,MA,02601-2931,Dana Golenski,(508) 775-4266,WWW.DGCARPETS.COM
Coachlight Carpets,1680 Falmouth Rd,Centerville,MA,02632-2933,Stephen Luciani,(508) 771-0256,WWW.COACHLIGHTCARPET.COM
Jhb Enterprises,4 Great Western Rd,Harwich,MA,02645-2314,Thomas Benton,(508) 432-3133,WWW.CAPECODBRAIDEDRUG.COM
Village Floors Inc,47 Route 134 Ste 3,South Dennis,MA,02660-3731,David Mccollough,(508) 398-5960,WWW.VILLAGEFLOORSCAPECOD.COM
Left Bank Gallery Inc,PO Box 764,Wellfleet,MA,02667-0764,Audrey Parent,(508) 349-9451,WWW.LEFTBANKGALLERY.COM
Jay Vees Inc,189 Durfee St,Fall River,MA,02720-2362,John Viveiros,(508) 673-8333,WWW.JAYVEESINC.COM
Armands Carpet & Linoleum Co,1535b S Main St,Fall River,MA,02724-2605,Patricia Obrien,(508) 679-2745,WWW.ARMANDSCARPETS.COM
New Bedford Floor Covering Sls,455 Union St,New Bedford,MA,02740-3564,Cecil Lopes,(508) 996-0103,WWW.NEWBEDFORDFLOORS.COM
C & M Floor Covering Inc,474 Orchard St,New Bedford,MA,02744-1006,Maria Cabral,(508) 999-6018,WWW.CANDMFLOORCOVERING.COM
Furniture Cy & Carpetland Neng,127 Rodney French Blvd,New Bedford,MA,02744-1623,Stephen Lefkowitz,(508) 999-4414,WWW.FAMILYFURNITUREPACKAGEPRICING.COM
AL Le Blanc Inc,262 Raymond St,New Bedford,MA,02745-2562,Rene Blanc,(508) 995-6767,WWW.ALLEBLANC.COM
Step On It Flooring,115 Grant St,North Attleboro,MA,02760-2431,George Allendorf,(508) 243-8930,WWW.STEPONITFLOORING.COM
Carpets Plus Inc,91 George Leven Dr,North Attleboro,MA,02760-3579,Brian Conefrey,(508) 699-7900,WWW.CARPETSPLUS.NET
East Coast Flooring Inc,117 Washington St,Plainville,MA,02762-2142,Sunil Lulla,(508) 643-0343,WWW.EASTCOASTCARPET.COM
J Brian Day Inc,54 Washington St,Plainville,MA,02762-2636,John Day,(508) 699-0440,WWW.JBRIANDAY.COM
Cabinet Loft The,153 Broadway,Raynham,MA,02767-1400,Francis Emond,(508) 824-6199,WWW.EMONDBROTHERS.COM
Tile Town Inc,325 New State Hwy Ste 5,Raynham,MA,02767-5467,Jude Weyland,(508) 824-8453,WWW.TILETOWN.COM
Jjs Carpet Outlet,1874 Fall River Ave,Seekonk,MA,02771-2010,John Furtado,(508) 336-4860,WWW.JJSCARPETOUTLET.COM
Floor Works Inc,535 John Hancock Rd Ste 2,Taunton,MA,02780-7390,Jeff Meau,(508) 828-1577,WWW.FLOORWORKSMA.COM
Kenvo Floor Co Inc,128 Ten Rod Rd,Exeter,RI,02822-3109,Mark Votta,(401) 294-1244,WWW.KENVOFLOOR.COM
Barts Carpet,491 Davisville Rd,North Kingstown,RI,02852-1778,Peter Bartkiewicz,(401) 884-8300,WWW.BARTSCARPET.COM
Flooring America,680 Broadway,Pawtucket,RI,02860-1147,Alfred Kelly,(401) 724-9394,WWW.KELLYFLOORCOVERING.COM
GG Floors,90 Longwood Ave,Warwick,RI,02888-3714,Steve Martin,(401) 529-1683,WWW.GANDGFLOORS.COM
Rustigian Rugs,1 Governor St,Providence,RI,02906-3003,Rosalind Rustigian,(401) 751-5100,WWW.RUSTIGIANRUGS.COM
P Js Carpets & Win Fashions,474 N Broadway,East Providence,RI,02914-2146,Deborah Decristofaro,(401) 438-4523,WWW.PJINTERIORS.COM
Trinkle Design Associates Inc,2757 Pawtucket Ave,East Providence,RI,02914-3347,Bernard Trinkle,(401) 438-4460,WWW.TRINKLEDESIGN.COM
Domenic & Sons Floor Covering,255 Greenville Ave,Johnston,RI,02919-4111,Domenic Fiorio,(401) 231-1885,WWW.DOMENICANDSONSFLOORING.COM
Wood Floor Connection,4 Pine Rd,Amherst,NH,03031-1603,Gary Raymond,(603) 672-4174,WWW.WOODFLOORCONNECTION.COM
R & S Carpet,325 Derry Rd,Hudson,NH,03051-3020,Robert Onge,(603) 889-3867,WWW.RSFLOORINGAMERICA.COM
