name,phone,address,city,state,postal,primary_email,owner,contacts,other_emails,website,sources
"SUMMIT FLOORS/RETAIL","(713) 224-2544","","HOUSTON","TX","","N/A","Joe Hardberger","","jhardberger@summitfloors.com,jhardberger@summitfloors.com","http://www.summitfloors.com/,","consolidated,johanna"
"AMERICAN CARPET","(956) 421-3623","","HARLINGEN","TX","","N/A","Eduardo Lara","","-,-","http://www.intercarpets.com,","consolidated,johanna"
"ROYAL FLOORINGS & PAINTS","(515) 957-9738","","ALTOONA","IA","","N/A, dougs@sassman.biz","Nick Fiala","","-,-","http://www.royalflooringandpaints.com/,","consolidated,johanna"
"STRAIT FLOORS","(360) 683-4343","","SEQUIM","WA","","chadcopeland@hotmail.com","Chad Copeland ; Steve Wilson","","ccopeland@straitfloors.com; steve.wilson@straitfloors.com,ccopeland@straitfloors.com; steve.wilson@straitfloors.com","http://straitfloors.com/,","consolidated,johanna"
"BUDGET FLOORING","(702) 647-3800","","LAS VEGAS","NV","","budgetflooringlv@gmail.com","Patricia Klein","","-,-","http://budgetflooringlv.com/,","consolidated,johanna"
"ARIZONA TILE COMPANY","(217) 793-6922","","SPRINGFIELD","IL","","customerservice@ariztile.com","Sheryl Daugherty","","-,-","http://www.ariztile.com,","consolidated,johanna"
"THORNTON CARPET INC","(605) 368-2568","","SIOUX FALLS","SD","","N/A","Richard Thorton ; Matthew Thorton","","-,-","http://www.thorntoncarpets.com,","consolidated,johanna"
"FRED'S CARPET","(216) 662-5550","23760 MILES ROAD","BEDFORD HEIGHTS","OH","","N/A","Austin Calvetta","","austin@calvettabrothers.com,austin@calvettabrothers.com","www.calvettabrothers.com,www.calvettabrothers.com,","consolidated,johanna"
"TROTTS QUALITY CARPET","(386) 788-0118","","SOUTH DAYTONA","FL","","trottscarpet@cfl.rr.com","Thomas Trott ; Betty June Trott","","-,-","http://www.trottscarpet.com/,","consolidated,johanna"
"HARPENAU ENTERPRISES INC","(574) 269-4443","","WARSAW","IN","","vanessa@whitesflooring.com","Bill Harpenau","","bill@whitesflooring.com,bill@whitesflooring.com","http://whitesflooring.com/,","consolidated,johanna"
"TEXAS FLOORS","(281) 370-8200","","CYPRESS","TX","","texasfloors@yahoo.com","-","","-,-","http://texasfloorsonline.com/,","consolidated,johanna"
"COUTURE FLOORS","(830) 981-8491","","BOERNE","TX","","dmajetich@couturefloors.com","Dan Majetich","","dmajetich@couturefloors.com,dmajetich@couturefloors.com","http://www.couturefloors.com/,","consolidated,johanna"
"SUPREME CARPET SALES INC","(989) 684-8888","","BAY CITY","MI","","corp@supremefloors.com","Thomas Meirow Kiwanis","","-,-","http://supremefloors.com/,","consolidated,johanna"
"LEE APPLIANCE CO INC","(518) 563-0900","","PLATTSBURGH","NY","","valerie@leeappliance.com","Gary Bertrand","","sales@leeappliance.com,sales@leeappliance.com","http://www.leeappliance.com/,","consolidated,johanna"
"EDMONDSON INC","(706) 650-0400","","AUGUSTA","GA","","N/A","Greg Edmonson","","-,-","http://littlerock.citysearch.com/profile/1541324/jacksonville_ar/edmondson_inc.html,","consolidated,johanna"
"LANDERS PREMIER FLOORING","(512) 873-9470","3571 FAR WEST BLVD #254","AUSTIN","TX","","experts@landerspremierflooring.com","Stephanie Landers","","-,-","http://landerspremierflooring.com,http://landerspremierflooring.com/,www.landerspremierflooring.com,","consolidated,johanna"
"MARKS FLOORING CTR INC","(352) 394-0303","","MINNEOLA","FL","","N/A","Mark Compston","","-,-","http://marksfloorsonline.com/,","consolidated,johanna"
"NASSAU DESIGN CENTER INC","(904) 548-9906","463646 Stae Rd. 200","YULEE","FL","","N/A","Jeff Jones","","-,-","www.americanflooring.info,","consolidated,johanna"
"AFFORDABLE FLRS OF NY INC","(845) 565-2000","","NEWBURGH","NY","","kkranec@affordable-floors.com","Marc Horowitz","","mhorowitz@affordable-floors.com,mhorowitz@affordable-floors.com","http://www.affordable-floors.com/,","consolidated,johanna"
"FRANKS FLOOR COVERING","(806) 274-3929","","BORGER","TX","","franksfloorcovering@hotmail.com","Frank Fernandez ; Amy Fernandez","","-,-","http://www.franksfloorcovering.com/,","consolidated,johanna"
"CUSTOM FLOOR COVERINGS","(435) 755-0963","","NORTH LOGAN","UT","","N/A","-","","-,-","http://www.customfloorcovering.com/,","consolidated,johanna"
"WALL-TO-WALL FLOOR COVERING","(717) 687-6485","","RONKS","PA","","walltowall@verizon.net","H. Mervin Breckmill ; Jerrry Fisher","","-,-","http://flooringinstrasburg.com/,","consolidated,johanna"
"NIC/LOR FLOORS","(703) 968-6498","","CHANTILLY","VA","","N/A,","Gary Swinea","","garyswinea@nic-lorfloors.com,garyswinea@nic-lorfloors.com","http://www.nic-lorfloors.com/,","consolidated,johanna"
"ENHANCE HOME SERVICES INC","(770) 565-3808","","MARIETTA","GA","","N/A","Elisabeth Stubbs","","-,-","http://enhancefloors.com/,","consolidated,johanna"
"VALLEY FLOOR COVERING","(203) 723-6978","","NAUGATUCK","CT","","N/A","Richard Adamaitis","","-,-","http://valleyfloorcoveringct.com/,","consolidated,johanna"
"CAROLS CARPET INC","(334) 272-5400","","MONTGOMERY","AL","","susan@carolscarpet.com","Lee Courson","","-,-","http://carolscarpet.com/,","consolidated,johanna"
"A & D Carpet and Hardwoods","(706) 863-8870","320 S. Belair Rd.","Martinez","GA","","N/A","Angela Key","","-,-","http://aanddcarpets.com/,http://aanddcarpets.com/,","consolidated,johanna"
"MCNULTY'S BUILDING SUPPLY","(570) 544-9414","","POTTSVILLE","PA","","N/A","James McNulty","","-,-","http://mcnulty.flooringplus.com/,","consolidated,johanna"
"GEORGIA DIRECT CARPETS INC","(765) 966-2548","","RICHMOND","IN","","rbledsoe@georgiadirect.biz","AL Bledsoe","","a.bledsoe@georgiadirect.biz,a.bledsoe@georgiadirect.biz","http://georgiadirectcarpetinc.com/index.htm,","consolidated,johanna"
"CENTURY SUPPLY COMPANY","(773) 735-6600","","CHICAGO","IL","","N/A","Frederick M. Schmidt","","freds@century-tile.com,freds@century-tile.com","http://www.century-tile.com/,","consolidated,johanna"
"ALL AMERICAN FLOORING INC","(972) 661-3290","","FARMERS BRANCH","TX","","N/A","Tarek Alkadri","","tarek@allamericanflooring.net,tarek@allamericanflooring.net","www.allamericanflooring.net,","consolidated,johanna"
"SMILIN' SAM'S INC.","(573) 459-6483","","NEW HAVEN","MO","","N/A","Bruce Adams","","-,-","http://www.smilinsams.net/,","consolidated,johanna"
"OWEN VALLEY FLOORING INC","(812) 879-4204","","SPENCER","IN","","N/A","Ann Hank","","-,-","http://www.owenvalleyflooring.com/,","consolidated,johanna"
"NADINE FLOOR CO INC.","(972) 424-2525","","PLANO","TX","","N/A","Moses Neel","","moses@nadinefloors.com,moses@nadinefloors.com","http://www.nadinefloors.com/,","consolidated,johanna"
"PRINTS & PAINTS INC","(419) 462-5663","","GALION","OH","","N/A","Gary Frankhouse Jr.","","gary@printsandpaints.com,gary@printsandpaints.com","http://www.myfloorsohio.com/,","consolidated,johanna"
"STEAMOUT CARPET CLEANING","(325) 949-3619","","SAN ANGELO","TX","","N/A","Mike Doyle ; Julie Doyle","","-,-","http://www.floorstorebysteamout.com/,","consolidated,johanna"
"FINISHING TOUCH PNW","(360) 658-0120","","ARLINGTON","WA","","N/A","Raymond Bearden","","-,-","http://www.finishingtouchpnw.com/,","consolidated,johanna"
"MC NABB DONALD E COMPANY INC","(248) 437-8146","","MILFORD","MI","","N/A","Douglas McNabb","","dmcnabb@demcnabb.com,dmcnabb@demcnabb.com","http://www.demcnabb.com/,","consolidated,johanna"
"NIEHAUS LUMBER COMPANY","(812) 882-2710","","VINCENNES","IN","","N/A","Bernie Niehaus","","-,-","http://www.niehausinc.com/,","consolidated,johanna"
"BURNS FLOORING & DESIGN LLC","(863) 299-9080","","WINTER HAVEN","FL","","N/A","Jim Burns ; Penny Burns","","-,-","http://www.burnsflooringanddesign.com/,","consolidated,johanna"
"WRIGHT FLOOR COVERING INC","(985) 851-1604","","HOUMA","LA","","N/A","Kenneth Wright","","-,-","http://www.wrightsflooring.com/,","consolidated,johanna"
"PREMIER FLOOR CENTER","(731) 285-4040","","DYERSBURG","TN","","pfc@aeneas.net","Roger Carroll","","-,-","http://www.premierfloorcenter.com/,","consolidated,johanna"
"BAS INC","(402) 371-4440","","NORFOLK","NE","","dalep@noresdesigncetner.com","Dale Phipps","","dalep@noresdesigncetner.com,dalep@noresdesigncetner.com","http://www.noresdesigncenter.com/,","consolidated,johanna"
"CAVENDER'S LLC","(931) 372-2112","","COOKEVILLE","TN","","N/A","Ernie Cavender","","ernie@cavendersinterior.com,ernie@cavendersinterior.com","http://www.cavendersinterior.com/,","consolidated,johanna"
"D & F CARPET STORE PLUS","(912) 756-6868","","RICHMOND HILL","GA","","info@carpetstoreplus.com","Tracey Winters","","tracey@carpetstoreplus.com,tracey@carpetstoreplus.com","http://carpetstoreplus.com/,","consolidated,johanna"
"NIELSEN BROS & SONS INC","(206) 783-5454","","SEATTLE","WA","","N/A","James P. Nielsen","","-,-","http://www.nbfloors.com/,","consolidated,johanna"
"R TWO CORP","(407) 660-8400","251 S. LAKE DESTINY DR","ORLANDO","FL","","N/A","Dick Rusnak ; Bob Toby","","btobe@floor360.com,btobe@floor360.com","http://www.flooringcenterorlando.com,http://www.flooringcenterorlando.com/,http://www.floor360.com/,","consolidated,johanna"
"FLEMING CARPET DISTRIBUTORS","(770) 420-3009","","MARIETTA","GA","","n/a","Albert Fleming","","-,-","http://www.flemingcarpet.com/,","consolidated,johanna"
"BENSON FLOOR COMPANY","(704) 372-7486","4312 MONROE ROAD","CHARLOTTE","NC","","randy@hughesfloorcovering.com","Randy Hughes","","randy@hughesfloorcovering.com,randy@hughesfloorcovering.com","Not found,www.hughesfloorcovering.com,","consolidated,johanna"
"ELYON INC.","(956) 365-4048","","HARLINGEN","TX","","icarpets@hotmail.com","Rduardo Galvan","","eduardo@intercarpets.com,eduardo@intercarpets.com","http://intercarpets.com/,","consolidated,johanna"
"STOUTS CARPET INC","(662) 234-5227","","OXFORD","MS","","stoutscarpet@bellsouth.net","Mitchell Stout","","-,-","www.stoutscarpets.com,","consolidated,johanna"
"ALTIMATE FLOORING","(605) 390-7900","","RAPID CITY","SD","","ba@altimateflooring.com","Kurt E. Willigues","","-,-","http://www.altimateflooring.com/,","consolidated,johanna"
"WIDMEIER FLOORING COMPANY","(563) 599-7857","","DUBUQUE","IA","","N/A","Joe Widmeier","","-,-","http://www.widmeierflooring.com/,","consolidated,johanna"
"TUKASA CREATIONS","(361) 851-9440","","CORPUS CHRISTI","TX","","tukasa@grandecom.net","Vienna Flores","","-,-","http://www.tukasaflooring.com/,","consolidated,johanna"
"HOUSE OF FLOORS","(505) 559-9190","","ALBUQUERQUE","NM","","Ryancof3@qwestoffice.net","Dennis Fairchild","","HouseofFloorsabq@Qwest.net,HouseofFloorsabq@Qwest.net","http://www.houseoffloorsabq.com/,","consolidated,johanna"
"LOCATION CARPET COMPANY INC","(440) 392-2000","","WICKLIFFE","OH","","N/A","Terry Schneider","","-,-","http://www.locationcarpet.com,","consolidated,johanna"
"JR & JR INC","(252) 393-3165","","SWANSBORO","NC","","N/A","-","","-,-","http://www.angieslist.com/companylist/us/nc/swansboro/james-w-bean-jr-cpa-inc-reviews-5997958.htm,","consolidated,johanna"
"CARPET CONCEPTS INC","(410) 893-6549","","FOREST HILL","MD","","N/A","Dave Graham","","dave@carpetconceptsonline.com,dave@carpetconceptsonline.com","http://carpetconceptsonline.com/,","consolidated,johanna"
"GREAT WESTERN FLOORING CO","(630) 236-2200","","NAPERVILLE","IL","","stevechirico@greatwesternflooring.com","Steve Chirico","","stevechirico@greatwesternflooring.com,stevechirico@greatwesternflooring.com","http://www.greatwesternflooring.com/,","consolidated,johanna"
"UNITED BUILDERS SUPPLY CO INC","(401) 596-2831","30 Oak St.","WESTERLY","RI","","info@unitedbuilderssupply.com","Michael Slosberg","","mslosberg@unitedbuilderssupply.com,mslosberg@unitedbuilderssupply.com","0,www.unitedbuilderssupply.com,","consolidated,johanna"
"WRIGHT L F INC","(815) 844-7177","","PONTIAC","IL","","N/A","Gary Wright","","gary@wrights-furniture.com,gary@wrights-furniture.com","http://www.wrights-furniture.com/,","consolidated,johanna"
"CENTRAL JERSEY FLOORING","(732) 828-7300","","OLD BRIDGE","NJ","","ContactUs@jdflooring.com","Michael E. Baber Jr. ; Juan Figueroa","","-,-","http://www.jdflooring.com/,","consolidated,johanna"
"COMPLETE COMMERCIAL FLOORING","(808) 487-8223","","AIEA","HI","","ccfcustomfloors@aol.com","Leilani Olinger","","lani@ccfhawaii.com,lani@ccfhawaii.com","http://www.ccfhawaii.com/,","consolidated,johanna"
"CARPET QUEEN AND FLOORS","(301) 899-3999","","TEMPLE HILLS","MD","","carpetqueen247@aol.com","-","","-,-","http://www.carpetqueenandfloors.com,","consolidated,johanna"
"OCEAN CITY FLOOR GALLERY","(410) 213-9234","","OCEAN CITY","MD","","N/A","Scott LaClair ; Chris Williams","","; cwilliams@ocfloorgallery.com,; cwilliams@ocfloorgallery.com","http://www.ocfloorgallery.com/,","consolidated,johanna"
"VANDERBERG FURNITURE","(712) 722-3286","","SIOUX CENTER","IA","","jeff@vbfurn.com","Jeff Vander Berg","","jeff@vbfurn.com,jeff@vbfurn.com","http://www.vanderbergfurniture.com/,","consolidated,johanna"
"PERFECT FLOORS INC","(248) 650-5199","","ROCHESTER HILLS","MI","","perfectfloors@sbcglobal.net","John Williams","","-,-","http://perfectfloorsinc.com/,","consolidated,johanna"
"GABRIELS CPTS WEST INC","(915) 581-4214","","EL PASO","TX","","customerservice@carpetswest.com","Charles Gabriel","","-,-","http://www.carpetswest.com/,","consolidated,johanna"
"DUPUY J E FLRING &ACOUSTICAL","(318) 343-1737","","MONROE","LA","","neill@jedupuy.com
sdupuy@jedupuy.com","Stanley Dupuy","","sdupuy@jedupuy.com,sdupuy@jedupuy.com","http://www.jedupuy.com/,","consolidated,johanna"
"V F INC","(845) 623-3432","206 W. ROUTE 59","NANUET","NY","","N/A",";Paul Marks ;","","-,-","http://www.vfc.com,www.leadercarpet.com,http://www.leadercarpet.com/Home/tabid/6361/Default.aspx,","consolidated,johanna"
"SMITHS HOME DECORATING CENTER","(315) 363-0440","","ONEIDA","NY","","N/A","Mike Smith","","-,-","http://www.smithsflooringoneidany.com/sb.cn,","consolidated,johanna"
"CARPET U S A","(323) 870-3787","","CULVER CITY","CA","","bill@carpetusafloors.com","Bill Vanboening","","bill@carpetusafloors.com,bill@carpetusafloors.com","www.carpetusa.com,","consolidated,johanna"
"AUS FLOORS & MORE","(320) 564-3832","","GRANITE FALLS","MN","","N/A","Mike Aus","","-,-","www.ausflooring.com,","consolidated,johanna"
"The Carpet Barn","(828) 456-7422","227 Muse Business Parkway","WAYNESVILLE","NC","","sales@carpetbarncarolina.com","Joe Schneider","","cbarnschneider@yahoo.com,cbarnschneider@yahoo.com","www.carpetbarncarolina.com,http://www.12stonesinc.com/,","consolidated,johanna"
"BUILDER CONTRACT SALES","(843) 651-3303","","MURRELLS INLET","SC","","janna@applianceplussc.com","Tim Helms","","tim@applianceplussc.com,tim@applianceplussc.com","http://buildercontract.brandsource.biz/,","consolidated,johanna"
"SAVEMORE CARPETS","(217) 224-7283","","QUINCY","IL","","greg@savemorecarpets.com","Todd Young","","todd@savemorecarpets.com,todd@savemorecarpets.com","http://www.savemorecarpets.com/,","consolidated,johanna"
"DAGSBORO PAINT & WALLPAPER","(302) 732-3333","","DAGSBORO","DE","","dagsboropaint@verizon.net","Dean Disharoon","","-,-","http://www.dagsboropaint.com/,","consolidated,johanna"
"TROY CARPET INC","(636) 528-5242","","TROY","MO","","N/A","Bryce Harris","","bryce@troyfurnitureco.com,bryce@troyfurnitureco.com","http://www.troyfurnitureco.com/,","consolidated,johanna"
"CALHOUN TILE & CARPET","(269) 962-6227","","BATTLE CREEK","MI","","floor@ctsmail.net","Alicia and Hans Stark","","astark@michtle.com,astark@michtle.com","http://www.michtile.com/,","consolidated,johanna"
"WRIGHT FURNITURE INC","(217) 925-5228","","DIETERICH","IL","","wright@mmtcnet.com","-","","-,-","http://www.wrightsfurniture.com/,","consolidated,johanna"
"HANSON FURNITURE & CARPET INC","(605) 432-9504","","MILBANK","SD","","jim@hansonfurniture.com,chad@hansonfurniture.com,barbara@hansonfurniture.com,janice@hansonfurniture.com,rob@hansonfurniture.com,matt@hansonfurniture.com,anthony@hansonfurniture.com","Jim Hanson","","jim@hansonfurniture.com,jim@hansonfurniture.com","http://www.hansonfurniture.com/,","consolidated,johanna"
"J & J BRANFORD INC","(203) 483-5667","145 N MAIN ST","BRANFORD","CT","","N/A","Joe Pagliaro Sr.","","-,-","www.joesfloorstore.com/,","consolidated,johanna"
"WILSON CARPET PLUS INC","(843) 569-7322","","SUMMERVILLE","SC","","N/A","Betty M. Wilson","","betty@wilsonscarpetplus.com,betty@wilsonscarpetplus.com","http://www.wilsonscarpetplus.com/,","consolidated,johanna"
"HOUSE OF FLOORS INC","(254) 554-3430","","KILLEEN","TX","","N/A","Pam Rogers","","-,-","http://www.house-of-floors.com/,","consolidated,johanna"
"JORDAN CORPORATION","(662) 844-0800","","TUPELO","MS","","N/A","Jordan Litke","","-,-","http://www.jordanflooring.com/,","consolidated,johanna"
"LUBBOCK CARPET WORLD I INC","(806) 792-3848","","LUBBOCK","TX","","rugman_deanking@yahoo.com","Gary Walker","","-,-","http://www.lubbockcarpetworld.com/,","consolidated,johanna"
"FURNITURE DISTRIBUTORS INC","(520) 296-5411","","TUCSON","AZ","","jenny@apolloflooring.com","Gus Fotinos","","-,-","http://www.apolloflooring.com/,","consolidated,johanna"
"FALCON FLOOR COVERING","(417) 532-3118","","LEBANON","MO","","contactus@falconfloorcovering.com","Patricia Bradley","","-,-","http://falconfloorcovering.com/,","consolidated,johanna"
"GENOA CUSTOM INTERIORS","(419) 855-7221","","GENOA","OH","","info@genoacustominteriors.com","David Grosjean","","-,-","http://www.genoacustominteriors.com,","consolidated,johanna"
"BENNETTS CARPETS INC","(270) 866-6930","","RUSSELL SPRINGS","KY","","n/a, admin@bennettscarpets.com","Ivan Bennett","","ivan@bennettscarpets.com,ivan@bennettscarpets.com","http://www.bennettscarpets.com/,","consolidated,johanna"
"SIGNATURE FLOORS","(225) 654-7110","","ZACHARY","LA","","leads@carpetone.com","Melanie Landry","","-,-","http://www.signaturesouthernaccent.com/,","consolidated,johanna"
"J & J CARPET INC.","(318) 336-8318","","VIDALIA","LA","","marcarcher@cableone.net","Marc Archer","","marcarcher@cableone.net,marcarcher@cableone.net","http://jandjcarpetla.com/,","consolidated,johanna"
"LIMA CARPET CORP","(585) 226-2180","","AVON","NY","","N/A","Todd & Renne Wenner","","-,-","http://www.limacarpet.com/,","consolidated,johanna"
"HOCKEMEYER TODD K INC","(260) 639-3591","12108 US 27 SOUTH","FORT WAYNE","IN","","The page cannot be found","Todd Hockemeyer","","todd@kncarpet.com,todd@kncarpet.com","http://www.kncarpet.com/AboutUs/tabid/8715/Default.aspx,http://www.kncarpet.com/,","consolidated,johanna"
"GREATWAY CARPETS INC","(732) 536-3131","","MANALAPAN","NJ","","al@greatwaycarpets.com","Joseph Fuca ; Albert Maya","","joe@greatwaycarpets.com; al@greatwaycarpets.com,joe@greatwaycarpets.com; al@greatwaycarpets.com","http://www.greatwaycarpets.com/,","consolidated,johanna"
"MILLINGTON FLOOR COVERING INC","(901) 872-8940","","MILLINGTON","TN","","N/A","John C. Petty","","-,-","http://www.millingtonfloorcovering.com/html/home.html,","consolidated,johanna"
"RIVERCHASE FLRING CTR INC","(205) 985-9555","","PELHAM","AL","","main@riverchasecarpet.com","John Wilson","","jwilson@riverchasecarpet.com,jwilson@riverchasecarpet.com","http://www.riverchasecarpet.com/,","consolidated,johanna"
"MONTGOMERYS FURNITURE OUTLET","(605) 256-4000","","MADISON","SD","","N/A","Clark Sinclair","","-,-","http://montgomerysfurniture.com/,","consolidated,johanna"
"TOWN SQUARE FLOORS","(512) 863-2867","","GEORGETOWN","TX","","N/A","Ray Bizzell","","-,-","www.townsquarefloors.com,","consolidated,johanna"
"BLIER FLOORING","(603) 516-8453","","DOVER","NH","","N/A","Jacqueline Blier","","-,-","http://www.blierflooring.com/,","consolidated,johanna"
"FAULK FLOOR COVERING","(309) 527-2815","","EL PASO","IL","","N/A","Jerry Faulk","","-,-","http://www.faulksinelpaso.com/,","consolidated,johanna"
"QUALITY FLOORS","(417) 255-1727","","WEST PLAINS","MO","","N/A","Cherie Holmes ; Chu Holmes","","mail4cherie@gmail.com,mail4cherie@gmail.com","http://www.qualityfloorswestplains.net/,","consolidated,johanna"
"JAYCHAR INC","(410) 284-1111","","BALTIMORE","MD","","N/A","-","","-,-","http://warehousetileandcarpet.com/,","consolidated,johanna"
"EXCLUSIVE FLOR SALES LTD","(604) 596-3636","","SURREY","CN","","info@exclusivefloors.com","-","","-,-","http://www.flooringbc.com/,","consolidated,johanna"
"DEGRAAF INTERIORS INC","(616) 662-0140","","GRAND RAPIDS","MI","","info@degraafinteriors.com","Darrell Degraaf","","; debs@degraafinteriors.com,; debs@degraafinteriors.com","http://www.degraafinteriors.com,","consolidated,johanna"
"Frazee Carpet & interiors","(919) 286-5570","3113 Hillsborough rd","Durham","NC","","N/A","Doug Frazee","","dfj@nc.rr.com,dfj@nc.rr.com","frazeecarpetandinteriors.com,No Website.,http://www.frazeecarpet.com/,http://www.frazeecarpet.com,","consolidated,johanna"
"SURFACES INC","(307) 382-6907","","ROCK SPRINGS","WY","","N/A","Steven L. Olson ; Paul J. Young","","pyoung@surfaces.net,pyoung@surfaces.net","http://www.surfaces.net/,","consolidated,johanna"
"WESTCOTT HINDMARSH DIST CO","(708) 331-6177","","HARVEY","IL","","N/A","-","","-,-","http://www.walkertile.com/,","consolidated,johanna"
"HOLT TED CPT CO","(580) 436-1083","","ADA","OK","","N/A","Ted Holt","","ted@holtflooring.com,ted@holtflooring.com","www.constructiondash.com/oh,www.holtflooring.com","consolidated,johanna"
"RICHWELL CARPET &CABINET CTR","(641) 683-4084","","OTTUMWA","IA","","N/A","Newell Palen","","-,-","http://www.richwellcarpet.com/,","consolidated,johanna"
"QUALITY CARPETS","(830) 768-1667","","DEL RIO","TX","","N/A","Laura Rodriguez","","qualitycarpettile@yahoo.com,qualitycarpettile@yahoo.com","http://www.qualitycarpettile.com/,","consolidated,johanna"
"JUBILEE FLOORING & DECORATING","(251) 625-1700","","DAPHNE","AL","","N/A","Jerry Nowlin","","-,-","http://www.jubileeflooringanddecorating.com/,","consolidated,johanna"
"AMERICAN CATALOG CARPETS","(850) 484-8888","","MOBILE","AL","","mgross4444@cox.net","-","","-,-","http://www.americancarpetsinc.com/,","consolidated,johanna"
"GRAND STRAND FLOORS INC","(843) 626-3226","","MYRTLE BEACH","SC","","n/a","Tom & Anne Brophy","","gsfloors@gmail.com,gsfloors@gmail.com","http://www.grandstrandfloors.com/,","consolidated,johanna"
"LASALLE BRISTOL","(574) 295-0199","601 CR 17","ELKHART","IN","","N/A","Rick Karcher","","rkarcher@lasallebristol.com,rkarcher@lasallebristol.com","http://www.lasallebristol.com/,http://www.lasallebristol.com,","consolidated,johanna"
