name,phone,address,city,state,postal,primary_email,website,owner_first,owner_last,owner,sources_count,sources,source1,source2,source3,source4,source5,source6,source7,contacts_count,contact1_first,contact1_last,contact1,contact2_first,contact2_last,contact2,contact3_first,contact3_last,contact3,other_emails_count,other_email1,other_email2,other_email3
CUSTOM HOME INTERIORS INC,(517) 543-7120,,CHARLOTTE,MI,,info@customhomeinteriors.ca,"www.customhomeinteriors.ca/,http://www.customhomeinteriors.com/",Vince,Ferris,Vince Ferris,4,"consolidated,johanna,floorscapes,naics",consolidated,johanna,floorscapes,naics,,,,0,,,,,,,,,,21,,,
MORSE CLARK FURNITURE CO,(989) 345-0355,,WEST BRANCH,MI,,N/A,"www.westbranchcarpet.com,",Joe,Clark,Joe Clark,4,"consolidated,johanna,floorscapes,naics",consolidated,johanna,floorscapes,naics,,,,0,,,,,,,,,,2,-,-,
PIEDMONT FLOOR DESIGN LLC,(434) 316-5985,,FOREST,VA,,N/A,"http://www.piedmontfloor.com/,",Charles,Snider,Charles Snider,4,"consolidated,johanna,floorscapes,naics",consolidated,johanna,floorscapes,naics,,,,0,,,,,,,,,,2,-,-,
CHRISTOFF & SONS FLOOR COV,(517) 782-1971,,JACKSON,MI,,"N/A, SALES@CHRISTOFFANDSONS.COM","http://www.christoffs.com/,",Ted,"Christoff , Atnas Christoff","Ted Christoff , Atnas Christoff",4,"consolidated,johanna,floorscapes,naics",consolidated,johanna,floorscapes,naics,,,,0,,,,,,,,,,2,ted@christoffandsons.com,ted@christoffandsons.com,
WILLIAMS CARPET INC,(517) 339-4385,,HASLETT,MI,,N/A,"http://www.williamscarpetinc.com/,",Anthony,Williams,Anthony Williams,4,"consolidated,johanna,floorscapes,naics",consolidated,johanna,floorscapes,naics,,,,0,,,,,,,,,,2,-,-,
CARPET WEAVERS,(217) 787-0600,,SPRINGFIELD,IL,,jdenman@floorx.biz,"http://www.cwfloorcare.com/,http://www.carpetweaversflooring.com/",Everett,Ustler,Everett Ustler,4,"consolidated,johanna,floorscapes,naics",consolidated,johanna,floorscapes,naics,,,,0,,,,,,,,,,2,eutsler@carpetweavers.net,eutsler@carpetweavers.net,
DANNYS HOUSE OF CARPET INC,(254) 968-2880,,STEPHENVILLE,TX,,DHOC@earthlink.net,"http://www.dannyshouseofcarpets.com/,",Danny,"Karnes , Jana Karnes","Danny Karnes , Jana Karnes",4,"consolidated,johanna,floorscapes,naics",consolidated,johanna,floorscapes,naics,,,,0,,,,,,,,,,2,-,-,
RAYS CARPETS,(209) 577-5642,,MODESTO,CA,,N/A,"http://www.rayscarpets.com/,",Tonya,"Verissimo , Dave Verissimo","Tonya Verissimo , Dave Verissimo",4,"consolidated,johanna,floorscapes,naics",consolidated,johanna,floorscapes,naics,,,,0,,,,,,,,,,4,tonya@rayscarpets.com, dave@rayscarpets.com,tonya@rayscarpets.com
MID WISCONSIN FLOORING LLC,(715) 343-5391,,STEVENS POINT,WI,,mikefalk@midwisconsinflooring.com,"www.midwisconsinflooring.com/,",Mike,"Faulk , Graham Godfrey","Mike Faulk , Graham Godfrey",4,"consolidated,johanna,floorscapes,naics",consolidated,johanna,floorscapes,naics,,,,0,,,,,,,,,,4,mikefalk@midwisconsinflooring.com, graham@midwisconsinflooring.com,mikefalk@midwisconsinflooring.com
DESIGNER FLOORS,(615) 646-2292,,NASHVILLE,TN,,info@designerfloorsnashville.com,"http://www.designerfloorsnashville.com/,",Louise,Frost,Louise Frost,4,"consolidated,johanna,floorscapes,naics",consolidated,johanna,floorscapes,naics,,,,0,,,,,,,,,,2,louise@designerfloorsnashville.com,louise@designerfloorsnashville.com,
DUGAN PAINTS INC,(660) 826-0142,,SEDALIA,MO,,chuck@duganpaints.com,"www.duganpaints.com,",Charles,Kempton,Charles Kempton,4,"consolidated,johanna,floorscapes,naics",consolidated,johanna,floorscapes,naics,,,,0,,,,,,,,,,2,chuck@duganpaints.com,chuck@duganpaints.com,
FOUR STAR FLOORING INC,(603) 624-7827,,MANCHESTER,NH,,4starflooring@gmail.com,"http://www.4starflooring.com/,",John,Kallelis,John Kallelis,4,"consolidated,johanna,floorscapes,naics",consolidated,johanna,floorscapes,naics,,,,0,,,,,,,,,,0,,,
GREERS DON FASHION FLOOR,(724) 228-2250,,WASHINGTON,PA,,info@dongreersfashionfloors.com,"http://www.dongreersfashionfloors.com/,",Don,Greer,Don Greer,4,"consolidated,johanna,floorscapes,naics",consolidated,johanna,floorscapes,naics,,,,0,,,,,,,,,,2,don_greer@verizon.net,don_greer@verizon.net,
KARENS CARPET SALES INC.,(865) 945-3353,,POWELL,TN,,mrwlsn23@aol.com,"http://www.karenscarpetsales.com/,",Mark,Wilson and Deon Wilson,Mark Wilson and Deon Wilson,4,"consolidated,johanna,floorscapes,naics",consolidated,johanna,floorscapes,naics,,,,0,,,,,,,,,,2,mrwlsn23@aol.com,mrwlsn23@aol.com,
TRISTATE CABINET DISTR INC,(718) 823-3400,,BRONX,NY,,,,,,,2,"floorscapes,naics",floorscapes,naics,,,,,,0,,,,,,,,,,0,,,
KELLYS CARPETS,(402) 593-7144,,OMAHA,NE,,,http://www.therugshopomaha.com/,,,,2,"floorscapes,naics",floorscapes,naics,,,,,,0,,,,,,,,,,0,,,
"HOME CARPET INVESTMENT, INC.",(619) 262-8040,,CHULA VISTA,CA,,,N/A,,,,2,"floorscapes,naics",floorscapes,naics,,,,,,0,,,,,,,,,,0,,,
MCCOOLS CARPET INC,(765) 453-3039,,KOKOMO,IN,,,http://www.mccoolsflooring.com/,,,,2,"floorscapes,naics",floorscapes,naics,,,,,,0,,,,,,,,,,0,,,
DALTON WEST OF NEWNAN INC,(770) 251-0634,,NEWNAN,GA,,,http://www.daltonwest.com,,,,2,"floorscapes,naics",floorscapes,naics,,,,,,0,,,,,,,,,,0,,,
ONONDAGA FLOORING  INC,(315) 471-2243,,SYRACUSE,NY,,,www.onondagaflooring.com,,,,2,"floorscapes,naics",floorscapes,naics,,,,,,0,,,,,,,,,,0,,,
BELLS CARPETS INC,(919) 833-5707,,RALEIGH,NC,,,www.bellscarpets.com/,,,,2,"floorscapes,naics",floorscapes,naics,,,,,,0,,,,,,,,,,0,,,
KEMPS CARPETS,(706) 812-0058,,LA GRANGE,GA,,,http://www.daltonwest.com/,,,,2,"floorscapes,naics",floorscapes,naics,,,,,,0,,,,,,,,,,0,,,
ONE STOP FLOOR SHOP INC,(636) 926-9989,,SAINT CHARLES,MO,,,N/A,,,,2,"floorscapes,naics",floorscapes,naics,,,,,,0,,,,,,,,,,0,,,
COMMERCIAL FLOORING & MINI,(225) 293-2225,,BATON ROUGE,LA,,,,,,,2,"floorscapes,naics",floorscapes,naics,,,,,,0,,,,,,,,,,0,,,
MARQUIS FLOORS INC,(770) 972-1291,,LILBURN,GA,,,,,,,2,"floorscapes,naics",floorscapes,naics,,,,,,0,,,,,,,,,,0,,,
NORTHEAST INTERIOR CONST INC,(860) 354-2600,,NEW MILFORD,CT,,,,,,,2,"floorscapes,naics",floorscapes,naics,,,,,,0,,,,,,,,,,0,,,
"110%, INC",(770) 399-9110,,NORCROSS,GA,,,,,,,2,"floorscapes,naics",floorscapes,naics,,,,,,0,,,,,,,,,,0,,,
BOGARTS CPT & FLOOR COVERING,(973) 252-2400,,LEDGEWOOD,NJ,,,,,,,2,"floorscapes,naics",floorscapes,naics,,,,,,0,,,,,,,,,,0,,,
WEST MICHIGAN CPT BROKERS INC,(269) 668-5378,,MATTAWAN,MI,,,,,,,2,"floorscapes,naics",floorscapes,naics,,,,,,0,,,,,,,,,,0,,,
ARBUCKLE FLRG & FINE STONE INC,(580) 223-4929,,ARDMORE,OK,,,,,,,2,"floorscapes,naics",floorscapes,naics,,,,,,0,,,,,,,,,,0,,,
WWTT INTERIORS INC,(989) 366-7245,,PRUDENVILLE,MI,,,,,,,2,"floorscapes,naics",floorscapes,naics,,,,,,0,,,,,,,,,,0,,,
PORTLAND CARPET CENTER,(503) 246-9800,6655 SW MACADAM AVE,PORTLAND,OR,,N/A,"www.crowncarpets.com/,http://macadamflooranddesign.com/,",Timothy,Aldinger,Timothy Aldinger,5,"consolidated,johanna,fabrica,mohawk,naics",consolidated,johanna,fabrica,mohawk,naics,,,0,,,,,,,,,,0,,,
DISCOUNT FLOORING,(231) 487-0096,,PETOSKEY,MI,49770,,N/A,DON,HOWELL-OWNER,DON HOWELL-OWNER,2,"mohawk,naics",mohawk,naics,,,,,,0,,,,,,,,,,0,,,
BAXLEY CARPET CO.,(912) 764-5033,,STATESBORO,GA,30461-6814,,N/A,,,,2,"mohawk,naics",mohawk,naics,,,,,,0,,,,,,,,,,0,,,
DONS CARPET CENTER,(812) 254-6635,,WASHINGTON,IN,47501,,N/A,,,,2,"mohawk,naics",mohawk,naics,,,,,,0,,,,,,,,,,0,,,
COUNTRY CARPETS,(479) 968-7983,,RUSSELLVILLE,AR,72802,,N/A,JERRY,TAYLOR,JERRY TAYLOR,2,"mohawk,naics",mohawk,naics,,,,,,0,,,,,,,,,,0,,,
CARPET WAREHOUSE WEST INC,(440) 734-7060,,NORTH OLMSTED,OH,44070,,n/a,,,,2,"mohawk,naics",mohawk,naics,,,,,,0,,,,,,,,,,0,,,
CARPET MILL USA INC,(603) 448-3902,,LEBANON,NH,3766,,http://national.citysearch.com/profile/6560599/lebanon_nh/carpet_mill_usa_inc.html,,,,2,"mohawk,naics",mohawk,naics,,,,,,0,,,,,,,,,,0,,,
CARPET CITY INC,(701) 235-7525,,FARGO,ND,,N/A,"http://www.carpetworldfargo.com/,",Jerry,Kautzman,Jerry Kautzman,4,"consolidated,johanna,mohawk,naics",consolidated,johanna,mohawk,naics,,,,0,,,,,,,,,,2,-,-,
CARPET WORLD INC,(701) 258-1968,,BISMARCK,ND,,carpetworldbis@midconetwork.com,"http://www.carpetworldbismarck.com/,",Robert,Dauenhauer,Robert Dauenhauer,4,"consolidated,johanna,mohawk,naics",consolidated,johanna,mohawk,naics,,,,0,,,,,,,,,,2,-,-,
KEVCO CARPETS & VINYL INC,(615) 871-0001,,HERMITAGE,TN,,N/A,"http://www.kevcocarpet.com/default.aspx,",Kevin,Early,Kevin Early,4,"consolidated,johanna,mohawk,naics",consolidated,johanna,mohawk,naics,,,,0,,,,,,,,,,2,kevinearly@kevcocarpets.com,kevinearly@kevcocarpets.com,
